TIMESTAMP,NFM_OPEN_PRICE_USD,NFM_HIGH_PRICE_USD,NFM_LOW_PRICE_USD,NFM_CLOSE_PRICE_USD,NFM_VOLUME_USD,NFM_DIVIDENDS_USD,NFM_STOCK_SPLITS_USD
2024-07-23 00:00:00+00:00,0.0035290000960230827,0.004002000205218792,0.001896000001579523,0.001961000030860305,723102,0.0,0.0
2024-07-24 00:00:00+00:00,0.001961000030860305,0.0020540000405162573,0.000783999974373728,0.0008549999911338091,422546,0.0,0.0
2024-07-25 00:00:00+00:00,0.0008549999911338091,0.0010860000038519502,0.0003260000084992498,0.0003420000139158219,420622,0.0,0.0
2024-07-26 00:00:00+00:00,0.0003420000139158219,0.0003530000103637576,0.00021800000104121864,0.00024900000425986946,221160,0.0,0.0
2024-07-27 00:00:00+00:00,0.00024900000425986946,0.0002640000020619482,0.00016599999798927456,0.00017699999443721026,187675,0.0,0.0
2024-07-28 00:00:00+00:00,0.00017699999443721026,0.00017699999443721026,0.00013099999341648072,0.0001429999974789098,76352,0.0,0.0
2024-07-29 00:00:00+00:00,0.0001429999974789098,0.00016900000628083944,8.399999933317304e-05,0.00011700000322889537,122263,0.0,0.0
2024-07-30 00:00:00+00:00,0.00011700000322889537,0.0001250000059371814,8.600000001024455e-05,9.300000237999484e-05,81460,0.0,0.0
2024-07-31 00:00:00+00:00,9.300000237999484e-05,0.0001990000018849969,8.800000068731606e-05,0.00014000000373926014,181033,0.0,0.0
2024-08-01 00:00:00+00:00,0.00014000000373926014,0.00029200001154094934,0.00011500000255182385,0.00023499999952036887,150026,0.0,0.0
2024-08-02 00:00:00+00:00,0.0002969999914057553,0.00040099999750964344,0.0002699999895412475,0.0003699999942909926,155887,0.0,0.0
2024-08-03 00:00:00+00:00,0.0003699999942909926,0.0007450000266544521,0.0003600000054575503,0.0004419999895617366,359813,0.0,0.0
2024-08-04 00:00:00+00:00,0.0004419999895617366,0.0008060000254772604,0.0004030000127386302,0.0004799999878741801,675957,0.0,0.0
2024-08-05 00:00:00+00:00,0.00047400000039488077,0.0007680000271648169,0.00047400000039488077,0.0005600000149570405,2850921,0.0,0.0
2024-08-06 00:00:00+00:00,0.0005600000149570405,0.0006799999973736703,0.0005259999888949096,0.0006099999882280827,3286370,0.0,0.0
2024-08-07 00:00:00+00:00,0.0005709999823011458,0.0005929999751970172,0.0004889999981969595,0.0005000000237487257,3219892,0.0,0.0
2024-08-08 00:00:00+00:00,0.0005000000237487257,0.0005179999861866236,0.00038499999209307134,0.0004299999854993075,3317411,0.0,0.0
2024-08-09 00:00:00+00:00,0.00044800000614486635,0.0005029999883845448,0.0003859999997075647,0.00039999998989515007,3248677,0.0,0.0
2024-08-10 00:00:00+00:00,0.00039999998989515007,0.0004689999914262444,0.00039000000106170774,0.0004130000015720725,5838974,0.0,0.0
