TIMESTAMP,MMIP_OPEN_PRICE_USD,MMIP_HIGH_PRICE_USD,MMIP_LOW_PRICE_USD,MMIP_CLOSE_PRICE_USD,MMIP_VOLUME_USD,MMIP_DIVIDENDS_USD,MMIP_STOCK_SPLITS_USD
2024-06-28 00:00:00+00:00,0.00039500001003034413,0.0005939999828115106,0.0003490000090096146,0.000387999985832721,344460,0.0,0.0
2024-06-29 00:00:00+00:00,0.000387999985832721,0.00045399999362416565,0.0003459999861661345,0.0004250000056345016,167967,0.0,0.0
2024-06-30 00:00:00+00:00,0.00042299999040551484,0.00043799998820759356,0.0003769999893847853,0.0003929999948013574,185456,0.0,0.0
2024-07-01 00:00:00+00:00,0.0003929999948013574,0.00039599998854100704,0.00023600000713486224,0.00030899999546818435,72079,0.0,0.0
2024-07-02 00:00:00+00:00,0.00030899999546818435,0.000311999989207834,0.0001720000000204891,0.00029600001289509237,69299,0.0,0.0
2024-07-03 00:00:00+00:00,0.00029600001289509237,0.000299000006634742,0.0001610000035725534,0.00020199999562464654,52660,0.0,0.0
2024-07-04 00:00:00+00:00,0.00020199999562464654,0.00025499999173916876,0.00014800000644754618,0.0002209999947808683,46078,0.0,0.0
2024-07-05 00:00:00+00:00,0.0002209999947808683,0.0002209999947808683,0.00010599999950500205,0.00017299999308306724,62222,0.0,0.0
2024-07-06 00:00:00+00:00,0.00017299999308306724,0.00017299999308306724,0.00013099999341648072,0.00013099999341648072,11649,0.0,0.0
2024-07-07 00:00:00+00:00,0.00013099999341648072,0.00014200000441633165,0.00012199999764561653,0.0001230000052601099,8381,0.0,0.0
2024-07-08 00:00:00+00:00,0.0001230000052601099,0.00015999999595806003,0.00011800000356743112,0.00014899999951012433,6219,0.0,0.0
2024-07-09 00:00:00+00:00,0.00014899999951012433,0.00019099999917671084,0.00014899999951012433,0.00017600000137463212,13526,0.0,0.0
2024-07-10 00:00:00+00:00,0.00017600000137463212,0.00026699999580159783,0.00017100000695791095,0.00026199998683296144,28707,0.0,0.0
2024-07-11 00:00:00+00:00,0.00026199998683296144,0.0004079999926034361,0.00024500000290572643,0.0002579999854788184,168841,0.0,0.0
2024-07-12 00:00:00+00:00,0.0002579999854788184,0.000450999999884516,0.00022200000239536166,0.00035099999513477087,89221,0.0,0.0
2024-07-13 00:00:00+00:00,0.00035099999513477087,0.0003659999929368496,0.00023299999884329736,0.0002680000034160912,82185,0.0,0.0
2024-07-14 00:00:00+00:00,0.0002680000034160912,0.0002680000034160912,0.0001849999971454963,0.00024399999529123306,41673,0.0,0.0
