TIMESTAMP,STARSHIP28425_OPEN_PRICE_USD,STARSHIP28425_HIGH_PRICE_USD,STARSHIP28425_LOW_PRICE_USD,STARSHIP28425_CLOSE_PRICE_USD,STARSHIP28425_VOLUME_USD,STARSHIP28425_DIVIDENDS_USD,STARSHIP28425_STOCK_SPLITS_USD
2023-11-08 00:00:00+00:00,0.002701000077649951,0.0027310000732541084,0.0026759998872876167,0.0026839999482035637,362307,0.0,0.0
2023-11-09 00:00:00+00:00,0.0026839999482035637,0.0027050001081079245,0.002681999932974577,0.0026889999862760305,352433,0.0,0.0
2023-11-10 00:00:00+00:00,0.0026889999862760305,0.0027030000928789377,0.002686999971047044,0.0027000000700354576,335454,0.0,0.0
2023-11-11 00:00:00+00:00,0.0026990000624209642,0.002701000077649951,0.0026710000820457935,0.0026839999482035637,402806,0.0,0.0
2023-11-12 00:00:00+00:00,0.0026839999482035637,0.002715999959036708,0.0026839999482035637,0.002701000077649951,354482,0.0,0.0
2023-11-13 00:00:00+00:00,0.0027000000700354576,0.0027119999285787344,0.0027000000700354576,0.0027089999057352543,364692,0.0,0.0
2023-11-14 00:00:00+00:00,0.0027089999057352543,0.0027489999774843454,0.002698000054806471,0.0026990000624209642,375464,0.0,0.0
2023-11-15 00:00:00+00:00,0.0026990000624209642,0.0027409999165683985,0.0026030000299215317,0.0026740001048892736,423891,0.0,0.0
2023-11-16 00:00:00+00:00,0.00019200000679120421,0.0006569999968633056,0.00015300000086426735,0.00041099998634308577,3674907,0.0,0.0
2023-11-17 00:00:00+00:00,0.0004030000127386302,0.0004490000137593597,0.0001289999927394092,0.00015500000154133886,1433662,0.0,0.0
2023-11-18 00:00:00+00:00,0.00015500000154133886,0.00015500000154133886,9.000000318337698e-06,1.2999999853491317e-05,1585341,0.0,0.0
2023-11-19 00:00:00+00:00,1.2999999853491317e-05,2.499999936844688e-05,7.999999979801942e-06,1.700000029813964e-05,129902,0.0,0.0
2023-11-20 00:00:00+00:00,1.700000029813964e-05,2.2000000171829015e-05,9.999999747378752e-06,1.2000000424450263e-05,36336,0.0,0.0
2023-11-21 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,9.000000318337698e-06,9.000000318337698e-06,20877,0.0,0.0
