TIMESTAMP,SYS_CLOSE_PRICE_USD,SYS_OPEN_PRICE_USD,SYS_HIGH_PRICE_USD,SYS_LOW_PRICE_USD
2018-02-07,0.48162,0.41846,0.58495,0.39137
2018-02-08,0.5225,0.48403,0.5712,0.48224
2018-02-09,0.53787,0.52075,0.55031,0.48109
2018-02-10,0.53573,0.53693,0.57423,0.49967
2018-02-11,0.50246,0.53614,0.53672,0.47761
2018-02-12,0.5537,0.50307,0.55888,0.50307
2018-02-13,0.56933,0.55444,0.57415,0.52711
2018-02-14,0.62481,0.56842,0.63581,0.56277
2018-02-15,0.65038,0.62589,0.68097,0.61757
2018-02-16,0.66843,0.6489,0.6781,0.61373
2018-02-17,0.70639,0.66829,0.73092,0.66106
2018-02-18,0.67895,0.7066,0.73858,0.63144
2018-02-19,0.72761,0.68044,0.7338,0.67252
2018-02-20,0.71293,0.73079,0.7655,0.70443
2018-02-21,0.64216,0.71303,0.71555,0.61621
2018-02-22,0.56994,0.64237,0.67157,0.56141
2018-02-23,0.61334,0.56881,0.65796,0.55143
2018-02-24,0.56475,0.6125,0.64657,0.543
2018-02-25,0.58093,0.56481,0.58986,0.54053
2018-02-26,0.64914,0.56666,0.71429,0.56666
2018-02-27,0.64807,0.64914,0.66602,0.64807
2018-02-28,0.64797,0.64807,0.71429,0.64181
2018-03-01,0.64797,0.64797,0.64797,0.63042
2018-03-02,0.72804,0.64797,0.72804,0.64797
2018-03-03,0.71217,0.72804,0.72804,0.71217
2018-03-04,0.71429,0.71217,0.71429,0.71217
2018-03-05,0.69777,0.71429,0.71429,0.67904
2018-03-06,0.64216,0.69777,0.71429,0.64216
2018-03-07,0.58549,0.64216,0.71429,0.58549
2018-03-08,0.56096,0.58549,0.71429,0.56096
2018-03-09,0.51779,0.56096,0.71429,0.50799
2018-03-10,0.48235,0.51779,0.54161,0.48235
2018-03-11,0.53474,0.48235,0.53474,0.48235
2018-03-12,0.47244,0.53474,0.53474,0.00534
2018-03-13,0.47616,0.47244,0.47616,0.47244
2018-03-14,0.39058,0.47616,0.47616,0.39058
2018-03-15,0.36691,0.39058,0.39058,0.35903
2018-03-16,0.4142,0.36691,0.43272,0.36691
2018-03-17,0.35044,0.4142,0.4142,0.35044
2018-03-18,0.29253,0.35044,0.35044,0.29253
2018-03-19,0.39912,0.29253,0.39912,0.29253
2018-03-20,0.43006,0.39912,0.43006,0.38043
2018-03-21,0.49195,0.43006,0.49195,0.43006
2018-03-22,0.40922,0.49195,0.49195,0.40638
2018-03-23,0.39633,0.40922,0.40922,0.39633
2018-03-24,0.38328,0.39633,0.39633,0.38235
2018-03-25,0.36633,0.38328,0.38328,0.36633
2018-03-26,0.34014,0.36633,0.36741,0.34014
2018-03-27,0.30454,0.34014,0.34014,0.29394
2018-03-28,0.30454,0.30454,0.31397,0.0
2018-03-29,0.0,0.0,0.0,0.0
2018-03-30,0.0,0.0,0.0,0.0
2018-03-31,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,0.0
2018-04-02,0.0,0.0,0.0,0.0
2018-04-03,0.0,0.0,0.0,0.0
2018-04-04,0.0,0.0,0.0,0.0
2018-04-05,0.0,0.0,0.0,0.0
2018-04-06,0.0,0.0,0.0,0.0
2018-04-07,0.0,0.0,0.0,0.0
2018-04-08,0.0,0.0,0.0,0.0
2018-04-09,0.0,0.0,0.0,0.0
2018-04-10,0.0,0.0,0.0,0.0
2018-04-11,0.0,0.0,0.0,0.0
2018-04-12,0.0,0.0,0.0,0.0
2018-04-13,0.0,0.0,0.0,0.0
2018-04-14,0.0,0.0,0.0,0.0
2018-04-15,0.0,0.0,0.0,0.0
2018-04-16,0.0,0.0,0.0,0.0
2018-04-17,0.0,0.0,0.0,0.0
2018-04-18,0.0,0.0,0.0,0.0
2018-04-19,0.0,0.0,0.0,0.0
2018-04-20,0.0,0.0,0.0,0.0
2018-04-21,0.0,0.0,0.0,0.0
2018-04-22,0.0,0.0,0.0,0.0
2018-04-23,0.0,0.0,0.0,0.0
2018-04-24,0.0,0.0,0.0,0.0
2018-04-25,0.0,0.0,0.0,0.0
2018-04-26,0.0,0.0,0.0,0.0
2018-04-27,0.0,0.0,0.0,0.0
2018-04-28,0.0,0.0,0.0,0.0
2018-04-29,0.0,0.0,0.0,0.0
2018-04-30,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,0.0
2018-05-02,0.0,0.0,0.0,0.0
2018-05-03,0.0,0.0,0.0,0.0
2018-05-04,0.0,0.0,0.0,0.0
2018-05-05,0.0,0.0,0.0,0.0
2018-05-06,0.0,0.0,0.0,0.0
2018-05-07,0.0,0.0,0.0,0.0
2018-05-08,0.0,0.0,0.0,0.0
2018-05-09,0.0,0.0,0.0,0.0
2018-05-10,0.0,0.0,0.0,0.0
2018-05-11,0.0,0.0,0.0,0.0
2018-05-12,0.0,0.0,0.0,0.0
2018-05-13,0.0,0.0,0.0,0.0
2018-05-14,0.0,0.0,0.0,0.0
2018-05-18,0.0,0.0,0.0,0.0
2018-05-19,0.0,0.0,0.0,0.0
2018-05-20,0.0,0.0,0.0,0.0
2018-05-21,0.0,0.0,0.0,0.0
2018-05-22,0.42672,0.42672,0.45273,0.0
2018-05-23,0.36977,0.42665,0.4282,0.35742
2018-05-24,0.37584,0.36931,0.38361,0.35847
2018-05-25,0.37087,0.37545,0.38461,0.36693
2018-05-26,0.3617,0.37145,0.3747,0.36005
2018-05-27,0.35771,0.36179,0.36592,0.35618
2018-05-28,0.37518,0.35782,0.37824,0.3304
2018-05-29,0.35608,0.37515,0.39525,0.35039
2018-05-30,0.35283,0.35633,0.36906,0.3481
2018-05-31,0.37058,0.35267,0.37543,0.35169
2018-06-01,0.34855,0.3703,0.3904,0.33731
2018-06-02,0.36012,0.34865,0.36244,0.3461
2018-06-03,0.36183,0.35999,0.36803,0.35611
2018-06-04,0.35103,0.3621,0.38659,0.33344
2018-06-05,0.35201,0.3509,0.37469,0.33152
2018-06-06,0.34993,0.35216,0.38216,0.34185
2018-06-07,0.35037,0.34948,0.37563,0.33129
2018-06-08,0.40357,0.35013,0.4054,0.31458
2018-06-09,0.31212,0.40352,0.4088,0.30673
2018-06-10,0.2654,0.31216,0.31227,0.26074
2018-06-11,0.2666,0.2654,0.26832,0.25813
2018-06-12,0.24609,0.26653,0.26653,0.24508
2018-06-13,0.22212,0.24612,0.24759,0.21976
2018-06-14,0.24152,0.22223,0.24377,0.22197
2018-06-15,0.23502,0.24173,0.26968,0.23351
2018-06-16,0.22453,0.2349,0.23532,0.21785
2018-06-17,0.21924,0.22455,0.22484,0.21759
2018-06-18,0.21738,0.21937,0.22062,0.20648
2018-06-19,0.23666,0.21742,0.239,0.21741
2018-06-20,0.22901,0.23657,0.23687,0.22394
2018-06-21,0.22314,0.229,0.23032,0.21596
2018-06-22,0.19807,0.22304,0.24716,0.18976
2018-06-23,0.19215,0.19805,0.20438,0.19076
2018-06-24,0.18517,0.19211,0.19253,0.17195
2018-06-25,0.18809,0.18505,0.19982,0.18037
2018-06-26,0.18224,0.18815,0.18837,0.17622
2018-06-27,0.17406,0.18199,0.18288,0.17144
2018-06-28,0.16738,0.17403,0.17567,0.16694
2018-06-29,0.16143,0.16721,0.16842,0.14996
2018-06-30,0.1624,0.16146,0.16657,0.15897
2018-07-01,0.17359,0.16239,0.18313,0.15769
2018-07-02,0.17348,0.17348,0.17348,0.08758
2018-07-03,0.29527,0.29527,0.29527,0.11064
2018-07-04,0.29527,0.29527,0.29527,0.28798
2018-07-05,0.19192,0.19192,0.19192,0.1894
2018-07-06,0.17584,0.19192,0.19192,0.17143
2018-07-07,0.17458,0.17585,0.17789,0.16579
2018-07-08,0.16609,0.17458,0.17538,0.15378
