TIMESTAMP,FOOD18609_OPEN_PRICE_USD,FOOD18609_HIGH_PRICE_USD,FOOD18609_LOW_PRICE_USD,FOOD18609_CLOSE_PRICE_USD,FOOD18609_VOLUME_USD,FOOD18609_DIVIDENDS_USD,FOOD18609_STOCK_SPLITS_USD
2022-03-08 00:00:00+00:00,,,,0.0,165787,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,46931,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,8215,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,6014,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,5657,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,4027,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,8622,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,9135,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,5054,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,3538,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,2023,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,2483,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,1957,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,1370,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,1732,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,3397,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,2683,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,481,0.0,0.0
2022-03-26 00:00:00+00:00,,,,0.0,531,0.0,0.0
2022-03-27 00:00:00+00:00,,,,0.0,315,0.0,0.0
2022-03-28 00:00:00+00:00,,,,0.0,649,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,1223,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,906,0.0,0.0
2022-03-31 00:00:00+00:00,,,,0.0,277,0.0,0.0
2022-04-01 00:00:00+00:00,,,,0.0,351,0.0,0.0
2022-04-02 00:00:00+00:00,,,,0.0,645,0.0,0.0
2022-04-03 00:00:00+00:00,,,,0.0,696,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,337,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,585,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,507,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,94,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,162,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,231,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,235,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,251,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,230,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,65,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,199,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,232,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,3815,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,3659,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,93,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,124,0.0,0.0
2022-04-28 00:00:00+00:00,,,,0.0,1318,0.0,0.0
2022-04-29 00:00:00+00:00,,,,0.0,4054,0.0,0.0
2022-04-30 00:00:00+00:00,,,,0.0,3852,0.0,0.0
2022-05-01 00:00:00+00:00,,,,0.0,839,0.0,0.0
2022-05-02 00:00:00+00:00,,,,0.0,1360,0.0,0.0
2022-05-03 00:00:00+00:00,,,,0.0,1803,0.0,0.0
2022-05-04 00:00:00+00:00,,,,0.0,603,0.0,0.0
2025-06-01 00:00:00+00:00,9.998370404176726e-13,9.998370404176726e-13,9.998369319974554e-13,9.998369319974554e-13,0,0.0,0.0
