,XRP,Lag
WC,3.484483102994187e-70,30
OPAL,1.2897707609468098e-31,29
UNIT,3.276839170537714e-31,30
XEM,3.35845214811719e-23,29
VEC2,2.5636747132811998e-17,30
CSC,7.570509738583562e-17,26
NETKO,1.3066883013260717e-13,30
IFC,2.4757627617583644e-13,30
DOGE,2.692984292902871e-13,2
IMS,4.442839599835235e-11,28
TAJ,3.4202228819048594e-10,30
EFL,3.531866736050554e-10,20
BTB,3.9842133522967234e-10,5
RRT,6.675188599754949e-10,21
IRL,1.570373319302161e-09,29
IBANK,2.8950529399480234e-09,15
USDT,4.467100983811888e-09,27
GRS,7.825620563561048e-09,28
GAS,2.0358634594015212e-08,29
SPR,3.0739450610113616e-08,4
BCDN,3.201453968275016e-08,4
LTCR,3.808370689313269e-08,11
WYZ,5.4235103992383416e-08,30
LTC,6.693403379191169e-08,17
XLM,1.0303439976245149e-07,25
KOBO,1.2574859386961509e-07,13
ACES,1.8777061575860858e-07,11
WGR,2.639298403825392e-07,27
BTS,3.869195950315274e-07,11
ETC,4.2367353786043603e-07,11
NOBL,5.832228113595157e-07,26
RBT,7.029287384261625e-07,12
SC,9.329647842071692e-07,17
MONA,1.2751261553864723e-06,25
FRN,1.6681461319030416e-06,27
MOTO,1.921780704913699e-06,29
PHR,2.475438330788795e-06,21
VIDZ,3.165857461675259e-06,30
SWING,3.775206048616365e-06,12
ZUR,4.092597247030738e-06,21
ICON,4.520471892863177e-06,18
GNO,4.888109843702982e-06,20
DCR,5.884375455693406e-06,7
OZO,6.825031065256777e-06,22
ZCL,1.3133112568119464e-05,12
ETH,1.641989141822244e-05,11
ZEN,1.6496650492460057e-05,29
TRST,2.1124560837393622e-05,26
BAT,3.975141702982887e-05,28
QTUM,4.835723811672018e-05,15
LSK,6.030153399455368e-05,24
LDOGE,6.472575417079558e-05,27
DGB,8.208797520893708e-05,12
SKULL,9.399819442487255e-05,9
PPC,0.0001054658426931,15
BITS,0.0001109530184417,11
ENT,0.0001205350175621,26
ARK,0.0001356992544235,11
BTC,0.0001399135636662,28
ZET,0.0001649914635601,29
WBB,0.0001814894067265,29
CREVA,0.0002374369473932,29
BLK,0.0004214244332672,29
VLT,0.0004573504424567,18
NAV,0.0004675933196758,17
XTO,0.0004958500355342,19
VTC,0.0005093337582042,21
POST,0.0005138900810623,30
CAB,0.0005940736234273,18
SYS,0.0005970022079162,19
C2,0.0006496781986318,29
CJ,0.0006756718380274,3
CETI,0.0010302874223126,30
EQB,0.0010482234646162,29
TECH,0.0011570621957814,3
KMD,0.001426266615486,15
XMR,0.0015872152348088,1
ADZ,0.0017658740961466,12
WAVES,0.0020765845946739,4
VAL,0.002638170949783,23
START,0.0028504348078351,30
LBC,0.0028527615186793,15
AGRS,0.003065450763446,28
CKC,0.0031451438808691,30
XMS,0.0042527014527458,10
PZM,0.0044169658745306,21
HUSH,0.0046821869874805,18
ZEC,0.0048478246261807,30
DASH,0.0051526469156567,30
FTC,0.0053024037274801,25
PXI,0.0057143793905698,7
BERN,0.0060439537722526,16
HBD,0.0063307954272438,9
AE,0.0070260121663236,14
SXC,0.007725157325045,26
XHI,0.0079473077659305,20
STEEM,0.0088678028167754,29
MNTC,0.0096930696159622,1
MAID,0.009736328302349,7
DEM,0.0097616217008808,29
GBYTE,0.0104514796003592,23
BLU,0.0107525447109475,13
ANT,0.011742545856818,20
PXC,0.0122715443219061,25
SWT,0.0164366551764312,28
LANA,0.0176597280363978,30
QBC,0.0193025928745479,8
NVC,0.0198861697244247,30
PIVX,0.0202214841452887,11
XPY,0.0206973948634463,28
COOL,0.0238781443745687,26
EUC,0.0258613820183628,30
RLC,0.0262337379878835,12
XDN,0.0302716331546441,14
JLP,0.0313157285822701,25
SILK,0.0320401848544873,3
AV,0.037533418014663,27
PUT,0.0408904868800667,16
EVIL,0.0496773176402575,6
CYT,0.0498440215562146,2
BOLI,0.0504458795326607,25
PKB,0.0559020298207961,29
VERI,0.0600039745084185,15
SANDG,0.0673734453634041,10
XQN,0.0701723833888955,10
ALIAS,0.0755024396081947,27
XPX,0.0845542440672715,4
FIRO,0.0864769035763936,30
PLU,0.0905583268973557,9
KURT,0.0929248513627176,6
PTOY,0.0945512980184732,3
BLAZR,0.0967731125015352,4
DCT,0.1034626802618072,3
EDRC,0.1046524911705438,28
IOTA,0.1051325564043815,15
NMC,0.1059689048560187,30
SNRG,0.112369139119733,20
XWC,0.1149818402921648,1
CLUB,0.1157622348989701,27
RBY,0.1254250332761173,1
XPTX,0.1303869046488759,1
AXIOM,0.1332191350749189,1
AMS,0.133331526077335,10
BCN,0.1362079102632658,2
ZOOM,0.1520856751571326,30
MST,0.1562857142676251,1
KIN,0.1696228988095364,1
2GIVE,0.1717484422852368,27
CRW,0.1721552133358477,4
LAMB,0.1759281581304778,1
NEVA,0.1803615591073349,2
LMC,0.1839786491536948,1
ACOIN,0.1870721709497203,28
ICOB,0.1894472015375086,2
NXS,0.1911255579335757,5
CF,0.1916404323005525,4
LOG,0.1971463574332562,29
WINGS,0.1987511016053109,1
SIGNA,0.2110408493783866,1
NXT,0.2168784208919092,1
ILC,0.2246553839512449,1
SKR,0.2331697741058226,29
TAB,0.2361295414827193,24
CARBON,0.2492654055462195,3
ZYD,0.2553986191279664,19
QTZ,0.255465190464375,1
PIE,0.2670597993343936,1
GLC,0.2678506264841479,1
NEWB,0.2752839328121725,30
FOREX,0.2820291850860541,2
SLS,0.2961992793414558,2
POT,0.3048070695921885,1
ADC,0.3085507035834723,2
BTCS,0.309473046303898,30
IXC,0.325966976675384,1
HVCO,0.3664675253837247,24
XCP,0.3875209573963025,21
CANN,0.3915466006982162,5
INF,0.40360095880245,1
MCN,0.4076018979556133,2
MAY,0.4173341582547768,1
BS,0.4599811365238551,1
CLOAK,0.4741034942360312,2
AMBER,0.4778467946905984,23
RBIES,0.5063254058242154,4
HBN,0.5072363903035331,1
DCY,0.5097651185020305,23
ARGUS,0.524447758209641,2
GCC,0.5451628147576342,1
CLAM,0.5487271049387421,2
PAK,0.561352492422925,1
BSTY,0.5749316273861014,11
BIS,0.5779381555428604,28
ZENI,0.5807502487876539,8
XPM,0.5894638405851844,1
XST,0.5968205538255756,30
42,0.6202825716562534,27
ZER,0.6236375798143838,1
HNC,0.636871633926636,5
CNT,0.6577744604225905,1
LUN,0.6644142785282919,4
OK,0.6720469656491335,1
XBY,0.6896303572120365,29
HMQ,0.7175940506657618,2
BRIT,0.7289007599472063,1
RDD,0.7352723696058978,1
FRC,0.7562139232455496,15
TES,0.7596134429329202,1
SIB,0.7843324631743942,2
XBC,0.8212973628979809,8
LUNC,0.8237277043140593,3
SWIFT,0.8240833983119101,17
SONG,0.8809610690075784,2
DGC,0.8960895305532953,29
PASC,0.9535239880500388,2
BTA,0.9651096079930656,3
LOOK,0.9799322721392508,2
