Lag,BTC,DOGE,ETH,LTC,MIOTA,USDT,XEM,XLM,XMR
1,0.5017858645897044,0.5330569675441409,0.11915727704320984,0.25226550360388955,0.052818174941973224,0.0037679172066031057,0.0011453169375467336,0.004934025503903164,0.11780066791542895
2,0.02316793287140285,0.001031024957248715,0.0998353881524961,0.45586874964927326,0.01886908761091415,0.0007096641046701044,0.003535689956615628,0.0028087686034538252,0.07194515654828887
3,0.05468823991329845,0.0005214550834166633,0.18805015899295566,0.6162171949896207,0.05866096705728723,0.0016728095713817428,0.009486138051053078,0.0031302226582208314,0.16669383699684134
4,0.08554130837290705,0.0013080708657295804,0.07008480398398227,0.0025832619382572908,0.061463538900886266,0.0031270459728408176,0.000671640052284438,0.008599765482002933,0.08397982033169343
5,0.002804302592319321,0.0022820077158886153,0.0031492154001653834,0.00037996746104140583,0.05292124205805303,0.0001953122256967401,0.0004981862850924069,0.020579507170210874,0.005266159672742894
6,0.004653424882445049,0.0042873844535958805,0.005928106592170346,0.000633293466702686,0.056834693542795155,0.0004936355255293756,0.00017565230733813982,0.046221848801358476,0.009876582628052974
7,0.010739922083927027,0.007248503756305139,0.007252318355152667,0.0012776246465187565,0.08003626264045846,0.001007830612717999,0.00030856501493647015,0.04999026032664931,0.021669653415336828
8,0.0005821529303222725,0.0009642810052192704,1.6219282515834865e-05,7.234771942826495e-07,0.05994910213452897,0.000523172779512663,3.896757654132963e-07,0.043240855115834635,0.00570409693663181
9,0.00033274284243357886,0.0019105947745478758,6.233203951269786e-07,2.029773424672485e-06,0.01403075223576438,0.000884163795078382,5.863440654208423e-07,0.06699400102724484,0.0009660369319137711
10,0.0004044855283891982,0.0003461307105064129,7.94746652412696e-07,3.9771482885756657e-07,0.0003594360449603339,0.0012193804293328177,3.2755381340663993e-07,0.08775554765476222,0.00044026647023935015
11,0.0004146348312806024,2.3708926628572634e-05,4.52364858685421e-07,3.3179137474128596e-07,0.00013867688560121778,0.0021290071272082067,1.5768398539811334e-07,0.011953519938385141,9.993533653525378e-05
12,0.0002226976250698972,3.939914130125685e-06,1.4509466681093414e-06,1.82201309818755e-07,0.0003275854846472852,0.002485662549107225,7.632464197939166e-08,0.013319690219247572,7.620987336578899e-05
13,0.00013287640283153886,3.083847536804617e-06,9.801848300149922e-07,3.117502847652711e-07,0.00015082087668192112,0.004699036487311561,4.834897023917643e-08,0.006104569633004145,8.672810963564479e-06
14,4.992458768624095e-05,4.789786888164797e-06,2.2154602963707147e-06,3.199423339211384e-07,0.0003672319523890398,0.008179833307837498,5.519235181816903e-10,0.005557245140630428,1.594360486624875e-05
15,0.00010193571420552571,9.103883288831258e-06,1.336994165588154e-06,7.707551493516531e-08,0.0004491102276624091,0.006502825927215104,6.522282239059951e-10,0.009728105429817765,7.131450096263641e-06
16,0.0001028686585369679,1.7251414087812543e-05,1.224063062417913e-06,6.876491337748525e-08,0.0003708327275276379,0.003042194430528228,1.2419547738818666e-09,0.003519180186641297,1.2226773540705475e-05
17,3.4463021377089243e-07,3.326134330857763e-05,1.810893939707393e-06,4.885218609012951e-10,8.190973346733764e-10,0.00473265754950585,3.9405400584746164e-10,0.0006598904648288818,7.453199652362727e-07
18,4.8502933107294884e-08,4.892916676070083e-05,2.0230872284863574e-06,1.4235928492522119e-09,9.911641340050475e-10,0.004829434952921744,1.1740175291065027e-09,0.0006454739743268507,1.6157460070264511e-06
19,3.835173691214914e-08,0.00010183948480173275,2.050389180733985e-06,2.59059270591051e-10,3.736861671142366e-10,0.011337062547380497,6.590105428528393e-10,0.00015539313764599492,1.0478931442127063e-06
20,2.492164487593675e-08,7.723520921525458e-05,5.613154815341645e-06,7.887375976144007e-10,2.559523978726799e-10,0.018407762770696796,2.072853520198362e-09,0.0002489882845133424,2.8460014953967184e-06
21,2.1662162751700446e-08,0.00013453793933916152,9.701567717704957e-06,1.2036499682709135e-09,5.057496293153856e-10,0.010809985053323801,2.658698947975778e-09,0.0003635541179692836,5.725452148903887e-06
22,5.6291078185273385e-08,7.182339766735706e-05,7.790502392254058e-06,1.3054753117900463e-09,1.5018583118176435e-09,0.009385083744214418,4.516422465154955e-10,0.0004700828131751428,8.848647180444085e-06
23,8.727983515859727e-08,0.00010744771106543444,2.338901927848418e-06,2.7189285894019802e-09,3.328352419580542e-09,0.0122480932232612,1.0269683011674801e-09,0.0008037752798790771,1.682369816554156e-05
24,1.2483129275294796e-07,0.0002092572586788721,2.8160889451132424e-06,7.0994202922496365e-09,2.6556477224029814e-10,0.015074509220267429,1.959710294905481e-09,0.0010470340569744357,2.1931011819394642e-05
25,1.7427115612775604e-08,6.854918961272652e-07,4.864542316156542e-07,2.6778779706180073e-10,7.1316638860941825e-12,0.021130591070795887,3.1632712007009706e-09,0.0011441770678713617,1.4590588860058499e-05
