Lag,BTC,DOGE,ETH,LTC,MIOTA,USDT,XEM,XLM,XMR
1,0.008008402041822026,0.543020350712215,0.1466431599194433,0.13303783362628044,0.0012478178281457723,0.6565933345189525,0.0012970021311386772,0.3162058500671855,0.02294490903714796
2,0.02590423280944221,2.430843331971782e-09,0.07243481869389228,0.0030612655113159367,0.009519949989808409,0.2640931311609872,0.0038944345972505255,0.7146480664040021,0.053769691758459685
3,0.05585851845675557,9.059352751746284e-09,0.15230829190368128,0.0006680782883232741,0.020307274090174916,0.4479109339671986,0.0016306166996895514,0.23803805185134042,0.06974166545420546
4,0.06271199946058524,7.015996222855862e-09,0.15115238821305116,0.0002731002597801481,0.014495794777492741,0.4178174432945827,4.852752593000275e-07,0.22129255470837017,0.09464472018174806
5,0.11789622405926127,2.2400216255078643e-08,0.16033554052286805,0.0004658245629968094,0.013085278487292377,0.3032605257882349,8.720402063787008e-07,0.23835970628073905,0.02560357398284655
6,0.12116341983135173,6.541971459102848e-08,0.24261296993879672,0.0009830197460637836,0.005553864535002097,0.18482024944827075,2.6615763993806208e-14,0.3994154259925419,0.0589749029717465
7,0.1513199000738183,1.1403760224048352e-07,0.00944036754081078,1.8263636969115522e-05,0.0025324295603015444,0.038098581329075704,3.659395126679464e-16,0.05732355960049826,0.02979810102472952
8,0.24155589595240887,9.982485442381042e-08,0.017571456412210657,9.641704350235182e-06,0.0013148021549005235,0.04790963922039807,8.603846306012823e-17,0.10561293661449413,0.056631504317938064
9,0.09481880037047936,5.262477845731834e-08,0.01464335619083062,1.944477198131616e-05,0.0009890583149794146,0.026295004711934775,1.3160139806238055e-16,0.13402291304334352,0.0484580146325556
10,0.08235757094955391,3.28033410816666e-08,9.980353681108955e-05,1.305956416076613e-05,6.780877446503838e-07,0.04933326702403709,3.20628514819798e-18,0.2415575146411133,0.06261689706141495
11,0.08169819376354667,4.942668163575096e-09,3.850586603222934e-05,1.6805155206478304e-05,1.1915418838427139e-06,0.013659886065557994,1.1019860763613217e-17,0.3184494528121008,0.02023118205367105
12,0.07120183266084518,8.512020922394529e-09,8.43180955701438e-05,1.2832176656955737e-05,3.5954682512448504e-06,0.017288235301756525,4.044980144563726e-17,0.17570990044926205,0.02527446363590031
13,0.04987237271867923,3.725544347687822e-09,8.878350230215538e-05,2.1883440877336758e-05,3.260101662156484e-06,0.02045770042270209,1.8410904685942546e-18,0.057874533388743654,0.006832794124212652
14,0.060384269588196066,5.058378747656975e-09,0.00015276019486931553,3.995540943619074e-05,1.789734524198199e-06,0.002968767879911815,6.174244278887402e-18,0.0539977728732533,0.008921667603820538
15,0.04740160164757709,2.401119083382799e-09,0.0002645905205007241,4.3490791426749106e-05,2.1495890459720047e-06,0.007908570404496187,1.6480132413361237e-17,0.0680862518040127,0.02023173452444343
16,0.051620025574463976,7.66287220329812e-09,0.00045165681336105964,5.7794503256972434e-05,1.617652829485297e-08,0.012377035291227243,1.1986875558096245e-16,0.005090266408051199,0.011365604285120373
17,0.01818528233980631,2.59533217143704e-08,0.00020314198027020916,1.6040203242077772e-06,4.438934440642635e-09,0.01777080714248163,5.623544631599052e-17,0.003759280305639089,0.009686673055823361
18,0.007188748043107531,2.987036045964807e-08,0.0005083171334584782,2.3162752265203335e-06,3.025690427460632e-09,0.017780464294537956,6.403968882821913e-17,0.002793725520518724,0.010802684066696652
19,0.009990097788975555,5.366089369789802e-08,0.0006452864221407284,4.656343622015842e-06,2.0801713875315637e-09,0.020920870922302263,1.1310384521833843e-16,0.00452878925663815,0.006078296214687899
20,0.0168433149893568,7.127379729700133e-08,0.0008550856935231136,1.043708778061907e-05,5.487002012906567e-09,0.021134605194894764,1.3047378099196203e-16,0.006437575395825824,0.00858209380654959
21,0.0015078191418266018,1.3791332920130403e-07,0.0011863660549463228,6.024915098776007e-06,8.725113289464886e-09,0.031112665714433815,1.1263142887162431e-18,0.006070466123348399,0.012339275425653358
22,0.0014938601107723464,1.6316045231096862e-07,0.001091336164009537,8.543224759507114e-06,1.6787076595031134e-08,0.029379437051574277,5.136088101005125e-19,0.00868206629995425,0.0164394557097439
23,0.001987065534223191,5.898147826992837e-08,0.0006298906649931386,1.4866703223428036e-05,1.915255412916679e-08,0.013245066688423795,3.0487888424348813e-19,0.013963734562127452,0.013912122637201185
24,0.00255403987862759,1.1885417923892041e-07,0.0009556612927963865,1.9189265530894604e-05,8.129452029298799e-10,0.01554719465190726,8.75732538268532e-19,0.001831110681530648,0.015862970192541632
25,0.001649851411839481,2.861467631064285e-07,0.0004315144173957363,6.340502953347344e-06,4.8555562150186404e-11,0.02223948813849593,1.0164325944538899e-18,0.0010276129876032308,0.012404818988750873
26,0.0009174154100222093,2.3741358050159464e-07,0.0003286109149448872,4.6416305244783797e-07,2.441135234650544e-12,0.00339515103068539,1.7606368232476375e-20,0.002866269621372411,0.00786990076866729
27,0.0011832396262036896,4.2458544946208715e-07,0.0005180950418518183,7.898089343553231e-07,4.03323755639934e-12,0.0024125406734971442,4.255641306041734e-20,0.0031340789007375932,0.011016526642437534
28,0.0002280326197629337,7.733329255563047e-07,0.0007873122588311907,1.3263378259550402e-06,4.587691438544293e-12,0.0031420625183121364,7.400482514752437e-21,0.0021643789931669434,0.014130320445954345
29,0.00043649604687633775,5.553235170927054e-07,0.0005198491158922207,1.2270881083333574e-06,4.5119838225791216e-12,0.0030892406850766964,5.509303900102406e-21,0.0031997104159346207,0.01691180606321281
30,0.0006253574986421509,8.471214034029045e-07,0.0007910645685906639,1.913984375774382e-06,8.718641364473355e-12,0.0020742362158040683,8.128389302461811e-21,0.0031652388056731748,0.02238161695910674
