TIMESTAMP,BON30611_OPEN_PRICE_USD,BON30611_HIGH_PRICE_USD,BON30611_LOW_PRICE_USD,BON30611_CLOSE_PRICE_USD,BON30611_VOLUME_USD,BON30611_DIVIDENDS_USD,BON30611_STOCK_SPLITS_USD
2024-04-12 00:00:00+00:00,5.199999941396527e-05,6.600000051548705e-05,2.9000000722589903e-05,3.300000025774352e-05,67646,0.0,0.0
2024-04-13 00:00:00+00:00,3.5000000934815034e-05,8.299999899463728e-05,3.099999958067201e-05,3.400000059627928e-05,88252,0.0,0.0
2024-04-14 00:00:00+00:00,3.400000059627928e-05,4.5000000682193786e-05,2.700000004551839e-05,3.600000127335079e-05,40762,0.0,0.0
2024-04-15 00:00:00+00:00,3.9999998989515007e-05,4.8999998398358e-05,2.9000000722589903e-05,2.9999999242136255e-05,24928,0.0,0.0
2024-04-16 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.499999936844688e-05,2.700000004551839e-05,2982,0.0,0.0
2024-04-17 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.2000000171829015e-05,2.300000051036477e-05,3422,0.0,0.0
2024-04-18 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8000000636675395e-05,2277,0.0,0.0
2024-04-19 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,1406,0.0,0.0
2024-04-20 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.2000000424450263e-05,1.2999999853491317e-05,432,0.0,0.0
2024-04-21 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,1.2999999853491317e-05,104,0.0,0.0
2024-04-22 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,174,0.0,0.0
2024-04-23 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2999999853491317e-05,1906,0.0,0.0
2024-04-24 00:00:00+00:00,1.2999999853491317e-05,1.2999999853491317e-05,1.2000000424450263e-05,1.2000000424450263e-05,332,0.0,0.0
2024-04-25 00:00:00+00:00,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,1.2000000424450263e-05,191,0.0,0.0
