Lag,BTC,DOGE,LTC,MIOTA,USDT,XEM,XLM,XMR,XRP
1,0.5540155082452243,0.18157757060280882,0.7621149521869081,0.39396808204549116,0.046352313806455964,0.3913797712115721,0.45732790997267425,0.052561109119039044,0.025676780637031684
2,0.7791553426198068,0.33735929765412653,0.7756165652196355,0.29727824134695063,0.028611570170579206,0.03272727680605861,0.792665458265244,0.08755558578858266,0.07856488486138985
3,0.8685102033497554,0.4364102914068456,0.9205728695871509,0.492533691215857,0.06856257147690864,0.0030672801158057816,0.5783824715067611,0.11190846139397669,0.02220299752718457
4,0.9269248413243493,0.4331318828965166,0.6194061184021953,0.2394628523475712,0.14373967122128725,6.313656991613204e-05,0.6806114188093386,0.08400649935730323,0.045128105240316845
5,0.4501777108528755,0.0781110065993717,0.6980444737647833,0.18782166419780416,0.2117379856774625,7.973654009677496e-05,0.8552283321906272,0.1369248274742971,0.11074635233991155
6,0.3725793709284102,0.09258858522898111,0.5228456922541196,0.14047584656153206,0.2843721670589522,0.00011682302065054946,0.792459471884348,0.0770276083809147,0.17778994165197026
7,0.38985292908895613,0.152751269641636,0.5849820228257678,0.06767472491932766,0.3986941933233114,0.0002218839093208652,0.8532595213896971,0.12357045904626024,0.17423060019283354
8,0.5148933999018193,0.20970793951875516,0.5333525045121799,0.11382796320929128,0.598666216230672,0.00024177981364858133,0.8950741802309955,0.16667053829806328,0.08708556799226363
9,0.49577747475485845,0.24938204160243835,0.31696677970702736,0.09700297699951756,0.6014603707016783,0.00024002358150301858,0.46133100254326,0.221983543375057,4.242982494811938e-06
10,0.4163041828533676,0.3315676970435192,0.14667286530674115,0.08096903423520162,0.544181287924239,0.00021936524067158134,0.5605795979879237,0.23520975435934172,2.22060448780849e-06
11,0.5924959438062234,0.2230375311407278,0.11250315728151973,0.12789717741821294,0.18014971175534703,0.0003612881353581432,0.7905961992195547,0.18040807587772503,4.293293321868159e-05
12,0.5249336747156836,0.292277327968034,0.10905223322031794,0.1342547621279019,0.2128718880032396,0.0002998145983797638,0.7719987903424589,0.14797239567330675,8.351787274179213e-05
13,0.4663031312220187,0.30026388873856,0.10939751535946712,0.14746354608831927,0.12337848363193293,0.0005522588231069796,0.5364486342522188,0.24454414995302967,6.976703254298184e-05
14,0.4880456813336377,0.2800726707760153,0.0766527856883619,0.08133013716585495,0.08337786513680095,0.00019357218054613388,0.5847620285645907,0.1927594778584229,9.381087799651852e-05
15,0.5217460453125223,0.339638656910191,0.14637444887648823,0.09964436378419839,0.16080626763444833,0.0003893768764186148,0.6916472668705854,0.1617173653753921,6.0844411753847756e-05
16,0.6041258944745707,0.38097652792896314,0.12213071372767784,0.11825243707659289,0.17592202428277418,0.0005326160214442709,0.7235151339046385,0.19012586499930825,9.586360538373548e-05
17,0.2955867179295088,0.29896667277414646,0.057555002383314346,0.14200118802555312,0.23717164391620602,0.0002127409974404064,0.7863600512159596,0.22499762749884158,0.0001904633113725204
18,0.22003167198790044,0.3482048108729929,0.08361488180118382,0.13775766851196625,0.2748646267905005,0.00020152021222651236,0.826463823369588,0.2655646711350331,0.00035490511516694204
19,0.19629968464105482,0.438610898626219,0.06013734780076535,0.1613395567568021,0.35056937345317113,0.0004345301334369262,0.8900598969776279,0.13929744540764616,0.000539146258721425
20,0.2114987521839813,0.22555244628411225,0.04791596259398036,0.21323822465075473,0.3528687584423038,0.000560225147109589,0.9133131005416101,0.19282953645768172,0.0008805090267675471
21,0.03358812539136054,0.2864967615868025,0.05208694024452912,0.21777115228505603,0.4549950845331962,0.0008316772151382907,0.9197389783053441,0.21890127444799615,0.0009000002192884372
22,0.023496671527814584,0.25535293089790473,0.047988361473153274,0.21833402452129003,0.37911893670714597,0.0014935221912176042,0.9429825692811791,0.26930058152308456,0.002070267882658651
23,0.03704484931772769,0.26652861499448466,0.04342237907943345,0.13896521768917774,0.4691844448287129,0.0023553032623119235,0.9394372110376051,0.29216298267692015,0.0021037231772736286
24,0.04963315695579301,0.31440124122034163,0.05326577004446776,0.128481606511906,0.5231762087307406,0.0035177009599308548,0.9547792373984977,0.3171464288452245,0.0025284948948857055
25,0.06679339208177368,0.21122886956763645,0.03922352610903299,0.11314419893746624,0.5962718776770393,0.0022619458590589967,0.9764430948295467,0.3484400371425866,0.00396201537888751
26,0.048110480285145245,0.16579939624574677,0.01437306817116964,0.13412107511151428,0.5810555020784102,0.0011482809877438845,0.9639540007187233,0.4151252889307257,0.0050469438072091085
27,0.02934285623229833,0.1913278864667426,0.014391964506646005,0.1583610797230348,0.6090980878505221,0.0002631941440622658,0.935504448073954,0.4670351055838009,0.0014001074917555294
28,0.018426572279251263,0.20544585765497053,0.001830578556529075,0.04557489572935681,0.5592244148494027,0.0003138908670788327,0.29444145430326724,0.2714071156499229,0.0015417880247063271
29,0.03190354164160762,0.24034230714903637,0.0037514714177823852,0.04171285780170404,0.3636954589842575,0.00032850923739358357,0.40688939495695065,0.2102130307146974,0.001801930933049852
30,0.0430719815975742,0.26750856389168187,0.008962894083204812,0.017550779836374736,0.3862085731316905,0.0003881342436825495,0.3389137742870386,0.13669188411619285,0.0003062294148097468
