,LTC
ETH,0.769228379329216
BTC,0.7245778361589561
XRP,0.6816650684618203
XMR,0.6686688072030913
XLM,0.6487395319257779
MIOTA,0.6446240614749019
DOGE,0.5993529758159072
XEM,0.5934885467442885
USDT,0.0696901717833029
