,LTC
ETH,0.7906394634581629
BTC,0.7409741804278541
XRP,0.6977072420187898
XMR,0.689595372033916
MIOTA,0.6680519381380715
XLM,0.6623295712177159
XEM,0.6240450350162352
DOGE,0.6095910719363232
USDT,-0.0151422949129861
