TIMESTAMP,PUSSY_OPEN_PRICE_USD,PUSSY_HIGH_PRICE_USD,PUSSY_LOW_PRICE_USD,PUSSY_CLOSE_PRICE_USD,PUSSY_VOLUME_USD,PUSSY_DIVIDENDS_USD,PUSSY_STOCK_SPLITS_USD
2021-05-07 00:00:00+00:00,8.600000001024455e-05,0.00015500000154133886,8.299999899463728e-05,0.00012599999899975955,15330965,0.0,0.0
2021-05-08 00:00:00+00:00,0.00012700000661425292,0.0001740000006975606,0.00010099999781232327,0.0001320000010309741,11318666,0.0,0.0
2021-05-09 00:00:00+00:00,0.0001320000010309741,0.0001320000010309741,6.199999916134402e-05,8.399999933317304e-05,8325993,0.0,0.0
2021-05-10 00:00:00+00:00,8.399999933317304e-05,9.7999996796716e-05,6.399999983841553e-05,9.100000170292333e-05,3231953,0.0,0.0
2021-05-11 00:00:00+00:00,9.100000170292333e-05,0.00015700000221841037,5.2999999752501026e-05,9.999999747378752e-05,11401033,0.0,0.0
2021-05-12 00:00:00+00:00,9.999999747378752e-05,9.999999747378752e-05,5.0999999075429514e-05,6.0999998822808266e-05,3150397,0.0,0.0
2021-05-13 00:00:00+00:00,5.999999848427251e-05,7.200000254670158e-05,5.6000000768108293e-05,6.500000017695129e-05,1052536,0.0,0.0
2021-05-14 00:00:00+00:00,6.500000017695129e-05,0.00011700000322889537,6.299999949987978e-05,0.00011000000085914508,2863149,0.0,0.0
2021-05-15 00:00:00+00:00,0.00011000000085914508,0.0001230000052601099,7.699999696342275e-05,8.800000068731606e-05,1562445,0.0,0.0
2021-05-16 00:00:00+00:00,8.800000068731606e-05,9.600000339560211e-05,6.0999998822808266e-05,6.500000017695129e-05,1394792,0.0,0.0
2021-05-17 00:00:00+00:00,6.500000017695129e-05,7.999999797903001e-05,5.0999999075429514e-05,5.6000000768108293e-05,996108,0.0,0.0
2021-05-18 00:00:00+00:00,5.6000000768108293e-05,6.500000017695129e-05,4.999999873689376e-05,5.400000009103678e-05,653922,0.0,0.0
2021-05-19 00:00:00+00:00,5.400000009103678e-05,7.300000288523734e-05,3.099999958067201e-05,5.999999848427251e-05,1333027,0.0,0.0
2021-05-20 00:00:00+00:00,5.900000178371556e-05,9.100000170292333e-05,4.5000000682193786e-05,8.199999865610152e-05,1246185,0.0,0.0
2021-05-21 00:00:00+00:00,8.199999865610152e-05,8.499999967170879e-05,4.099999932805076e-05,5.400000009103678e-05,544204,0.0,0.0
2021-05-22 00:00:00+00:00,5.400000009103678e-05,5.900000178371556e-05,4.70000013592653e-05,4.70000013592653e-05,400139,0.0,0.0
2021-05-23 00:00:00+00:00,4.70000013592653e-05,4.999999873689376e-05,2.2000000171829015e-05,4.600000102072954e-05,1055430,0.0,0.0
2021-05-24 00:00:00+00:00,4.600000102072954e-05,6.299999949987978e-05,4.5000000682193786e-05,5.6000000768108293e-05,280847,0.0,0.0
2021-05-25 00:00:00+00:00,5.6000000768108293e-05,5.8000001445179805e-05,3.899999865097925e-05,4.5000000682193786e-05,248392,0.0,0.0
2021-05-26 00:00:00+00:00,4.5000000682193786e-05,4.999999873689376e-05,3.400000059627928e-05,3.600000127335079e-05,447652,0.0,0.0
2021-05-27 00:00:00+00:00,3.600000127335079e-05,5.400000009103678e-05,3.300000025774352e-05,5.2999999752501026e-05,1354438,0.0,0.0
2021-05-28 00:00:00+00:00,5.2999999752501026e-05,5.400000009103678e-05,3.400000059627928e-05,3.899999865097925e-05,399081,0.0,0.0
2021-05-29 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.099999958067201e-05,3.300000025774352e-05,338326,0.0,0.0
2021-05-30 00:00:00+00:00,3.300000025774352e-05,3.899999865097925e-05,3.099999958067201e-05,3.7999998312443495e-05,299935,0.0,0.0
2021-05-31 00:00:00+00:00,3.7999998312443495e-05,8.499999967170879e-05,3.5000000934815034e-05,7.300000288523734e-05,1885067,0.0,0.0
2021-06-01 00:00:00+00:00,7.300000288523734e-05,8.499999967170879e-05,6.0999998822808266e-05,6.500000017695129e-05,853584,0.0,0.0
2021-06-02 00:00:00+00:00,6.500000017695129e-05,7.300000288523734e-05,6.0999998822808266e-05,7.300000288523734e-05,749179,0.0,0.0
2021-06-03 00:00:00+00:00,7.300000288523734e-05,0.00011100000119768083,7.100000220816582e-05,0.00011000000085914508,3093654,0.0,0.0
2021-06-04 00:00:00+00:00,0.00011000000085914508,0.00011000000085914508,7.999999797903001e-05,0.00010199999815085903,1367445,0.0,0.0
2021-06-05 00:00:00+00:00,0.00010199999815085903,0.00011500000255182385,8.099999831756577e-05,9.899999713525176e-05,1592061,0.0,0.0
2021-06-06 00:00:00+00:00,9.899999713525176e-05,0.00012199999764561653,9.600000339560211e-05,0.0001049999991664663,1815659,0.0,0.0
2021-06-07 00:00:00+00:00,0.0001049999991664663,0.0001049999991664663,6.199999916134402e-05,7.500000356230885e-05,2012831,0.0,0.0
2021-06-08 00:00:00+00:00,7.500000356230885e-05,8.099999831756577e-05,6.0999998822808266e-05,7.899999764049426e-05,786769,0.0,0.0
2021-06-09 00:00:00+00:00,7.899999764049426e-05,7.899999764049426e-05,6.800000119255856e-05,7.899999764049426e-05,443611,0.0,0.0
2021-06-10 00:00:00+00:00,7.899999764049426e-05,8.299999899463728e-05,7.000000186963007e-05,7.100000220816582e-05,261058,0.0,0.0
2021-06-11 00:00:00+00:00,7.100000220816582e-05,7.79999973019585e-05,6.600000051548705e-05,6.70000008540228e-05,703447,0.0,0.0
2021-06-12 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,5.999999848427251e-05,6.199999916134402e-05,232117,0.0,0.0
2021-06-13 00:00:00+00:00,6.199999916134402e-05,6.600000051548705e-05,5.900000178371556e-05,6.399999983841553e-05,213803,0.0,0.0
2021-06-14 00:00:00+00:00,6.399999983841553e-05,0.00011999999696854502,6.299999949987978e-05,6.500000017695129e-05,201712,0.0,0.0
2021-06-15 00:00:00+00:00,8.399999933317304e-05,9.999999747378752e-05,8.199999865610152e-05,9.300000237999484e-05,5014484,0.0,0.0
2021-06-16 00:00:00+00:00,8.800000068731606e-05,8.800000068731606e-05,7.300000288523734e-05,7.300000288523734e-05,331596,0.0,0.0
2021-06-17 00:00:00+00:00,7.300000288523734e-05,8.199999865610152e-05,6.70000008540228e-05,7.300000288523734e-05,268699,0.0,0.0
2021-06-18 00:00:00+00:00,7.300000288523734e-05,7.300000288523734e-05,5.700000110664405e-05,6.199999916134402e-05,420208,0.0,0.0
2021-06-19 00:00:00+00:00,6.199999916134402e-05,6.299999949987978e-05,5.700000110664405e-05,5.8000001445179805e-05,159254,0.0,0.0
2021-06-20 00:00:00+00:00,5.8000001445179805e-05,6.0999998822808266e-05,5.199999941396527e-05,5.900000178371556e-05,308193,0.0,0.0
