TIMESTAMP,DOGER_OPEN_PRICE_USD,DOGER_HIGH_PRICE_USD,DOGER_LOW_PRICE_USD,DOGER_CLOSE_PRICE_USD,DOGER_VOLUME_USD,DOGER_DIVIDENDS_USD,DOGER_STOCK_SPLITS_USD
2024-06-10 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,89424,0.0,0.0
2024-06-11 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,5274,0.0,0.0
2024-06-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,383,0.0,0.0
2024-06-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,396,0.0,0.0
2024-06-14 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,119,0.0,0.0
2024-06-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,930,0.0,0.0
2024-06-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,278,0.0,0.0
2024-06-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,4,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,17,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,48,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,101,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,4,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,53,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,29,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,187,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,15,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,8,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,274,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,54,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,3,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,1379,0.0,0.0
