TIMESTAMP,HMNG28379_OPEN_PRICE_USD,HMNG28379_HIGH_PRICE_USD,HMNG28379_LOW_PRICE_USD,HMNG28379_CLOSE_PRICE_USD,HMNG28379_VOLUME_USD,HMNG28379_DIVIDENDS_USD,HMNG28379_STOCK_SPLITS_USD
2023-11-10 00:00:00+00:00,,,,0.0,82447,0.0,0.0
2023-11-11 00:00:00+00:00,,,,0.0,26861,0.0,0.0
2023-11-12 00:00:00+00:00,,,,0.0,5822,0.0,0.0
2023-11-13 00:00:00+00:00,,,,0.0,13322,0.0,0.0
2023-11-14 00:00:00+00:00,,,,0.0,8149,0.0,0.0
2023-11-15 00:00:00+00:00,,,,0.0,10637,0.0,0.0
2023-11-16 00:00:00+00:00,,,,0.0,12032,0.0,0.0
2023-11-17 00:00:00+00:00,,,,0.0,4866,0.0,0.0
2023-11-18 00:00:00+00:00,,,,0.0,11336,0.0,0.0
2023-11-19 00:00:00+00:00,,,,0.0,6967,0.0,0.0
2023-11-20 00:00:00+00:00,,,,0.0,6946,0.0,0.0
2023-11-21 00:00:00+00:00,,,,0.0,5914,0.0,0.0
2023-11-22 00:00:00+00:00,,,,0.0,2502,0.0,0.0
2023-11-23 00:00:00+00:00,,,,0.0,3822,0.0,0.0
2023-11-24 00:00:00+00:00,,,,0.0,3791,0.0,0.0
2023-11-25 00:00:00+00:00,,,,0.0,7856,0.0,0.0
2023-11-26 00:00:00+00:00,,,,0.0,3202,0.0,0.0
2023-11-27 00:00:00+00:00,,,,0.0,2070,0.0,0.0
2023-11-28 00:00:00+00:00,,,,0.0,7010,0.0,0.0
2023-11-29 00:00:00+00:00,,,,0.0,2096,0.0,0.0
2023-11-30 00:00:00+00:00,,,,0.0,4758,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,1821,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,1887,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,2394,0.0,0.0
