TIMESTAMP,BBONK_OPEN_PRICE_USD,BBONK_HIGH_PRICE_USD,BBONK_LOW_PRICE_USD,BBONK_CLOSE_PRICE_USD,BBONK_VOLUME_USD,BBONK_DIVIDENDS_USD,BBONK_STOCK_SPLITS_USD
2024-10-02 00:00:00+00:00,0.00010599999950500205,0.0001230000052601099,9.600000339560211e-05,0.00010599999950500205,119885,0.0,0.0
2024-10-03 00:00:00+00:00,0.00010599999950500205,0.00011000000085914508,0.00010199999815085903,0.00010599999950500205,136567,0.0,0.0
2024-10-04 00:00:00+00:00,0.0001049999991664663,0.00010900000052060932,0.00010199999815085903,0.0001049999991664663,178608,0.0,0.0
2024-10-05 00:00:00+00:00,0.0001049999991664663,0.00010800000018207356,5.8000001445179805e-05,6.900000153109431e-05,239739,0.0,0.0
2024-10-06 00:00:00+00:00,6.900000153109431e-05,7.300000288523734e-05,6.399999983841553e-05,6.70000008540228e-05,183195,0.0,0.0
2024-10-07 00:00:00+00:00,6.70000008540228e-05,6.900000153109431e-05,5.500000042957254e-05,6.800000119255856e-05,264833,0.0,0.0
2024-10-08 00:00:00+00:00,6.800000119255856e-05,6.900000153109431e-05,5.500000042957254e-05,6.70000008540228e-05,144587,0.0,0.0
2024-10-09 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.600000051548705e-05,6.70000008540228e-05,113307,0.0,0.0
2024-10-10 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,159514,0.0,0.0
2024-10-11 00:00:00+00:00,6.800000119255856e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,126629,0.0,0.0
2024-10-12 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.70000008540228e-05,6.70000008540228e-05,87884,0.0,0.0
2024-10-13 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.600000051548705e-05,6.800000119255856e-05,105332,0.0,0.0
2024-10-14 00:00:00+00:00,6.800000119255856e-05,7.000000186963007e-05,6.70000008540228e-05,6.900000153109431e-05,102632,0.0,0.0
