TIMESTAMP,GOOFY_OPEN_PRICE_USD,GOOFY_HIGH_PRICE_USD,GOOFY_LOW_PRICE_USD,GOOFY_CLOSE_PRICE_USD,GOOFY_VOLUME_USD,GOOFY_DIVIDENDS_USD,GOOFY_STOCK_SPLITS_USD
2025-04-17 00:00:00+00:00,,,,0.0,133270,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,1128662,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,607044,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,8234,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,5789,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,5888,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,1355,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,918,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,795,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,95,0.0,0.0
2025-05-01 00:00:00+00:00,,,,0.0,355,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,339,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,1120,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,310,0.0,0.0
2025-05-11 00:00:00+00:00,,,,0.0,305,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,428,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,35,0.0,0.0
2025-06-01 00:00:00+00:00,1.066139974155618e-13,1.066139974155618e-13,1.0428099762828033e-13,1.0511083919483716e-13,69,0.0,0.0
