TIMESTAMP,NEO24253_OPEN_PRICE_USD,NEO24253_HIGH_PRICE_USD,NEO24253_LOW_PRICE_USD,NEO24253_CLOSE_PRICE_USD,NEO24253_VOLUME_USD,NEO24253_DIVIDENDS_USD,NEO24253_STOCK_SPLITS_USD
2023-04-04 00:00:00+00:00,,,,0.0,239925,0.0,0.0
2023-04-05 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,174823,0.0,0.0
2023-04-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,211983,0.0,0.0
2023-04-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,67749,0.0,0.0
2023-04-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,37000,0.0,0.0
2023-04-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,33036,0.0,0.0
2023-04-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,37280,0.0,0.0
2023-04-11 00:00:00+00:00,,,,0.0,45374,0.0,0.0
2023-04-12 00:00:00+00:00,,,,0.0,24338,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,25826,0.0,0.0
2023-04-14 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,51261,0.0,0.0
2023-04-15 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,106551,0.0,0.0
2023-04-16 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,72726,0.0,0.0
2023-04-17 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,44680,0.0,0.0
2023-04-18 00:00:00+00:00,,,,0.0,30660,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,47033,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,19637,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,7540,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,2513,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,10424,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,3914,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,5632,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,1299,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,1060,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,7118,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,1472,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,1120,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,698,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,692,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,794,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,88,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,667,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,6074,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,1603,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,864,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,2361,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,229,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,227,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,167,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,59,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,42,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,18,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,63,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,4,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,54,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,145,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,89,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,429,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,53,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,16,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,37,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,13,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,118,0.0,0.0
