TIMESTAMP,WYNN32114_OPEN_PRICE_USD,WYNN32114_HIGH_PRICE_USD,WYNN32114_LOW_PRICE_USD,WYNN32114_CLOSE_PRICE_USD,WYNN32114_VOLUME_USD,WYNN32114_DIVIDENDS_USD,WYNN32114_STOCK_SPLITS_USD
2024-07-04 00:00:00+00:00,0.001221999991685152,0.0013310000067576766,0.0009260000078938901,0.0011630000080913305,2665510,0.0,0.0
2024-07-05 00:00:00+00:00,0.0011630000080913305,0.0015379999531432986,0.00020199999562464654,0.00024300000222865492,846141,0.0,0.0
2024-07-06 00:00:00+00:00,0.00024300000222865492,0.00041000000783242285,0.00013000000035390258,0.00016700000560376793,285106,0.0,0.0
2024-07-07 00:00:00+00:00,0.00016700000560376793,0.00019299999985378236,0.00011700000322889537,0.00011899999663000926,46623,0.0,0.0
2024-07-08 00:00:00+00:00,0.00011899999663000926,0.00011899999663000926,8.499999967170879e-05,0.00010099999781232327,18066,0.0,0.0
2024-07-09 00:00:00+00:00,0.00010099999781232327,0.0001230000052601099,6.199999916134402e-05,6.900000153109431e-05,24317,0.0,0.0
2024-07-10 00:00:00+00:00,6.900000153109431e-05,0.0006430000066757202,4.8999998398358e-05,0.00014200000441633165,269038,0.0,0.0
2024-07-11 00:00:00+00:00,0.00014200000441633165,0.00037799999699927866,0.00011700000322889537,0.00013499999477062374,173720,0.0,0.0
2024-07-12 00:00:00+00:00,0.00013499999477062374,0.00014899999951012433,0.00011899999663000926,0.00011899999663000926,14305,0.0,0.0
2024-07-13 00:00:00+00:00,0.00011899999663000926,0.00012799999967683107,9.500000305706635e-05,9.899999713525176e-05,10102,0.0,0.0
2024-07-14 00:00:00+00:00,9.899999713525176e-05,0.0002730000123847276,8.199999865610152e-05,9.899999713525176e-05,89505,0.0,0.0
2024-07-15 00:00:00+00:00,9.899999713525176e-05,9.899999713525176e-05,7.999999797903001e-05,8.499999967170879e-05,12237,0.0,0.0
2024-07-16 00:00:00+00:00,8.499999967170879e-05,9.300000237999484e-05,7.200000254670158e-05,8.499999967170879e-05,7266,0.0,0.0
2024-07-17 00:00:00+00:00,8.499999967170879e-05,8.70000003487803e-05,6.500000017695129e-05,7.500000356230885e-05,8916,0.0,0.0
2024-07-18 00:00:00+00:00,7.500000356230885e-05,0.00013499999477062374,6.399999983841553e-05,9.000000136438757e-05,35321,0.0,0.0
2024-07-19 00:00:00+00:00,9.000000136438757e-05,0.00011700000322889537,6.299999949987978e-05,7.100000220816582e-05,47574,0.0,0.0
2024-07-20 00:00:00+00:00,7.100000220816582e-05,9.100000170292333e-05,6.600000051548705e-05,6.900000153109431e-05,12415,0.0,0.0
2024-07-21 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.299999949987978e-05,6.399999983841553e-05,1472,0.0,0.0
2024-07-22 00:00:00+00:00,6.399999983841553e-05,6.800000119255856e-05,6.199999916134402e-05,6.199999916134402e-05,1811,0.0,0.0
2024-07-23 00:00:00+00:00,6.199999916134402e-05,6.199999916134402e-05,5.6000000768108293e-05,5.900000178371556e-05,1687,0.0,0.0
2024-07-24 00:00:00+00:00,5.900000178371556e-05,6.800000119255856e-05,5.700000110664405e-05,6.399999983841553e-05,2574,0.0,0.0
2024-07-25 00:00:00+00:00,6.399999983841553e-05,6.70000008540228e-05,5.400000009103678e-05,6.70000008540228e-05,3247,0.0,0.0
2024-07-26 00:00:00+00:00,6.70000008540228e-05,9.000000136438757e-05,5.500000042957254e-05,5.8000001445179805e-05,18952,0.0,0.0
2024-07-27 00:00:00+00:00,5.8000001445179805e-05,5.8000001445179805e-05,4.8000001697801054e-05,5.2999999752501026e-05,3574,0.0,0.0
2024-07-28 00:00:00+00:00,5.2999999752501026e-05,5.500000042957254e-05,5.199999941396527e-05,5.500000042957254e-05,606,0.0,0.0
2024-07-29 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,5.2999999752501026e-05,5.2999999752501026e-05,1707,0.0,0.0
2024-07-30 00:00:00+00:00,5.2999999752501026e-05,5.2999999752501026e-05,4.5000000682193786e-05,4.999999873689376e-05,3359,0.0,0.0
2024-07-31 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.70000013592653e-05,4.70000013592653e-05,923,0.0,0.0
2024-08-01 00:00:00+00:00,4.70000013592653e-05,4.70000013592653e-05,3.7000001611886546e-05,3.7000001611886546e-05,1623,0.0,0.0
2024-08-02 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.300000025774352e-05,3.300000025774352e-05,372,0.0,0.0
2024-08-03 00:00:00+00:00,3.300000025774352e-05,3.400000059627928e-05,3.199999991920777e-05,3.199999991920777e-05,903,0.0,0.0
2024-08-04 00:00:00+00:00,3.199999991920777e-05,3.899999865097925e-05,3.199999991920777e-05,3.5000000934815034e-05,1731,0.0,0.0
2024-08-05 00:00:00+00:00,3.5000000934815034e-05,3.5000000934815034e-05,2.2000000171829015e-05,2.499999936844688e-05,2124,0.0,0.0
2024-08-06 00:00:00+00:00,2.499999936844688e-05,2.9000000722589903e-05,2.499999936844688e-05,2.499999936844688e-05,2252,0.0,0.0
2024-08-07 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.099999983329326e-05,2.099999983329326e-05,2306,0.0,0.0
2024-08-08 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,170,0.0,0.0
2024-08-09 00:00:00+00:00,2.099999983329326e-05,2.4000000848900527e-05,2.099999983329326e-05,2.4000000848900527e-05,1264,0.0,0.0
2024-08-10 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.099999983329326e-05,2.300000051036477e-05,1491,0.0,0.0
2024-08-11 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,808,0.0,0.0
2024-08-12 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,0,0.0,0.0
2024-08-13 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,0,0.0,0.0
2024-08-14 00:00:00+00:00,2.2000000171829015e-05,2.300000051036477e-05,2.099999983329326e-05,2.300000051036477e-05,1171,0.0,0.0
2024-08-15 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,2.2000000171829015e-05,2.2000000171829015e-05,80,0.0,0.0
2024-08-16 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,0,0.0,0.0
2024-08-17 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.9999999494757503e-05,1.9999999494757503e-05,642,0.0,0.0
2024-08-18 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,91,0.0,0.0
2024-08-19 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,3,0.0,0.0
2024-08-20 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,109,0.0,0.0
2024-08-21 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,2.099999983329326e-05,3,0.0,0.0
2024-08-22 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.2000000171829015e-05,342,0.0,0.0
2024-08-23 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,365,0.0,0.0
2024-08-24 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,44,0.0,0.0
2024-08-25 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,2.2000000171829015e-05,42,0.0,0.0
2024-08-26 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8999999156221747e-05,2.099999983329326e-05,1419,0.0,0.0
2024-08-27 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.8000000636675395e-05,1.8000000636675395e-05,574,0.0,0.0
