TIMESTAMP,DEEPSEEK_OPEN_PRICE_USD,DEEPSEEK_HIGH_PRICE_USD,DEEPSEEK_LOW_PRICE_USD,DEEPSEEK_CLOSE_PRICE_USD,DEEPSEEK_VOLUME_USD,DEEPSEEK_DIVIDENDS_USD,DEEPSEEK_STOCK_SPLITS_USD
2025-03-15 00:00:00+00:00,,,,0.0,1188,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,1468,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,931,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,136,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,1228,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,265,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,1227,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,460,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,187,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,1111,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,154,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,244,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,251,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,224,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,232,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,77,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,128,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,173,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,11,0.0,0.0
2025-06-01 00:00:00+00:00,5.019049954292643e-13,5.019049954292643e-13,4.960327938327569e-13,4.960327938327569e-13,4,0.0,0.0
