TIMESTAMP,VNM_OPEN_PRICE_USD,VNM_HIGH_PRICE_USD,VNM_LOW_PRICE_USD,VNM_CLOSE_PRICE_USD,VNM_VOLUME_USD,VNM_DIVIDENDS_USD,VNM_STOCK_SPLITS_USD
2023-05-18 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.700000029813964e-05,1.700000029813964e-05,84939,0.0,0.0
2023-05-19 00:00:00+00:00,1.700000029813964e-05,2.099999983329326e-05,1.5999999959603883e-05,2.099999983329326e-05,43153,0.0,0.0
2023-05-20 00:00:00+00:00,2.099999983329326e-05,4.400000034365803e-05,2.099999983329326e-05,3.600000127335079e-05,129472,0.0,0.0
2023-05-21 00:00:00+00:00,3.600000127335079e-05,3.9999998989515007e-05,3.600000127335079e-05,3.7999998312443495e-05,47520,0.0,0.0
2023-05-22 00:00:00+00:00,3.7999998312443495e-05,3.7999998312443495e-05,2.700000004551839e-05,2.700000004551839e-05,34288,0.0,0.0
2023-05-23 00:00:00+00:00,2.700000004551839e-05,3.899999865097925e-05,2.5999999706982635e-05,3.600000127335079e-05,57362,0.0,0.0
2023-05-24 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.099999958067201e-05,3.199999991920777e-05,17767,0.0,0.0
2023-05-25 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,3.099999958067201e-05,10005,0.0,0.0
2023-05-26 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.4000000848900527e-05,2.4000000848900527e-05,30505,0.0,0.0
2023-05-27 00:00:00+00:00,2.4000000848900527e-05,2.499999936844688e-05,2.300000051036477e-05,2.300000051036477e-05,6514,0.0,0.0
2023-05-28 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,1.9999999494757503e-05,1.9999999494757503e-05,16436,0.0,0.0
2023-05-29 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,6320,0.0,0.0
2023-05-30 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,2.099999983329326e-05,2.099999983329326e-05,2868,0.0,0.0
2023-05-31 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.700000029813964e-05,1.700000029813964e-05,16658,0.0,0.0
2023-06-01 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4000000192027073e-05,1.4000000192027073e-05,10328,0.0,0.0
2023-06-02 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.4000000192027073e-05,1.4000000192027073e-05,2284,0.0,0.0
2023-06-03 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1664,0.0,0.0
2023-06-04 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,1.4000000192027073e-05,2709,0.0,0.0
2023-06-05 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.1000000085914508e-05,1.1000000085914508e-05,10062,0.0,0.0
2023-06-06 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,1.1000000085914508e-05,658,0.0,0.0
2023-06-07 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,3042,0.0,0.0
2023-06-08 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,3471,0.0,0.0
2023-06-09 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,4470,0.0,0.0
2023-06-10 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,9.000000318337698e-06,9.000000318337698e-06,2217,0.0,0.0
2023-06-11 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,691,0.0,0.0
2023-06-12 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,9.000000318337698e-06,1446,0.0,0.0
