,ETH
BTC,0.7763472814895821
ETC,0.7360682259720082
XRP,0.7265275210135927
QTUM,0.7215693285994134
GNO,0.6960772450093543
BTS,0.6737105560271032
SC,0.6519588403347983
DGB,0.6491222856286241
XEM,0.6393434343071424
LSK,0.6346691160595964
DOGE,0.6144778138259059
DCR,0.6144217702070428
FIRO,0.6129404413450423
MONA,0.5882351343751551
KMD,0.5794817398313232
STEEM,0.5788282634955497
ZEN,0.5772060451153165
ANT,0.5606546009665029
RLC,0.5592237013837758
ARK,0.5570640057128353
SYS,0.5217423052229042
MAID,0.503561085949343
VERI,0.4086714700760158
XWC,0.2981151953859752
CON,0.2529655140773216
USDT,0.095625838071466
