TIMESTAMP,BABYPEPE_OPEN_PRICE_USD,BABYPEPE_HIGH_PRICE_USD,BABYPEPE_LOW_PRICE_USD,BABYPEPE_CLOSE_PRICE_USD,BABYPEPE_VOLUME_USD,BABYPEPE_DIVIDENDS_USD,BABYPEPE_STOCK_SPLITS_USD
2023-04-19 00:00:00+00:00,,,,0.0,4529428,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,10978968,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,3537858,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,2078530,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,1190986,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,846979,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,603665,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,550730,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,407644,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,577439,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,990865,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,1986234,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,3565543,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,2519765,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,1258786,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,1497992,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,5595734,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,3374587,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,1310728,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,1401965,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,666421,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,547542,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,580962,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,409171,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,591129,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,230619,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,590683,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,318975,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,215129,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,93327,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,67825,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,110307,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,48202,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,58039,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,36549,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,106901,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,87973,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,61452,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,18382,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,38726,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,40419,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,47231,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,32241,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,15601,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,23391,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,12323,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,53307,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,73355,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,11801,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,14219,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,1915,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,12043,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,35657,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,4595,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,17462,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,3501,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,5762,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,20962,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,46475,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,54429,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,20109,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,22186,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,18085,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,164279,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,200065,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,64123,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,59992,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,42415,0.0,0.0
