Time,asks,bids,price_usd
2015-01-26 00:00:00 UTC,116279.0337197,161544.957485346,271.040424528302
2015-01-27 00:00:00 UTC,229597.260616365,175452.366235257,260.50301754386
2015-01-28 00:00:00 UTC,437869.946617441,564771.997567658,253.023855633803
2015-01-29 00:00:00 UTC,447397.795999378,747331.655140153,233.462899305556
2015-01-30 00:00:00 UTC,453527.703203045,584598.965364245,234.218591065292
2015-01-31 00:00:00 UTC,545544.734075209,992933.916875157,229.488194444444
2015-02-01 00:00:00 UTC,378339.206681825,604914.011945145,219.75965034965
2015-02-02 00:00:00 UTC,382024.693092275,272730.717831614,227.003989547038
2015-02-03 00:00:00 UTC,630606.602858298,756623.36110492,236.906289198606
2015-02-04 00:00:00 UTC,598442.0701175,594679.979156464,225.836395348837
2015-02-05 00:00:00 UTC,658990.86742036,762630.968616495,223.316223776224
2015-02-06 00:00:00 UTC,481985.927530665,724954.315806509,220.821770833333
2015-02-07 00:00:00 UTC,684200.605718098,924052.151800558,226.65831010453
2015-02-08 00:00:00 UTC,652886.873124211,939679.835211463,225.896672473868
2015-02-09 00:00:00 UTC,649456.424720809,887115.207648137,221.634079861111
2015-02-10 00:00:00 UTC,655798.535790136,1349080.08407548,218.810961538462
2015-02-11 00:00:00 UTC,689447.949936518,1315233.06997604,221.68115916955
2015-02-12 00:00:00 UTC,544659.292351053,1157575.75196057,221.103055555556
2015-02-13 00:00:00 UTC,539084.550992048,675186.301774613,232.865833333333
2015-02-14 00:00:00 UTC,524379.647760865,501380.106855437,246.722871972318
2015-02-15 00:00:00 UTC,448258.185285726,455822.309320551,250.018240418118
2015-02-16 00:00:00 UTC,348427.801135075,647414.120091938,234.866136363636
2015-02-17 00:00:00 UTC,455949.238678304,591137.323725604,239.054861111111
2015-02-18 00:00:00 UTC,455901.364217861,662054.470765789,240.628048780488
2015-02-19 00:00:00 UTC,520181.708441113,761052.39302796,238.772491289199
2015-02-20 00:00:00 UTC,558293.30572221,750296.57583903,244.365243902439
2015-02-21 00:00:00 UTC,593470.224363402,747063.43853686,245.558509933775
2015-02-22 00:00:00 UTC,661776.50142552,672519.492490669,242.528675958188
2015-02-23 00:00:00 UTC,667681.32639369,635551.443745373,237.332386759582
2015-02-24 00:00:00 UTC,755683.919624492,686205.233494375,239.149930555556
2015-02-25 00:00:00 UTC,719380.931321085,732134.758683889,238.587829861111
2015-02-26 00:00:00 UTC,813771.335716406,670768.856376151,237.101916376307
2015-02-27 00:00:00 UTC,640108.656482522,619728.298162428,250.973780487805
2015-02-28 00:00:00 UTC,643512.495780106,720733.619598214,253.643286713287
