TIMESTAMP,RADX_OPEN_PRICE_USD,RADX_HIGH_PRICE_USD,RADX_LOW_PRICE_USD,RADX_CLOSE_PRICE_USD,RADX_VOLUME_USD,RADX_DIVIDENDS_USD,RADX_STOCK_SPLITS_USD
2024-05-23 00:00:00+00:00,9.000000318337698e-06,1.8999999156221747e-05,6.000000212225132e-06,7.999999979801942e-06,88006,0.0,0.0
2024-05-24 00:00:00+00:00,7.000000096013537e-06,1.2000000424450263e-05,6.000000212225132e-06,1.1000000085914508e-05,14517,0.0,0.0
2024-05-25 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,4139,0.0,0.0
2024-05-26 00:00:00+00:00,1.2000000424450263e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.1000000085914508e-05,16377,0.0,0.0
2024-05-27 00:00:00+00:00,1.1000000085914508e-05,1.8000000636675395e-05,1.1000000085914508e-05,1.5999999959603883e-05,5953,0.0,0.0
2024-05-28 00:00:00+00:00,1.5999999959603883e-05,1.8999999156221747e-05,1.4999999621068127e-05,1.8999999156221747e-05,3345,0.0,0.0
2024-05-29 00:00:00+00:00,1.8999999156221747e-05,2.099999983329326e-05,1.8999999156221747e-05,1.9999999494757503e-05,4398,0.0,0.0
2024-05-30 00:00:00+00:00,1.9999999494757503e-05,7.400000322377309e-05,9.999999747378752e-06,2.300000051036477e-05,88497,0.0,0.0
2024-05-31 00:00:00+00:00,2.300000051036477e-05,2.5999999706982635e-05,2.300000051036477e-05,2.5999999706982635e-05,1660,0.0,0.0
2024-06-01 00:00:00+00:00,2.5999999706982635e-05,2.9000000722589903e-05,1.9999999494757503e-05,2.5999999706982635e-05,14568,0.0,0.0
2024-06-02 00:00:00+00:00,2.700000004551839e-05,3.300000025774352e-05,2.5999999706982635e-05,3.300000025774352e-05,5192,0.0,0.0
2024-06-03 00:00:00+00:00,3.300000025774352e-05,5.0999999075429514e-05,2.9999999242136255e-05,4.199999966658652e-05,22350,0.0,0.0
2024-06-04 00:00:00+00:00,4.199999966658652e-05,4.600000102072954e-05,2.9000000722589903e-05,2.9999999242136255e-05,14608,0.0,0.0
2024-06-05 00:00:00+00:00,2.9999999242136255e-05,3.199999991920777e-05,2.9999999242136255e-05,3.199999991920777e-05,1087,0.0,0.0
2024-06-06 00:00:00+00:00,3.199999991920777e-05,3.7999998312443495e-05,3.199999991920777e-05,3.600000127335079e-05,3963,0.0,0.0
2024-06-07 00:00:00+00:00,3.600000127335079e-05,3.7999998312443495e-05,3.600000127335079e-05,3.7999998312443495e-05,1222,0.0,0.0
2024-06-08 00:00:00+00:00,3.7999998312443495e-05,4.600000102072954e-05,2.4000000848900527e-05,3.099999958067201e-05,25302,0.0,0.0
2024-06-09 00:00:00+00:00,3.099999958067201e-05,3.400000059627928e-05,3.099999958067201e-05,3.099999958067201e-05,2485,0.0,0.0
2024-06-10 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.9000000722589903e-05,3.099999958067201e-05,1969,0.0,0.0
2024-06-11 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.700000004551839e-05,2.9000000722589903e-05,2370,0.0,0.0
2024-06-12 00:00:00+00:00,2.9000000722589903e-05,3.199999991920777e-05,2.8000000384054147e-05,3.199999991920777e-05,983,0.0,0.0
2024-06-13 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.9999999242136255e-05,2.9999999242136255e-05,1845,0.0,0.0
2024-06-14 00:00:00+00:00,2.9999999242136255e-05,3.099999958067201e-05,2.9999999242136255e-05,2.9999999242136255e-05,822,0.0,0.0
2024-06-15 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,518,0.0,0.0
2024-06-16 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,585,0.0,0.0
2024-06-17 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,423,0.0,0.0
2024-06-18 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,2.4000000848900527e-05,2.499999936844688e-05,1919,0.0,0.0
