TIMESTAMP,FARTIMUS_OPEN_PRICE_USD,FARTIMUS_HIGH_PRICE_USD,FARTIMUS_LOW_PRICE_USD,FARTIMUS_CLOSE_PRICE_USD,FARTIMUS_VOLUME_USD,FARTIMUS_DIVIDENDS_USD,FARTIMUS_STOCK_SPLITS_USD
2025-04-12 00:00:00+00:00,,,,0.0,37065,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,120071,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,51799,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,9110,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,3151,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,2542,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,5760,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,676,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,554,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,332,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,135,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,125,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,68,0.0,0.0
2025-05-22 00:00:00+00:00,,,,0.0,1304,0.0,0.0
2025-06-01 00:00:00+00:00,1.120070019806213e-13,1.120070019806213e-13,1.1200690711293121e-13,1.1200690711293121e-13,8,0.0,0.0
