,K,Alpha,Tau,MSE
0,10,500,0.3,2.8043156305869517e-10
1,9,500,0.3,2.805481441144271e-10
2,10,500,0.25,2.81661866021236e-10
3,10,500,0.2,2.8399328442660576e-10
4,8,250,0.3,2.938816238425785e-10
5,9,250,0.3,2.9395000418123825e-10
6,10,250,0.3,2.9396605179567774e-10
7,12,250,0.3,2.940167994828606e-10
8,13,250,0.3,2.9404028810972593e-10
9,7,250,0.3,2.9407115687158395e-10
10,11,250,0.3,2.946379982245693e-10
11,11,500,0.3,2.954824177131383e-10
12,12,500,0.3,2.9644635269267537e-10
13,13,500,0.3,2.9793738112937706e-10
14,8,250,0.25,3.012042366755089e-10
15,9,250,0.25,3.0131468757538124e-10
16,10,250,0.25,3.013438959184982e-10
17,7,250,0.25,3.0138640041955663e-10
18,12,250,0.25,3.014300414746401e-10
19,13,250,0.25,3.014572981145826e-10
20,11,250,0.25,3.0202413898473087e-10
21,11,500,0.25,3.029975068593241e-10
22,12,500,0.25,3.045464036386787e-10
23,13,500,0.25,3.067250933976479e-10
24,15,250,0.3,3.115602239600079e-10
25,8,250,0.2,3.1500760538396976e-10
26,7,250,0.2,3.1517980488561e-10
27,9,250,0.2,3.151937507766811e-10
28,10,250,0.2,3.1524736399218524e-10
29,12,250,0.2,3.1540197480090324e-10
30,13,250,0.2,3.154340407536127e-10
31,11,250,0.2,3.159200849955936e-10
32,11,500,0.2,3.170262402567269e-10
33,12,500,0.2,3.1948594647151526e-10
34,13,500,0.2,3.229165751882594e-10
35,15,250,0.25,3.257106338230878e-10
36,8,250,0.15,3.460319465632856e-10
37,9,250,0.15,3.46381575333479e-10
38,10,250,0.15,3.464879905294768e-10
39,12,250,0.15,3.4679714149625755e-10
40,13,250,0.15,3.4683398022835135e-10
41,11,250,0.15,3.4722856011558174e-10
42,12,500,0.15,3.5196520689958343e-10
43,15,250,0.2,3.5284770959216e-10
44,15,250,0.15,4.1562010844191756e-10
45,8,250,0.1,4.420201350096291e-10
46,9,250,0.1,4.4284221183029697e-10
47,10,250,0.1,4.4309346696189896e-10
48,12,250,0.1,4.438555362209864e-10
49,13,250,0.1,4.438816796823847e-10
50,11,250,0.1,4.443878736682465e-10
51,12,500,0.1,4.462220670698066e-10
52,14,250,0.15,4.6178128982826406e-10
53,15,500,0.3,5.214077256109738e-10
54,15,500,0.25,6.233243075688394e-10
55,15,250,0.1,6.26070029950391e-10
56,7,250,0.15,6.301965587224859e-10
57,14,500,0.3,6.681973426674072e-10
58,14,250,0.1,6.711422609176409e-10
59,15,500,0.2,8.101371592698787e-10
60,14,500,0.25,8.231790882015652e-10
61,10,500,0.15,8.359090542543187e-10
62,15,750,0.3,8.687040535399786e-10
63,14,750,0.3,9.667488855216382e-10
64,13,750,0.3,9.765341866611725e-10
65,12,500,0.05,1.0211718381175783e-09
66,14,500,0.2,1.1008141012933297e-09
67,15,750,0.25,1.1086072422130618e-09
68,8,250,0.05,1.1108816406702116e-09
69,9,250,0.05,1.1155017976444114e-09
70,10,250,0.05,1.116269927204449e-09
71,13,250,0.05,1.118742683158365e-09
72,12,250,0.05,1.1191785150931171e-09
73,11,250,0.05,1.12057114592569e-09
74,14,1000,0.3,1.1721204425651967e-09
75,15,500,0.15,1.2174840072207818e-09
76,14,750,0.25,1.2294972884261986e-09
