TIMESTAMP,CIK_OPEN_PRICE_USD,CIK_HIGH_PRICE_USD,CIK_LOW_PRICE_USD,CIK_CLOSE_PRICE_USD,CIK_VOLUME_USD,CIK_DIVIDENDS_USD,CIK_STOCK_SPLITS_USD
2025-05-09 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.999999979801942e-06,7.999999979801942e-06,751076,0.0,0.0
2025-05-10 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.000000096013537e-06,7.999999979801942e-06,145005,0.0,0.0
2025-05-11 00:00:00+00:00,7.999999979801942e-06,9.999999747378752e-06,7.999999979801942e-06,9.999999747378752e-06,94148,0.0,0.0
2025-05-12 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.000000096013537e-06,7.999999979801942e-06,1481731,0.0,0.0
2025-05-13 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,1287957,0.0,0.0
2025-05-14 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,718756,0.0,0.0
2025-05-15 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,6.000000212225132e-06,7.000000096013537e-06,24886,0.0,0.0
2025-05-16 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,10296,0.0,0.0
2025-05-17 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7307,0.0,0.0
2025-05-18 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,7.000000096013537e-06,4639,0.0,0.0
2025-05-19 00:00:00+00:00,7.000000096013537e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,55634,0.0,0.0
2025-05-20 00:00:00+00:00,9.000000318337698e-06,2.700000004551839e-05,9.000000318337698e-06,2.300000051036477e-05,445094,0.0,0.0
2025-05-21 00:00:00+00:00,2.300000051036477e-05,3.9999998989515007e-05,2.2000000171829015e-05,3.199999991920777e-05,1265727,0.0,0.0
2025-05-22 00:00:00+00:00,3.199999991920777e-05,3.7000001611886546e-05,2.300000051036477e-05,2.4000000848900527e-05,1689638,0.0,0.0
2025-05-23 00:00:00+00:00,2.499999936844688e-05,3.199999991920777e-05,2.2000000171829015e-05,3.099999958067201e-05,1712210,0.0,0.0
2025-05-24 00:00:00+00:00,3.099999958067201e-05,3.300000025774352e-05,2.300000051036477e-05,2.700000004551839e-05,1330574,0.0,0.0
2025-05-25 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.5999999706982635e-05,969960,0.0,0.0
2025-05-26 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.2000000171829015e-05,2.4000000848900527e-05,931393,0.0,0.0
2025-05-27 00:00:00+00:00,2.4000000848900527e-05,2.700000004551839e-05,2.300000051036477e-05,2.700000004551839e-05,1026776,0.0,0.0
2025-05-28 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.4000000848900527e-05,2.5999999706982635e-05,973277,0.0,0.0
2025-05-29 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.4000000848900527e-05,2.4000000848900527e-05,903842,0.0,0.0
2025-05-30 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.8000000636675395e-05,1.8999999156221747e-05,1013197,0.0,0.0
2025-05-31 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.8000000636675395e-05,1.8999999156221747e-05,1068513,0.0,0.0
2025-06-01 00:00:00+00:00,1.879531191661954e-05,1.879531191661954e-05,1.560236887598876e-05,1.602952033863403e-05,1021370,0.0,0.0
