,MSE,RMSE,MAE,MAPE,R2
0,68738.45860152428,262.1802025354399,219.71539348947977,0.10425234511366241,0.041756365167923026
1,54016.332517858005,232.41414009878574,207.4738943528677,0.09711792742556567,-0.5781441861799346
2,63604.261200467015,252.19885249633276,201.00595280981966,0.06649171712710858,-0.19959762747963872
3,189550.99782070934,435.3745488894698,374.0541626411666,0.11181504744197966,-0.4853530795127252
4,87953.94097772069,296.5702968567835,248.91036015964244,0.06642819425043417,0.15731161590447762
5,78406.5606838045,280.0117152617092,236.74563389906677,0.05401644200771441,-0.6557976875811331
6,59552.54293737988,244.03389710730738,193.83403748815462,0.04873657166045189,-0.16722438163746367
7,161294.39596533965,401.61473574227784,321.70243823342224,0.11326074395701119,0.18935007916938296
8,81796.33359466145,286.0005832068555,238.12003266085003,0.0835885425557482,-1.0810752139045046
9,63199.2474571589,251.39460506772792,214.35045711902293,0.07378071690139078,0.17014456088685914
10,29251.2233307249,171.029890167552,138.14215840317962,0.0446115388956501,0.3140814701641431
11,80793.98825264799,284.24283324764406,196.45729452518682,0.09328859324494632,0.3673109090124773
Mean,84846.52361166639,283.0888583898238,232.5426513151549,0.07978236504847194,-0.16060309799917807
