TIMESTAMP,UBU29613_OPEN_PRICE_USD,UBU29613_HIGH_PRICE_USD,UBU29613_LOW_PRICE_USD,UBU29613_CLOSE_PRICE_USD,UBU29613_VOLUME_USD,UBU29613_DIVIDENDS_USD,UBU29613_STOCK_SPLITS_USD
2024-03-01 00:00:00+00:00,0.07536599785089493,0.07536599785089493,0.06666500121355057,0.07060900330543518,230657,0.0,0.0
2024-03-02 00:00:00+00:00,0.07060900330543518,0.07172200083732605,0.06302899867296219,0.06397700309753418,271491,0.0,0.0
2024-03-03 00:00:00+00:00,0.06397099792957306,0.06397099792957306,0.06084999814629555,0.06255099922418594,301280,0.0,0.0
2024-03-04 00:00:00+00:00,0.06255099922418594,0.06255099922418594,0.05963199958205223,0.06102500110864639,389068,0.0,0.0
2024-03-05 00:00:00+00:00,0.06102500110864639,0.0646049976348877,0.06082100048661232,0.06441699713468552,344416,0.0,0.0
2024-03-06 00:00:00+00:00,0.06441699713468552,0.06448999792337418,0.0614360012114048,0.06283999979496002,267630,0.0,0.0
2024-03-07 00:00:00+00:00,0.06283999979496002,0.06298799812793732,0.05832299962639809,0.06140600144863129,239647,0.0,0.0
2024-03-08 00:00:00+00:00,0.06140600144863129,0.06165900081396103,0.055174000561237335,0.059480998665094376,324241,0.0,0.0
2024-03-09 00:00:00+00:00,0.059480998665094376,0.05957699939608574,0.05420299991965294,0.056106001138687134,295389,0.0,0.0
2024-03-10 00:00:00+00:00,0.056106001138687134,0.05617399886250496,0.05256199836730957,0.054232001304626465,374588,0.0,0.0
2024-03-11 00:00:00+00:00,0.054232001304626465,0.06584600359201431,0.0519849993288517,0.06570400297641754,455333,0.0,0.0
2024-03-12 00:00:00+00:00,0.06570400297641754,0.06588000059127808,0.06332000344991684,0.06488800048828125,359212,0.0,0.0
2024-03-13 00:00:00+00:00,0.06488800048828125,0.06655599921941757,0.06414099782705307,0.0664680004119873,282621,0.0,0.0
2024-03-14 00:00:00+00:00,0.0664680004119873,0.06651200354099274,0.06398499757051468,0.06559199839830399,332296,0.0,0.0
2024-03-15 00:00:00+00:00,0.06559199839830399,0.06653500348329544,0.06324700266122818,0.06596300005912781,309823,0.0,0.0
2024-03-16 00:00:00+00:00,0.06596300005912781,0.06656999886035919,0.06485699862241745,0.06650999933481216,342434,0.0,0.0
2024-03-17 00:00:00+00:00,0.06650999933481216,0.0665379986166954,0.06114000082015991,0.06391800194978714,307066,0.0,0.0
2024-03-18 00:00:00+00:00,0.06389500200748444,0.0640380010008812,0.061170998960733414,0.06332899630069733,289546,0.0,0.0
2024-03-19 00:00:00+00:00,0.06331799924373627,0.06367900222539902,0.06096300110220909,0.06280899792909622,286274,0.0,0.0
2024-03-20 00:00:00+00:00,0.06280899792909622,0.06324700266122818,0.06013299897313118,0.06195899844169617,284810,0.0,0.0
2024-03-21 00:00:00+00:00,0.06195899844169617,0.06208999827504158,0.056053001433610916,0.058278001844882965,282935,0.0,0.0
2024-03-22 00:00:00+00:00,0.058278001844882965,0.05839100107550621,0.05648199841380119,0.05835700035095215,331733,0.0,0.0
2024-03-23 00:00:00+00:00,0.05835700035095215,0.059494998306035995,0.05820799991488457,0.05942999944090843,343990,0.0,0.0
2024-03-24 00:00:00+00:00,0.05942999944090843,0.060662999749183655,0.059331998229026794,0.06052200123667717,326853,0.0,0.0
2024-03-25 00:00:00+00:00,0.06052200123667717,0.06066099926829338,0.060419000685214996,0.0604729987680912,310378,0.0,0.0
2024-03-26 00:00:00+00:00,0.0604729987680912,0.06100799888372421,0.05973599851131439,0.06094399839639664,207914,0.0,0.0
2024-03-27 00:00:00+00:00,0.06094399839639664,0.061767999082803726,0.060552000999450684,0.061657000333070755,174047,0.0,0.0
2024-03-28 00:00:00+00:00,0.061657000333070755,0.06167199835181236,0.060155000537633896,0.06165499985218048,216720,0.0,0.0
2024-03-29 00:00:00+00:00,0.06165499985218048,0.06259100139141083,0.061599001288414,0.06259100139141083,236790,0.0,0.0
2024-03-30 00:00:00+00:00,0.06259100139141083,0.06259900331497192,0.06148900091648102,0.062206998467445374,241424,0.0,0.0
2024-03-31 00:00:00+00:00,0.062206998467445374,0.06283500045537949,0.06204599887132645,0.06258700042963028,263315,0.0,0.0
2024-04-01 00:00:00+00:00,0.06258700042963028,0.06262800097465515,0.062355998903512955,0.0623680017888546,252269,0.0,0.0
2024-04-02 00:00:00+00:00,0.0623680017888546,0.06241000071167946,0.0610009990632534,0.06152699887752533,179557,0.0,0.0
2024-04-03 00:00:00+00:00,0.06152699887752533,0.06238900125026703,0.06116800010204315,0.06228899955749512,347896,0.0,0.0
2024-04-04 00:00:00+00:00,0.06228899955749512,0.06230900064110756,0.06112699955701828,0.06189600005745888,353251,0.0,0.0
2024-04-05 00:00:00+00:00,0.06189600005745888,0.06296099722385406,0.061705999076366425,0.06261999905109406,370586,0.0,0.0
2024-04-06 00:00:00+00:00,0.06261999905109406,0.06272999942302704,0.05979600176215172,0.061528000980615616,369114,0.0,0.0
2024-04-07 00:00:00+00:00,0.061528000980615616,0.06155399978160858,0.06012599915266037,0.06082899868488312,349444,0.0,0.0
