TIMESTAMP,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD,ETH_FIRST_TRADE_PRICE_USD,ETH_HIGH_TRADE_PRICE_USD,ETH_LOW_TRADE_PRICE_USD,ETH_LAST_TRADE_PRICE_USD,ETH_TOTAL_TRADE_COUNT,ETH_TOTAL_TRADES_BUY,ETH_TOTAL_TRADES_SELL,ETH_VOLUME_USD,ETH_QUOTE_VOLUME,ETH_VOLUME_BUY,ETH_QUOTE_VOLUME_BUY,ETH_VOLUME_SELL,ETH_QUOTE_VOLUME_SELL
2017-08-17 04:00:00,301.13,307.96,298.0,307.96,301.13,307.96,298.0,307.96,711,621,90,1561.95305,473487.6651185,1260.38649,382097.1599312,301.56656,91390.5051873
2017-08-17 08:00:00,307.96,312.0,307.0,308.95,307.95,312.0,307.0,308.95,775,695,80,1177.71088,364545.3164015,1093.84885,338587.6026837,83.86203,25957.7137178
2017-08-17 12:00:00,308.95,310.51,303.56,307.06,308.95,310.51,303.56,307.06,1140,1013,127,1882.05267,578644.9318904,1742.14642,535627.1400191,139.90625,43017.7918713
2017-08-17 16:00:00,307.06,312.18,298.21,301.6,307.74,312.18,298.21,301.6,957,852,105,1208.05192,370209.0514672,1097.3202,336546.1797821,110.73172,33662.8716851
2017-08-17 20:00:00,301.6,310.85,299.01,302.0,301.6,310.85,299.01,302.0,939,770,169,1200.94182,367768.335479,1030.88803,315847.2861141,170.05379,51921.0493649
2017-08-18 00:00:00,302.0,306.47,295.19,301.4,302.0,306.47,295.19,301.4,959,672,287,1690.58319,510684.0659218,1276.3514,385103.528375,414.23179,125580.5375468
2017-08-18 04:00:00,301.4,309.49,298.41,306.24,301.4,309.49,298.41,306.24,1068,926,142,1732.52616,527110.6080895,1577.05641,479995.2791787,155.46975,47115.3289108
2017-08-18 08:00:00,306.24,311.79,303.22,307.78,306.24,311.79,303.22,307.78,884,737,147,1213.01283,372912.0009906,1065.02428,327373.385146,147.98855,45538.6158446
2017-08-18 12:00:00,307.78,310.29,296.32,298.8,307.78,310.29,296.32,298.8,882,662,220,1358.99471,412203.7088943,1163.6982,352905.7999398,195.29651,59297.9089545
2017-08-18 16:00:00,298.8,301.11,287.37,293.83,298.8,301.11,287.37,293.83,885,642,243,1620.71499,478865.9114307,1303.10778,385949.5609436,317.60721,92916.3504871
2017-08-18 20:00:00,293.83,295.46,283.94,293.96,295.46,295.46,283.94,293.96,980,548,432,1922.01458,557170.214027,1067.19735,309485.7076433,854.81723,247684.5063837
2017-08-19 00:00:00,293.96,299.84,292.83,293.22,293.31,299.84,292.83,293.22,338,244,94,282.19297,83456.3423327,181.1672,53611.7836624,101.02577,29844.5586703
2017-08-19 04:00:00,293.22,299.9,287.01,290.16,294.69,299.9,287.01,290.16,235,178,57,235.2921,68687.5957874,153.12521,44687.2433792,82.16689,24000.3524082
2017-08-19 08:00:00,290.16,293.17,278.0,282.58,290.16,293.17,278.0,282.58,686,493,193,1139.03045,327267.7431853,886.04998,255176.2737893,252.98047,72091.469396
2017-08-19 12:00:00,282.58,290.85,279.56,288.64,281.39,290.85,279.56,288.64,268,179,89,288.29994,82074.2629431,195.36225,55607.7537388,92.93769,26466.5092043
2017-08-19 16:00:00,288.64,295.0,284.16,293.31,288.64,295.0,284.16,293.31,166,123,43,127.38589,36930.9498645,82.05025,23868.0686511,45.33564,13062.8812134
2017-08-19 20:00:00,293.31,294.9,288.8,290.91,290.6,294.9,288.8,290.91,102,61,41,73.99638,21605.6957487,40.22061,11762.4889878,33.77577,9843.2067609
2017-08-20 00:00:00,290.91,292.42,285.96,292.41,289.41,292.42,285.96,292.41,93,67,26,68.40092,19769.4805676,37.94036,10988.6074406,30.46056,8780.873127
2017-08-20 04:00:00,292.41,295.56,285.39,292.08,287.97,295.56,285.39,292.08,374,290,84,252.26228,73526.1604894,200.75023,58560.1124578,51.51205,14966.0480316
2017-08-20 08:00:00,292.08,296.89,282.85,295.0,293.02,296.89,282.85,295.0,243,206,37,240.75968,70008.9356821,205.12283,59626.9822761,35.63685,10381.953406
2017-08-20 12:00:00,295.0,296.92,292.28,295.1,295.0,296.92,292.28,295.1,106,89,17,67.3647,19883.3749891,56.03058,16537.5834694,11.33412,3345.7915197
2017-08-20 16:00:00,295.1,300.53,293.28,297.88,297.92,300.53,293.28,297.88,337,265,72,361.56695,107254.7369296,297.70034,88380.2690994,63.86661,18874.4678302
