TIMESTAMP,VINU15270_OPEN_PRICE_USD,VINU15270_HIGH_PRICE_USD,VINU15270_LOW_PRICE_USD,VINU15270_CLOSE_PRICE_USD,VINU15270_VOLUME_USD,VINU15270_DIVIDENDS_USD,VINU15270_STOCK_SPLITS_USD
2021-12-30 00:00:00+00:00,,,,0.0,30522,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,28590,0.0,0.0
2022-01-01 00:00:00+00:00,,,,0.0,21609,0.0,0.0
2022-01-02 00:00:00+00:00,,,,0.0,17782,0.0,0.0
2022-01-03 00:00:00+00:00,,,,0.0,19570,0.0,0.0
2022-01-04 00:00:00+00:00,,,,0.0,29695,0.0,0.0
2022-01-05 00:00:00+00:00,,,,0.0,33308,0.0,0.0
2022-01-06 00:00:00+00:00,,,,0.0,295304,0.0,0.0
2022-01-07 00:00:00+00:00,,,,0.0,499150,0.0,0.0
2022-01-08 00:00:00+00:00,,,,0.0,538717,0.0,0.0
2022-01-09 00:00:00+00:00,,,,0.0,536205,0.0,0.0
2022-01-10 00:00:00+00:00,,,,0.0,460299,0.0,0.0
2022-01-11 00:00:00+00:00,,,,0.0,448032,0.0,0.0
2022-01-12 00:00:00+00:00,,,,0.0,389959,0.0,0.0
2022-01-13 00:00:00+00:00,,,,0.0,451345,0.0,0.0
2022-01-14 00:00:00+00:00,,,,0.0,715997,0.0,0.0
2022-01-15 00:00:00+00:00,,,,0.0,970245,0.0,0.0
2022-01-16 00:00:00+00:00,,,,0.0,667444,0.0,0.0
2022-01-17 00:00:00+00:00,,,,0.0,660341,0.0,0.0
2022-01-18 00:00:00+00:00,,,,0.0,662411,0.0,0.0
2022-01-19 00:00:00+00:00,,,,0.0,787906,0.0,0.0
2022-01-20 00:00:00+00:00,,,,0.0,876961,0.0,0.0
2022-01-21 00:00:00+00:00,,,,0.0,850905,0.0,0.0
2022-01-22 00:00:00+00:00,,,,0.0,914915,0.0,0.0
2022-01-23 00:00:00+00:00,,,,0.0,965330,0.0,0.0
2022-01-24 00:00:00+00:00,,,,0.0,915179,0.0,0.0
2022-01-25 00:00:00+00:00,,,,0.0,1012915,0.0,0.0
2022-01-26 00:00:00+00:00,,,,0.0,963812,0.0,0.0
2022-01-27 00:00:00+00:00,,,,0.0,979049,0.0,0.0
2022-01-28 00:00:00+00:00,,,,0.0,635146,0.0,0.0
2022-01-29 00:00:00+00:00,,,,0.0,798695,0.0,0.0
2022-01-30 00:00:00+00:00,,,,0.0,1176428,0.0,0.0
