TIMESTAMP,MAMBO_OPEN_PRICE_USD,MAMBO_HIGH_PRICE_USD,MAMBO_LOW_PRICE_USD,MAMBO_CLOSE_PRICE_USD,MAMBO_VOLUME_USD,MAMBO_DIVIDENDS_USD,MAMBO_STOCK_SPLITS_USD
2025-05-23 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,244591,0.0,0.0
2025-05-24 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,147221,0.0,0.0
2025-05-25 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,34844,0.0,0.0
2025-05-26 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,272309,0.0,0.0
2025-05-27 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,1.9999999949504854e-06,1.9999999949504854e-06,1060449,0.0,0.0
2025-05-28 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,1.9999999949504854e-06,480520,0.0,0.0
2025-05-29 00:00:00+00:00,1.9999999949504854e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,679115,0.0,0.0
2025-05-30 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,1.9999999949504854e-06,3.000000106112566e-06,557620,0.0,0.0
2025-05-31 00:00:00+00:00,3.000000106112566e-06,4.999999873689376e-06,3.000000106112566e-06,4.999999873689376e-06,409396,0.0,0.0
2025-06-01 00:00:00+00:00,4.523681582213612e-06,4.862555215368047e-06,3.616478807089152e-06,4.023107521788916e-06,1021280,0.0,0.0
