TIMESTAMP,DEEPSEEKAI_OPEN_PRICE_USD,DEEPSEEKAI_HIGH_PRICE_USD,DEEPSEEKAI_LOW_PRICE_USD,DEEPSEEKAI_CLOSE_PRICE_USD,DEEPSEEKAI_VOLUME_USD,DEEPSEEKAI_DIVIDENDS_USD,DEEPSEEKAI_STOCK_SPLITS_USD
2025-02-28 00:00:00+00:00,,,,0.0,19052,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,46491,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,46687,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,53072,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,15829,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,34440,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,19829,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,15798,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,12895,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,23058,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,19280,0.0,0.0
2025-03-11 00:00:00+00:00,,,,0.0,12290,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,11261,0.0,0.0
2025-03-13 00:00:00+00:00,,,,0.0,16443,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,11771,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,9885,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,9654,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,13681,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,7900,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,142019,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,27539,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,15306,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,13655,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,38670,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,21321,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,16778,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,18791,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,7688,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,11477,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,58080,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,41219,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,11922,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,16639,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,11203,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,12236,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,19482,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,12342,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,10303,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,13972,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,10103,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,13074,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,7029,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,7279,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,20972,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,18882,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,10637,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,11566,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,10500,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,12574,0.0,0.0
2025-04-18 00:00:00+00:00,,,,0.0,7459,0.0,0.0
2025-04-19 00:00:00+00:00,,,,0.0,4814,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,4745,0.0,0.0
2025-04-21 00:00:00+00:00,,,,0.0,13463,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,27445,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,28822,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,6222,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,11133,0.0,0.0
