TIMESTAMP,SIMPSON_OPEN_PRICE_USD,SIMPSON_HIGH_PRICE_USD,SIMPSON_LOW_PRICE_USD,SIMPSON_CLOSE_PRICE_USD,SIMPSON_VOLUME_USD,SIMPSON_DIVIDENDS_USD,SIMPSON_STOCK_SPLITS_USD
2023-05-08 00:00:00+00:00,,,,0.0,1315116,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,3751981,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,524917,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,4569550,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,11227645,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,23873048,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,46539912,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,23092402,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,23588282,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,14433303,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,11352788,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,7540797,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,12676833,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,5729001,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,5656612,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,5099226,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,5265335,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,4154243,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,6147553,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,3446936,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,2508088,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,10091826,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,4037217,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,5188064,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,1712601,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,1719932,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,1006761,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,1027053,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,1174183,0.0,0.0
