TIMESTAMP,VKNF_OPEN_PRICE_USD,VKNF_HIGH_PRICE_USD,VKNF_LOW_PRICE_USD,VKNF_CLOSE_PRICE_USD,VKNF_VOLUME_USD,VKNF_DIVIDENDS_USD,VKNF_STOCK_SPLITS_USD
2021-02-26 00:00:00+00:00,0.3565709888935089,0.3634270131587982,0.35085999965667725,0.35602399706840515,697988,0.0,0.0
2021-02-27 00:00:00+00:00,0.35602399706840515,0.362199991941452,0.3386020064353943,0.3556089997291565,1190899,0.0,0.0
2021-02-28 00:00:00+00:00,0.3556079864501953,0.36005300283432007,0.31117600202560425,0.3297629952430725,20430,0.0,0.0
2021-03-01 00:00:00+00:00,0.3297629952430725,0.3378889858722687,0.20035800337791443,0.3318769931793213,2290124,0.0,0.0
2021-03-02 00:00:00+00:00,0.32744500041007996,0.37000399827957153,0.3041119873523712,0.3314560055732727,1187257,0.0,0.0
2021-03-03 00:00:00+00:00,0.3314499855041504,0.34498700499534607,0.3141010105609894,0.3225499987602234,863206,0.0,0.0
2021-03-04 00:00:00+00:00,0.32259199023246765,0.34112900495529175,0.29231300950050354,0.29236900806427,475871,0.0,0.0
2021-03-05 00:00:00+00:00,0.29242199659347534,0.30893298983573914,0.22303099930286407,0.3026120066642761,1087136,0.0,0.0
2021-03-06 00:00:00+00:00,0.3026120066642761,0.3026120066642761,0.19759400188922882,0.23104600608348846,1650574,0.0,0.0
2021-03-07 00:00:00+00:00,0.23104499280452728,0.28638699650764465,0.22116099298000336,0.2604359984397888,762566,0.0,0.0
2021-03-08 00:00:00+00:00,0.2604359984397888,0.2604820132255554,0.18537600338459015,0.21891699731349945,822235,0.0,0.0
2021-03-09 00:00:00+00:00,0.21891599893569946,0.2331719994544983,0.1838120073080063,0.2034900039434433,377759,0.0,0.0
2021-03-10 00:00:00+00:00,0.20349599421024323,0.21566499769687653,0.18584699928760529,0.20167900621891022,2502504,0.0,0.0
2021-03-11 00:00:00+00:00,0.20167100429534912,0.21677899360656738,0.18535900115966797,0.19694599509239197,1220272,0.0,0.0
