TIMESTAMP,WATER29432_OPEN_PRICE_USD,WATER29432_HIGH_PRICE_USD,WATER29432_LOW_PRICE_USD,WATER29432_CLOSE_PRICE_USD,WATER29432_VOLUME_USD,WATER29432_DIVIDENDS_USD,WATER29432_STOCK_SPLITS_USD
2024-02-16 00:00:00+00:00,5.500000042957254e-05,0.00013000000035390258,2.700000004551839e-05,2.8000000384054147e-05,267148,0.0,0.0
2024-02-17 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,2.4000000848900527e-05,2.499999936844688e-05,17169,0.0,0.0
2024-02-18 00:00:00+00:00,2.499999936844688e-05,2.8000000384054147e-05,2.4000000848900527e-05,2.700000004551839e-05,10571,0.0,0.0
2024-02-19 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.700000004551839e-05,1895,0.0,0.0
2024-02-20 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.300000051036477e-05,2.499999936844688e-05,4250,0.0,0.0
2024-02-21 00:00:00+00:00,2.499999936844688e-05,2.499999936844688e-05,2.099999983329326e-05,2.099999983329326e-05,4718,0.0,0.0
2024-02-22 00:00:00+00:00,2.099999983329326e-05,2.300000051036477e-05,1.9999999494757503e-05,2.2000000171829015e-05,9919,0.0,0.0
2024-02-23 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.9999999494757503e-05,2.099999983329326e-05,2632,0.0,0.0
2024-02-24 00:00:00+00:00,2.099999983329326e-05,2.099999983329326e-05,1.9999999494757503e-05,1.9999999494757503e-05,1288,0.0,0.0
2024-02-25 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.8999999156221747e-05,2143,0.0,0.0
2024-02-26 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.8999999156221747e-05,1.9999999494757503e-05,242,0.0,0.0
2024-02-27 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,551,0.0,0.0
2024-02-28 00:00:00+00:00,1.9999999494757503e-05,2.099999983329326e-05,1.9999999494757503e-05,2.099999983329326e-05,970,0.0,0.0
2024-02-29 00:00:00+00:00,2.099999983329326e-05,2.700000004551839e-05,2.099999983329326e-05,2.499999936844688e-05,3094,0.0,0.0
2024-03-01 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.5999999706982635e-05,1854,0.0,0.0
2024-03-02 00:00:00+00:00,2.5999999706982635e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,3244,0.0,0.0
2024-03-03 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,2.5999999706982635e-05,2.9000000722589903e-05,3296,0.0,0.0
2024-03-04 00:00:00+00:00,2.9000000722589903e-05,3.099999958067201e-05,2.9000000722589903e-05,2.9000000722589903e-05,4202,0.0,0.0
2024-03-05 00:00:00+00:00,2.9000000722589903e-05,3.300000025774352e-05,2.700000004551839e-05,2.9000000722589903e-05,7005,0.0,0.0
2024-03-06 00:00:00+00:00,2.9000000722589903e-05,3.199999991920777e-05,2.700000004551839e-05,3.199999991920777e-05,3745,0.0,0.0
2024-03-07 00:00:00+00:00,3.199999991920777e-05,3.7000001611886546e-05,3.199999991920777e-05,3.600000127335079e-05,4380,0.0,0.0
