,XMR
BTC,0.6604356537765462
ETH,0.6411155522053634
LTC,0.639961343679106
ZEC,0.6336959383756304
DASH,0.6323750332942581
ETC,0.5991825062559493
QTUM,0.5974644333047916
XLM,0.5864138906894063
DGB,0.5779589089976784
MIOTA,0.5722324869730933
BAT,0.5687754231904644
XEM,0.5675109854179756
XRP,0.5656101712894072
LSK,0.5618339111792341
ZEN,0.5553404729797272
BTS,0.5527887893522838
DOGE,0.5470264731572531
FIRO,0.5449154032599222
SC,0.5362050195971866
KMD,0.5321840029317666
RLC,0.5315265397632203
GNO,0.5266554809264247
ANT,0.5171453844389104
DCR,0.5143255454792176
WAVES,0.5003161669221705
SYS,0.4531841641969937
STEEM,0.4355439016221428
PIVX,0.3689550862396729
LUNC,0.363053502399683
ARK,0.3262378222493043
GAS,0.3185590711335513
