,XMR
BTC,0.6255589591311538
ETH,0.6139501257533788
LTC,0.6021855143923927
DASH,0.6012656092158161
ZEC,0.601035581292177
ETC,0.5636943982514917
XLM,0.5565165351513479
QTUM,0.5564965468262809
XRP,0.5393861193320282
MIOTA,0.5340468625400014
DGB,0.5096793544286173
BAT,0.5088471868332618
LSK,0.4999826561035662
DOGE,0.499817018651812
ZEN,0.4974450510652623
XEM,0.486740015733306
BTS,0.4851481617022347
SC,0.4793431960449139
GNO,0.471026750835491
FIRO,0.4541773309876874
WAVES,0.4480342420938585
RLC,0.4439287188085987
DCR,0.4351438991512021
KMD,0.4237395021882494
ANT,0.422119787420576
SYS,0.3975569941111413
STEEM,0.3835754066094433
LUNC,0.3162976324025346
PIVX,0.3026261690477463
GAS,0.2870286852375038
ARK,0.2645091073055652
