,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
BTC Opening Price ($),5668.0,30257.132134791813,22034.78,25864.94913349665,2919.0,3544.0336,4115.043000000001,6263.464000000001,8735.94,22034.78,45500.7475,66670.858,87264.49049999997,102244.9953,108239.19
BTC High Price ($),5668.0,30749.369977064216,22504.0,26231.002661537874,3249.0,3597.6656,4207.4,6390.0,8906.24,22504.0,46500.125,67460.034,88554.7815,103602.75379999999,109588.0
BTC Low Price ($),5668.0,29724.974177840504,21589.89,25480.7121644851,2817.0,3472.8977999999997,4025.94,6148.589,8582.244999999999,21589.89,44308.045,65725.22200000001,85558.65,100379.01849999999,105657.34
BTC Close Price ($),5668.0,30275.23173076923,22089.545,25882.6431534109,2919.0,3544.0336,4115.043000000001,6277.275000000001,8737.02,22089.545,45510.505,66676.268,87310.32649999998,102296.83799999999,108239.19
