,Observation Count,Mean,Median,Standard Deviation,Min,1%,5%,10%,25%,50%,75%,90%,95%,99%,Max
BTC Opening Price ($),2771.0,26320.09895705522,19329.72,22077.255561117483,1914.1,2563.19,3756.38,5047.0,8142.455,19329.72,41422.22,60837.99,66869.185,95853.716,106133.74
BTC High Price ($),2771.0,26961.24174305305,19706.66,22569.6735139887,2044.4,2627.5299999999997,3859.87,5238.4,8316.545,19706.66,42417.354999999996,62378.42,68040.0,97924.20000000006,108353.0
BTC Low Price ($),2771.0,25637.2838145074,18975.18,21575.35996572353,1809.0,2482.7,3632.665,4927.0,7869.0,18975.18,40251.0,59580.91,65496.04,94068.69800000002,105321.49
BTC Close Price ($),2771.0,26353.136210754245,19359.4,22109.4495187856,1914.1,2570.22,3768.3100000000004,5048.01,8146.879999999999,19359.4,41477.11,60852.22,66931.43,95853.716,106133.74
