,LTC,Lag
DOGE,0.0001322798268232,26
ETH,0.0006810151414322,29
QTUM,0.0058296573754118,30
ETC,0.0100758022284349,26
ZEN,0.0122154010114981,27
PIVX,0.0147641602961893,25
KMD,0.0158405877908262,10
LSK,0.0354169064540059,27
XRP,0.0438822353323678,26
BTC,0.0574141759518948,3
DCR,0.0607751634057402,17
GNO,0.0609118872796264,6
RLC,0.0653423209910339,5
DGB,0.0785425227284078,9
BAT,0.1006214456099168,29
XLM,0.128857872582575,17
STEEM,0.133951882536152,19
ARK,0.1381481477333918,25
XEM,0.1426367690977005,30
XMR,0.1485904706006265,4
ZEC,0.1669533292332762,1
SC,0.1779688456736192,12
ANT,0.1950337597424878,2
WAVES,0.1984485924911455,6
MIOTA,0.2160498106207604,29
BTS,0.2273426670996741,10
SYS,0.2646694351684702,24
DASH,0.2930962568801369,15
FIRO,0.2976744500131209,3
LUNC,0.3039727670914997,2
GAS,0.3215380436061819,7
