TIMESTAMP,DOGEMARS_OPEN_PRICE_USD,DOGEMARS_HIGH_PRICE_USD,DOGEMARS_LOW_PRICE_USD,DOGEMARS_CLOSE_PRICE_USD,DOGEMARS_VOLUME_USD,DOGEMARS_DIVIDENDS_USD,DOGEMARS_STOCK_SPLITS_USD
2025-03-14 00:00:00+00:00,,,,0.0,4675,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,3750,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,3249,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,7936,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,5512,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,6707,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,7147,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,2142,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,719,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,1838,0.0,0.0
2025-03-25 00:00:00+00:00,,,,0.0,1400,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,11072,0.0,0.0
2025-03-27 00:00:00+00:00,,,,0.0,9586,0.0,0.0
2025-03-28 00:00:00+00:00,,,,0.0,7258,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,4613,0.0,0.0
2025-03-30 00:00:00+00:00,,,,0.0,5161,0.0,0.0
2025-03-31 00:00:00+00:00,,,,0.0,3728,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,2651,0.0,0.0
2025-04-02 00:00:00+00:00,,,,0.0,7242,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,2385,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,2033,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,8480,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,2732,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,3355,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,1024,0.0,0.0
2025-04-10 00:00:00+00:00,,,,0.0,208,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,1675,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,3263,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,1083,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,948,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,1613,0.0,0.0
2025-04-17 00:00:00+00:00,,,,0.0,607,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,4914,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,708,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,737,0.0,0.0
2025-04-24 00:00:00+00:00,,,,0.0,1310,0.0,0.0
2025-04-25 00:00:00+00:00,,,,0.0,519,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,1265,0.0,0.0
2025-04-28 00:00:00+00:00,,,,0.0,11659,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,2616,0.0,0.0
2025-05-02 00:00:00+00:00,,,,0.0,5300,0.0,0.0
2025-05-03 00:00:00+00:00,,,,0.0,4283,0.0,0.0
2025-05-04 00:00:00+00:00,,,,0.0,3599,0.0,0.0
2025-05-05 00:00:00+00:00,,,,0.0,4257,0.0,0.0
2025-05-07 00:00:00+00:00,,,,0.0,3536,0.0,0.0
2025-05-09 00:00:00+00:00,,,,0.0,458,0.0,0.0
2025-05-10 00:00:00+00:00,,,,0.0,9816,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,2089,0.0,0.0
2025-05-14 00:00:00+00:00,,,,0.0,1017,0.0,0.0
2025-05-15 00:00:00+00:00,,,,0.0,439,0.0,0.0
2025-05-17 00:00:00+00:00,,,,0.0,168,0.0,0.0
2025-05-18 00:00:00+00:00,,,,0.0,363,0.0,0.0
2025-05-20 00:00:00+00:00,,,,0.0,500,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,337,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,1289,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,2112,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,311,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,210,0.0,0.0
2025-06-01 00:00:00+00:00,1.1620129771600096e-12,1.1620129771600096e-12,1.0589630301122144e-12,1.1028568466450728e-12,218,0.0,0.0
