,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{LTC}/\emph{USDT} OP,61821,95.04,54.93,22.75,41.44,58.45,76.20,115.50,208.00,409.84
\emph{LTC}/\emph{USDT} HP,61821,95.81,55.71,22.88,41.65,58.84,76.67,116.60,210.00,413.49
\emph{LTC}/\emph{USDT} LP,61821,94.22,54.12,22.32,41.24,58.07,75.67,114.30,205.70,402.80
\emph{LTC}/\emph{USDT} CP,61821,95.04,54.93,22.75,41.44,58.45,76.20,115.50,208.00,409.84
