,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{LTC}/\emph{USDT} OP,7728,95.05,54.92,22.98,41.39,58.46,76.18,115.53,208.41,401.24
\emph{LTC}/\emph{USDT} HP,7728,97.23,57.03,23.49,42.00,59.57,77.51,118.36,214.80,413.49
\emph{LTC}/\emph{USDT} LP,7728,92.63,52.58,22.32,40.83,57.35,74.56,112.63,200.95,387.04
\emph{LTC}/\emph{USDT} CP,7728,95.03,54.89,22.98,41.39,58.46,76.18,115.45,208.28,401.24
