,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{LTC}/\emph{USDT} OP,15456,95.03,54.92,22.82,41.40,58.43,76.20,115.63,208.06,408.93
\emph{LTC}/\emph{USDT} HP,15456,96.59,56.45,23.08,41.86,59.24,77.19,117.73,211.94,413.49
\emph{LTC}/\emph{USDT} LP,15456,93.35,53.26,22.32,40.97,57.67,75.08,113.51,203.44,395.84
\emph{LTC}/\emph{USDT} CP,15456,95.02,54.90,22.82,41.40,58.43,76.20,115.63,208.00,408.93
