TIMESTAMP,PUPPETS_OPEN_PRICE_USD,PUPPETS_HIGH_PRICE_USD,PUPPETS_LOW_PRICE_USD,PUPPETS_CLOSE_PRICE_USD,PUPPETS_VOLUME_USD,PUPPETS_DIVIDENDS_USD,PUPPETS_STOCK_SPLITS_USD
2023-05-23 00:00:00+00:00,,,,0.0,5545,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,417,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,177,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,201,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,245,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,315,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,35,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,161,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,66,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,69,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,97,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,225,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,251,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,755,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,62,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,169,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,5,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,2,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,7,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,12,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,21,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,9,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,113,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,30,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,27,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,175,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,98,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,50,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,193,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,110,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,165,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,167,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,26,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,70,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,51,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,40,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,59,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,49,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,18,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,160,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,16,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,66,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,158,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,9,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,87,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,398,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,4,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,17,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,108,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,14,0.0,0.0
2023-07-20 00:00:00+00:00,,,,0.0,62,0.0,0.0
2023-07-21 00:00:00+00:00,,,,0.0,11,0.0,0.0
2023-07-22 00:00:00+00:00,,,,0.0,8,0.0,0.0
2023-07-24 00:00:00+00:00,,,,0.0,8,0.0,0.0
2023-07-25 00:00:00+00:00,,,,0.0,50,0.0,0.0
2023-07-26 00:00:00+00:00,,,,0.0,14,0.0,0.0
2023-07-27 00:00:00+00:00,,,,0.0,118,0.0,0.0
2023-07-29 00:00:00+00:00,,,,0.0,81,0.0,0.0
2023-07-30 00:00:00+00:00,,,,0.0,13,0.0,0.0
2023-07-31 00:00:00+00:00,,,,0.0,8,0.0,0.0
2023-08-02 00:00:00+00:00,,,,0.0,34,0.0,0.0
2023-08-03 00:00:00+00:00,,,,0.0,10,0.0,0.0
2023-08-04 00:00:00+00:00,,,,0.0,9,0.0,0.0
2023-08-08 00:00:00+00:00,,,,0.0,9,0.0,0.0
2023-08-09 00:00:00+00:00,,,,0.0,20,0.0,0.0
2023-08-10 00:00:00+00:00,,,,0.0,41,0.0,0.0
2023-08-11 00:00:00+00:00,,,,0.0,8,0.0,0.0
2023-08-12 00:00:00+00:00,,,,0.0,26,0.0,0.0
2023-08-13 00:00:00+00:00,,,,0.0,3,0.0,0.0
2023-08-20 00:00:00+00:00,,,,0.0,17,0.0,0.0
2025-06-01 00:00:00+00:00,9.703992276399731e-08,9.706426595812445e-08,9.601609463061322e-08,9.7029484891209e-08,16,0.0,0.0
