,ETH
GNO,0.8278908123058049
ETC,0.7855516979958027
LTC,0.7833353230185423
BTC,0.7813795882679361
QTUM,0.7482609392694741
XRP,0.7286403448133081
DASH,0.7138066204214152
MIOTA,0.7136451408458894
XLM,0.7115477460968184
DGB,0.6859282383060553
ZEC,0.6835746003351025
BAT,0.6795521429587643
XEM,0.6610008196247225
DOGE,0.6578208360644956
SYS,0.6462419548284775
XMR,0.6428356411904892
SC,0.6428120498068891
GAS,0.6405506654216186
LSK,0.6382671123291539
STEEM,0.630949195554559
ZEN,0.6292611787919866
PIVX,0.6251737530485645
FIRO,0.6251156624973441
BTS,0.6147100582873072
DCR,0.6052432831384899
ANT,0.5960222026039919
RLC,0.5925864291600791
WAVES,0.5909968707823784
LUNC,0.5900190804974642
KMD,0.5874684735840807
ARK,0.5578327736670362
