TIMESTAMP,PUMPY_OPEN_PRICE_USD,PUMPY_HIGH_PRICE_USD,PUMPY_LOW_PRICE_USD,PUMPY_CLOSE_PRICE_USD,PUMPY_VOLUME_USD,PUMPY_DIVIDENDS_USD,PUMPY_STOCK_SPLITS_USD
2025-03-30 00:00:00+00:00,7.500000356230885e-05,7.999999797903001e-05,6.299999949987978e-05,6.600000051548705e-05,0,0.0,0.0
2025-03-31 00:00:00+00:00,6.600000051548705e-05,6.600000051548705e-05,3.9999998989515007e-05,3.9999998989515007e-05,4685,0.0,0.0
2025-04-01 00:00:00+00:00,3.9999998989515007e-05,4.8000001697801054e-05,3.7000001611886546e-05,4.8000001697801054e-05,0,0.0,0.0
2025-04-02 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,3.600000127335079e-05,3.600000127335079e-05,0,0.0,0.0
2025-04-03 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,2.9999999242136255e-05,3.400000059627928e-05,1119,0.0,0.0
2025-04-04 00:00:00+00:00,3.400000059627928e-05,3.600000127335079e-05,3.300000025774352e-05,3.600000127335079e-05,0,0.0,0.0
2025-04-05 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,3.099999958067201e-05,3.199999991920777e-05,408,0.0,0.0
2025-04-06 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.4000000848900527e-05,2.8000000384054147e-05,0,0.0,0.0
2025-04-07 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.099999983329326e-05,2.700000004551839e-05,0,0.0,0.0
2025-04-08 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,2.700000004551839e-05,2.9000000722589903e-05,0,0.0,0.0
2025-04-09 00:00:00+00:00,2.9000000722589903e-05,4.099999932805076e-05,2.8000000384054147e-05,4.099999932805076e-05,0,0.0,0.0
2025-04-10 00:00:00+00:00,4.099999932805076e-05,4.099999932805076e-05,3.7000001611886546e-05,3.7000001611886546e-05,0,0.0,0.0
2025-04-11 00:00:00+00:00,3.7000001611886546e-05,3.9999998989515007e-05,3.7000001611886546e-05,3.899999865097925e-05,559,0.0,0.0
2025-04-12 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.7000001611886546e-05,3.7000001611886546e-05,916,0.0,0.0
2025-04-13 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,3.7000001611886546e-05,3.899999865097925e-05,0,0.0,0.0
2025-04-14 00:00:00+00:00,3.899999865097925e-05,4.099999932805076e-05,3.899999865097925e-05,3.9999998989515007e-05,0,0.0,0.0
