TIMESTAMP,ETH_MARKET_CAP_USD,ETH_PRICE_USD,ETH_SUPPLY
2015-09-22,66116403.590624996,0.9,73462670.65625
2015-09-23,66140775.871874996,0.9,73489750.96875
2015-09-24,59548070.7675,0.81,73516136.75
2015-09-25,54421923.73875,0.74,73543140.1875
2015-09-26,57383859.39,0.78,73569050.5
2015-09-27,52987724.3475,0.72,73594061.59375
2015-09-28,43435077.729375005,0.59,73618775.8125
2015-09-29,50077338.089999996,0.68,73643144.25
2015-09-30,53041131.36,0.72,73668238.0
2015-10-01,50113048.82125,0.68,73695660.03125
2015-10-02,50131349.74625,0.68,73722573.15625
2015-10-03,50886828.5653125,0.69,73749026.90625
2015-10-04,49428919.731874995,0.67,73774507.0625
2015-10-05,46494405.680625,0.63,73800643.9375
2015-10-06,48724949.129999995,0.66,73825680.5
2015-10-07,45049606.5971875,0.61,73851814.09375
2015-10-08,45804729.694375,0.62,73878596.28125
2015-10-09,48037628.559375,0.65,73904043.9375
2015-10-10,46575612.48375,0.63,73929543.625
2015-10-11,46592314.2759375,0.63,73956054.40625
2015-10-12,46609198.275937505,0.63,73982854.40625
2015-10-13,44405713.612500004,0.6,74009522.6875
2015-10-14,37758053.139375,0.51,74035398.3125
2015-10-15,41474164.9175,0.56,74061008.78125
2015-10-16,39265818.599375,0.53,74086450.1875
2015-10-17,40762095.446875,0.55,74112900.8125
2015-10-18,38552149.52875,0.52,74138749.09375
2015-10-19,36340710.748124994,0.49,74164715.8125
2015-10-20,32643999.657499995,0.44,74190908.3125
2015-10-21,32655460.07625,0.44,74216954.71875
2015-10-22,43802948.445,0.59,74242285.5
2015-10-23,38620318.92875,0.52,74269844.09375
2015-10-24,42349266.6834375,0.57,74296959.09375
2015-10-25,48310452.653124996,0.65,74323773.3125
2015-10-26,55018769.582499996,0.74,74349688.625
2015-10-27,64708176.941250004,0.87,74377214.875
2015-10-28,75147598.945625,1.01,74403563.3125
2015-10-29,86340041.59875001,1.16,74431070.34375
2015-10-30,77437146.02,1.04,74458794.25
2015-10-31,66293022.435625,0.89,74486542.0625
2015-11-01,78240458.3296875,1.05,74514722.21875
2015-11-02,71560182.17999999,0.96,74541856.4375
2015-11-03,74569462.21875,1.0,74569462.21875
2015-11-04,64899545.403749995,0.87,74597178.625
2015-11-05,66415778.3278125,0.89,74624470.03125
2015-11-06,68679740.84124999,0.92,74651892.21875
2015-11-07,68704318.92875,0.92,74678607.53125
2015-11-08,76200014.52562499,1.02,74705896.59375
2015-11-09,74732956.125,1.0,74732956.125
2015-11-10,68779568.1725,0.92,74760400.1875
2015-11-11,58334816.865,0.78,74788226.75
2015-11-12,66586463.6403125,0.89,74816251.28125
2015-11-13,66611548.42937501,0.89,74844436.4375
2015-11-14,66636786.7434375,0.89,74872794.09375
2015-11-15,67410822.825,0.9,74900914.25
2015-11-16,70432610.841875,0.94,74928309.40625
2015-11-17,74956103.0,1.0,74956103.0
2015-11-18,74233521.4809375,0.99,74983355.03125
2015-11-19,71259422.54531251,0.95,75009918.46875
2015-11-20,69782595.511875,0.93,75035048.9375
2015-11-21,72809976.19125,0.97,75061831.125
2015-11-22,72085266.93,0.96,75088819.71875
2015-11-23,70609126.53875001,0.94,75116092.0625
2015-11-24,68380075.57062499,0.91,75142940.1875
2015-11-25,64645694.37375,0.86,75169412.0625
2015-11-26,66172436.44,0.88,75195950.5
2015-11-27,65444738.51625,0.87,75223837.375
2015-11-28,68478451.2628125,0.91,75251045.34375
2015-11-29,65492202.0459375,0.87,75278393.15625
2015-11-30,66269059.47749999,0.88,75305749.40625
2015-12-01,65539964.230312504,0.87,75333292.21875
2015-12-02,62548218.3775,0.83,75359299.25
2015-12-03,61817637.275625005,0.82,75387362.53125
2015-12-04,63347795.20125,0.84,75414041.90625
2015-12-05,64124530.214062504,0.85,75440623.78125
2015-12-06,63392178.8325,0.84,75466879.5625
2015-12-07,60394878.775000006,0.8,75493598.46875
2015-12-08,62681526.1040625,0.83,75519910.96875
2015-12-09,59683105.674687505,0.79,75548235.03125
2015-12-10,63483598.395,0.84,75575712.375
2015-12-11,68798489.020625,0.91,75602735.1875
2015-12-12,73361043.4975,0.97,75629941.75
2015-12-13,72631535.13000001,0.96,75657849.09375
2015-12-14,74927712.110625,0.99,75684557.6875
2015-12-15,76468687.9409375,1.01,75711572.21875
2015-12-16,74980649.266875,0.99,75738029.5625
2015-12-17,71219017.92625001,0.94,75764912.6875
2015-12-18,68970341.66749999,0.91,75791584.25
2015-12-19,68236450.903125,0.9,75818278.78125
2015-12-20,68260243.3875,0.9,75844714.875
2015-12-21,67525343.691875,0.89,75871172.6875
2015-12-22,66031735.944375,0.87,75898547.0625
2015-12-23,64537054.471875,0.85,75925946.4375
2015-12-24,64559738.050000004,0.85,75952633.0
2015-12-25,66102109.83656251,0.87,75979436.59375
2015-12-26,64605097.237500004,0.85,76005996.75
2015-12-27,64627922.92499999,0.85,76032850.5
2015-12-28,63890323.11375,0.84,76059908.46875
2015-12-29,66195315.519375004,0.87,76086569.5625
2015-12-30,68501975.23125,0.9,76113305.8125
2015-12-31,70810402.5946875,0.93,76140217.84375
2016-01-01,70834644.49781251,0.93,76166284.40625
2016-01-02,70860111.530625,0.93,76193668.3125
2016-01-03,73934703.7709375,0.97,76221344.09375
2016-01-04,72436326.48281251,0.95,76248764.71875
2016-01-05,72462773.740625,0.95,76276603.9375
2016-01-06,73252060.23,0.96,76304229.40625
2016-01-07,72514689.0140625,0.95,76331251.59375
2016-01-08,75595655.829375,0.99,76359248.3125
2016-01-09,75622975.6528125,0.99,76386844.09375
2016-01-10,75649990.74187501,0.99,76414132.0625
2016-01-11,80263194.07968749,1.05,76441137.21875
2016-01-12,94054456.74000001,1.23,76467038.0
2016-01-13,86437737.843125,1.13,76493573.3125
2016-01-14,88763771.33625,1.16,76520492.53125
2016-01-15,93387693.6475,1.22,76547289.875
2016-01-16,93420051.86,1.22,76573813.0
2016-01-17,100346540.8253125,1.31,76600412.84375
2016-01-18,112641738.50999999,1.47,76627033.0
2016-01-19,105014782.363125,1.37,76653125.8125
2016-01-20,117319892.518125,1.53,76679668.3125
2016-01-21,118126604.798125,1.54,76705587.53125
2016-01-22,116632400.64750001,1.52,76731842.53125
2016-01-23,155817952.8040625,2.03,76757612.21875
2016-01-24,161248195.89374998,2.1,76784855.1875
2016-01-25,192026380.546875,2.5,76810552.21875
2016-01-26,176726345.30625,2.3,76837541.4375
2016-01-27,186010014.169375,2.42,76863642.21875
2016-01-28,196070027.6109375,2.55,76890206.90625
2016-01-29,185368445.37375,2.41,76916367.375
2016-01-30,186970422.015,2.43,76942560.5
2016-01-31,169330133.225,2.2,76968242.375
2016-02-01,167078441.76624998,2.17,76994673.625
2016-02-02,188700328.053125,2.45,77020542.0625
2016-02-03,194931035.2790625,2.53,77047840.03125
2016-02-04,198081214.10375,2.57,77074402.375
2016-02-05,198149469.6896875,2.57,77100960.96875
2016-02-06,195132086.0775,2.53,77127306.75
2016-02-07,231461974.3125,3.0,77153991.4375
2016-02-08,243890842.7425,3.16,77180646.4375
2016-02-09,290298761.91749996,3.76,77207117.53125
2016-02-10,335964762.6984375,4.35,77233278.78125
2016-02-11,492917247.068125,6.38,77259756.59375
2016-02-12,407298582.95375,5.27,77286258.625
2016-02-13,403574591.77875,5.22,77313140.1875
2016-02-14,402165240.1,5.2,77339469.25
2016-02-15,403848925.61625004,5.22,77365694.5625
2016-02-16,328916596.4609375,4.25,77392140.34375
2016-02-17,298832755.7675,3.86,77417812.375
2016-02-18,337655958.67375,4.36,77444027.21875
2016-02-19,344744537.959375,4.45,77470682.6875
2016-02-20,338662953.9584375,4.37,77497243.46875
2016-02-21,358935101.5446875,4.63,77523780.03125
2016-02-22,434283011.925,5.6,77550537.84375
2016-02-23,442187234.70937496,5.7,77576707.84375
2016-02-24,483467529.2978125,6.23,77603134.71875
2016-02-25,460345653.7196875,5.93,77629958.46875
2016-02-26,468269373.5634375,6.03,77656612.53125
2016-02-27,490178546.08625,6.31,77682812.375
2016-02-28,505110023.640625,6.5,77709234.40625
2016-02-29,493613846.003125,6.35,77734463.9375
2016-03-01,590205572.7871876,7.59,77760945.03125
2016-03-02,676752026.475,8.7,77787589.25
2016-03-03,727558099.675,9.35,77813700.5
2016-03-04,775282274.6925,9.96,77839585.8125
2016-03-05,856527848.0,11.0,77866168.0
2016-03-06,855249413.20875,10.98,77891567.6875
2016-03-07,740216754.984375,9.5,77917553.15625
2016-03-08,770080557.6587499,9.88,77943376.28125
2016-03-09,900543330.946875,11.55,77969119.5625
2016-03-10,866532749.864375,11.11,77995747.0625
2016-03-11,877748057.578125,11.25,78022049.5625
2016-03-12,1034141561.2734376,13.25,78048419.71875
2016-03-13,1171135052.8125,15.0,78075670.1875
2016-03-14,976275976.953125,12.5,78102078.15625
2016-03-15,1022764919.9075,13.09,78133301.75
2016-03-16,1009889111.4287499,12.92,78164791.90625
2016-03-17,871112535.11375,11.14,78196816.4375
2016-03-18,840952113.96875,10.75,78228103.625
2016-03-19,825644920.7593751,10.55,78260182.0625
2016-03-20,787615278.8206251,10.06,78291777.21875
2016-03-21,937528227.444375,11.97,78323160.1875
2016-03-22,858769397.8050001,10.96,78354872.0625
2016-03-23,963365981.6762501,12.29,78386166.125
2016-03-24,872794980.2446876,11.13,78418237.21875
2016-03-25,838631858.298125,10.69,78450127.0625
2016-03-26,863302686.125,11.0,78482062.375
2016-03-27,824393778.140625,10.5,78513693.15625
2016-03-28,909551096.743125,11.58,78544999.71875
2016-03-29,921701612.2415625,11.73,78576437.53125
2016-03-30,933864679.44,11.88,78608138.0
2016-03-31,897277002.0003124,11.41,78639526.90625
2016-04-01,914948516.8353124,11.63,78671411.59375
2016-04-02,913735941.9159375,11.61,78702492.84375
2016-04-03,911742296.911875,11.58,78734222.53125
2016-04-04,874304549.7843751,11.1,78766175.65625
2016-04-05,818708627.695,10.39,78797750.5
2016-04-06,850565051.9559375,10.79,78829013.15625
2016-04-07,794910619.44,10.08,78860180.5
2016-04-08,768409004.0825,9.74,78892094.875
2016-04-09,722934757.5737499,9.16,78923008.46875
2016-04-10,694802153.6500001,8.8,78954790.1875
2016-04-11,688755798.86,8.72,78985756.75
2016-04-12,595789232.30125,7.54,79017139.5625
2016-04-13,633969977.7631251,8.02,79048625.65625
2016-04-14,670598626.8399999,8.48,79080026.75
2016-04-15,650298668.74125,8.22,79111760.1875
2016-04-16,671135111.39,8.48,79143291.4375
2016-04-17,748201808.615625,9.45,79174794.5625
2016-04-18,706523354.51625,8.92,79206654.09375
2016-04-19,694917090.3553126,8.77,79237980.65625
2016-04-20,676964195.01375,8.54,79269812.0625
2016-04-21,647097677.505,8.16,79301185.96875
2016-04-22,621175531.843125,7.83,79332762.6875
2016-04-23,659518631.6971875,8.31,79364456.28125
2016-04-24,635167610.25,8.0,79395951.28125
2016-04-25,590150696.161875,7.43,79428088.3125
2016-04-26,595945320.9375,7.5,79459376.125
2016-04-27,617647021.2412499,7.77,79491251.125
2016-04-28,580517415.4625,7.3,79522933.625
2016-04-29,598250721.485,7.52,79554617.21875
2016-04-30,702748873.918125,8.83,79586508.9375
2016-05-01,697449490.5300001,8.76,79617521.75
2016-05-02,798883816.124375,10.03,79649433.3125
2016-05-03,746613074.150625,9.37,79681224.5625
2016-05-04,751690603.636875,9.43,79712683.3125
2016-05-05,780698295.8293749,9.79,79744463.3125
2016-05-06,739525382.9803126,9.27,79776200.96875
2016-05-07,742212299.071875,9.3,79807774.09375
2016-05-08,753686044.0699999,9.44,79839623.3125
2016-05-09,744401678.3787501,9.32,79871424.71875
2016-05-10,750290349.9121875,9.39,79903125.65625
2016-05-11,796945756.4490625,9.97,79934378.78125
2016-05-12,807663021.70625,10.1,79966635.8125
2016-05-13,838387764.9275,10.48,79998832.53125
2016-05-14,811509273.485625,10.14,80030500.34375
2016-05-15,795819350.83875,9.94,80062308.9375
2016-05-16,884235778.32,11.04,80093820.5
2016-05-17,982344915.54875,12.26,80126012.6875
2016-05-18,1065305362.760625,13.29,80158417.0625
2016-05-19,1161957746.3090625,14.49,80190320.65625
2016-05-20,1101453694.0196877,13.73,80222410.34375
2016-05-21,1119546785.7562501,13.95,80254249.875
2016-05-22,1140871252.03625,14.21,80286506.125
2016-05-23,1080284991.7875001,13.45,80318586.75
2016-05-24,1014024446.1943749,12.62,80350590.03125
2016-05-25,1007198326.693125,12.53,80382947.0625
2016-05-26,994733444.081875,12.37,80414991.4375
2016-05-27,893769649.1659375,11.11,80447313.15625
2016-05-28,930344543.03,11.56,80479631.75
2016-05-29,988682498.27125,12.28,80511604.09375
2016-05-30,1005184229.79,12.48,80543608.15625
2016-05-31,1115965704.58125,13.85,80575141.125
2016-06-01,1114798756.3040624,13.83,80607285.34375
2016-06-02,1111211862.580625,13.78,80639467.53125
2016-06-03,1111656573.324375,13.78,80671739.71875
2016-06-04,1102415018.301875,13.66,80703881.28125
2016-06-05,1118186182.0265625,13.85,80735464.40625
2016-06-06,1127518994.48625,13.96,80767836.28125
2016-06-07,1164324861.7721877,14.41,80799782.21875
2016-06-08,1167215310.1075,14.44,80832085.1875
2016-06-09,1171723868.20125,14.49,80864311.125
2016-06-10,1130109790.5521877,13.97,80895475.34375
2016-06-11,1133799189.883125,14.01,80927850.8125
2016-06-12,1260548253.8943748,15.57,80960067.6875
2016-06-13,1421414722.9546876,17.55,80992291.90625
2016-06-14,1515156978.9125001,18.7,81024437.375
2016-06-15,1483330370.6343749,18.3,81056304.40625
2016-06-16,1671227432.3081248,20.61,81088182.0625
2016-06-17,1256573560.2809374,15.49,81121598.46875
2016-06-18,921931997.0550001,11.36,81155985.65625
2016-06-19,1001062603.27125,12.33,81189181.125
2016-06-20,950284482.834375,11.7,81220895.96875
