TIMESTAMP,DEFIANT_OPEN_PRICE_USD,DEFIANT_HIGH_PRICE_USD,DEFIANT_LOW_PRICE_USD,DEFIANT_CLOSE_PRICE_USD,DEFIANT_VOLUME_USD,DEFIANT_DIVIDENDS_USD,DEFIANT_STOCK_SPLITS_USD
2025-04-21 00:00:00+00:00,0.012395000085234642,0.01372000016272068,0.0025400000158697367,0.002867999952286482,5581675,0.0,0.0
2025-04-22 00:00:00+00:00,0.0028490000404417515,0.002859999891370535,0.00060299999313429,0.0007099999929778278,4176934,0.0,0.0
2025-04-23 00:00:00+00:00,0.0007099999929778278,0.0007140000234358013,0.0002899999963119626,0.00032900000223889947,3587020,0.0,0.0
2025-04-24 00:00:00+00:00,0.00032900000223889947,0.00032900000223889947,0.00016999999934341758,0.00017899999511428177,2193174,0.0,0.0
2025-04-25 00:00:00+00:00,0.00017899999511428177,0.0002690000110305846,0.00016900000628083944,0.00019999999494757503,3343922,0.0,0.0
2025-04-26 00:00:00+00:00,0.00019999999494757503,0.00023999999393709004,0.00016900000628083944,0.0001990000018849969,3796736,0.0,0.0
2025-04-27 00:00:00+00:00,0.0001990000018849969,0.00021899999410379678,0.00018000000272877514,0.00018000000272877514,2159474,0.0,0.0
2025-04-28 00:00:00+00:00,0.00018000000272877514,0.00018899999849963933,0.00014099999680183828,0.00014099999680183828,224435,0.0,0.0
2025-04-29 00:00:00+00:00,0.00014099999680183828,0.00018400000408291817,9.200000204145908e-05,9.600000339560211e-05,199409,0.0,0.0
2025-04-30 00:00:00+00:00,9.600000339560211e-05,0.00010099999781232327,9.200000204145908e-05,9.899999713525176e-05,203519,0.0,0.0
2025-05-01 00:00:00+00:00,9.899999713525176e-05,0.0001140000022132881,9.600000339560211e-05,0.00010699999984353781,205133,0.0,0.0
2025-05-02 00:00:00+00:00,0.00010699999984353781,0.00011500000255182385,9.699999645818025e-05,9.7999996796716e-05,204278,0.0,0.0
2025-05-03 00:00:00+00:00,9.7999996796716e-05,0.00010099999781232327,9.500000305706635e-05,9.699999645818025e-05,200293,0.0,0.0
2025-05-04 00:00:00+00:00,9.699999645818025e-05,0.00019099999917671084,9.500000305706635e-05,0.00011100000119768083,238549,0.0,0.0
2025-05-05 00:00:00+00:00,0.00011100000119768083,0.00011100000119768083,7.899999764049426e-05,8.299999899463728e-05,203376,0.0,0.0
2025-05-06 00:00:00+00:00,8.299999899463728e-05,8.399999933317304e-05,7.599999662488699e-05,7.699999696342275e-05,238371,0.0,0.0
2025-05-07 00:00:00+00:00,7.699999696342275e-05,8.399999933317304e-05,7.100000220816582e-05,8.199999865610152e-05,326971,0.0,0.0
2025-05-08 00:00:00+00:00,8.199999865610152e-05,8.399999933317304e-05,7.100000220816582e-05,7.500000356230885e-05,313786,0.0,0.0
2025-05-09 00:00:00+00:00,7.500000356230885e-05,8.399999933317304e-05,7.100000220816582e-05,7.699999696342275e-05,312574,0.0,0.0
2025-05-10 00:00:00+00:00,7.699999696342275e-05,8.299999899463728e-05,7.500000356230885e-05,7.79999973019585e-05,317972,0.0,0.0
2025-05-11 00:00:00+00:00,7.79999973019585e-05,9.100000170292333e-05,7.599999662488699e-05,8.499999967170879e-05,319655,0.0,0.0
2025-05-12 00:00:00+00:00,8.499999967170879e-05,9.200000204145908e-05,7.999999797903001e-05,8.299999899463728e-05,321381,0.0,0.0
2025-05-13 00:00:00+00:00,8.299999899463728e-05,8.900000102585182e-05,7.500000356230885e-05,7.79999973019585e-05,330734,0.0,0.0
2025-05-14 00:00:00+00:00,7.79999973019585e-05,8.099999831756577e-05,7.300000288523734e-05,7.500000356230885e-05,311445,0.0,0.0
2025-05-15 00:00:00+00:00,7.500000356230885e-05,7.79999973019585e-05,7.000000186963007e-05,7.200000254670158e-05,234692,0.0,0.0
2025-05-16 00:00:00+00:00,7.200000254670158e-05,7.699999696342275e-05,7.100000220816582e-05,7.500000356230885e-05,197947,0.0,0.0
2025-05-17 00:00:00+00:00,7.500000356230885e-05,7.699999696342275e-05,7.100000220816582e-05,7.300000288523734e-05,196807,0.0,0.0
2025-05-18 00:00:00+00:00,7.300000288523734e-05,8.900000102585182e-05,7.000000186963007e-05,8.199999865610152e-05,251313,0.0,0.0
2025-05-19 00:00:00+00:00,8.199999865610152e-05,8.199999865610152e-05,7.200000254670158e-05,8.199999865610152e-05,245200,0.0,0.0
2025-05-20 00:00:00+00:00,8.199999865610152e-05,8.600000001024455e-05,7.300000288523734e-05,7.500000356230885e-05,197665,0.0,0.0
