TIMESTAMP,DEFIANT_OPEN_PRICE_USD,DEFIANT_HIGH_PRICE_USD,DEFIANT_LOW_PRICE_USD,DEFIANT_CLOSE_PRICE_USD,DEFIANT_VOLUME_USD,DEFIANT_DIVIDENDS_USD,DEFIANT_STOCK_SPLITS_USD
2025-05-21 00:00:00+00:00,7.500000356230885e-05,8.099999831756577e-05,7.100000220816582e-05,7.300000288523734e-05,198978,0.0,0.0
2025-05-22 00:00:00+00:00,7.300000288523734e-05,8.800000068731606e-05,7.300000288523734e-05,7.899999764049426e-05,274143,0.0,0.0
2025-05-23 00:00:00+00:00,7.899999764049426e-05,0.00016199999663513154,6.299999949987978e-05,0.00016199999663513154,42650,0.0,0.0
2025-05-24 00:00:00+00:00,0.00016199999663513154,0.00025099999038502574,6.299999949987978e-05,0.00025099999038502574,220,0.0,0.0
2025-05-25 00:00:00+00:00,0.00025099999038502574,0.00025099999038502574,0.0002500000118743628,0.00025099999038502574,319,0.0,0.0
2025-05-26 00:00:00+00:00,0.00025099999038502574,0.0002519999979995191,0.00024900000425986946,0.00024900000425986946,866,0.0,0.0
2025-05-27 00:00:00+00:00,0.00024900000425986946,0.00025099999038502574,0.00024900000425986946,0.00025099999038502574,0,0.0,0.0
2025-05-28 00:00:00+00:00,0.00025099999038502574,0.00025099999038502574,0.0002390000008745119,0.00023999999393709004,0,0.0,0.0
2025-05-29 00:00:00+00:00,0.00023999999393709004,0.00025099999038502574,6.900000153109431e-05,6.900000153109431e-05,5,0.0,0.0
2025-05-30 00:00:00+00:00,6.900000153109431e-05,7.400000322377309e-05,6.299999949987978e-05,6.299999949987978e-05,1869,0.0,0.0
2025-05-31 00:00:00+00:00,6.299999949987978e-05,6.299999949987978e-05,6.199999916134402e-05,6.299999949987978e-05,1,0.0,0.0
2025-06-01 00:00:00+00:00,6.265695265028626e-05,7.791320240357891e-05,5.944311851635575e-05,6.133150600362569e-05,0,0.0,0.0
