TIMESTAMP,OGY_OPEN_PRICE_USD,OGY_HIGH_PRICE_USD,OGY_LOW_PRICE_USD,OGY_CLOSE_PRICE_USD,OGY_VOLUME_USD,OGY_DIVIDENDS_USD,OGY_STOCK_SPLITS_USD
2022-06-16 00:00:00+00:00,0.04295099899172783,0.04503000155091286,0.038860999047756195,0.04234699904918671,127105,0.0,0.0
2022-06-17 00:00:00+00:00,0.04234800115227699,0.04584600031375885,0.03604799881577492,0.03750700131058693,114527,0.0,0.0
2022-06-18 00:00:00+00:00,0.03750700131058693,0.04274800047278404,0.03395099937915802,0.0384799987077713,105840,0.0,0.0
2022-06-19 00:00:00+00:00,0.0384799987077713,0.042851999402046204,0.03400599956512451,0.03631800040602684,6353,0.0,0.0
2022-06-20 00:00:00+00:00,0.036316998302936554,0.03954999893903732,0.030038999393582344,0.030042000114917755,17688,0.0,0.0
2022-06-21 00:00:00+00:00,0.030042000114917755,0.035604000091552734,0.02901799976825714,0.033796001225709915,13726,0.0,0.0
2022-06-22 00:00:00+00:00,0.033796001225709915,0.03418799862265587,0.0290949996560812,0.03085000067949295,17815,0.0,0.0
2022-06-23 00:00:00+00:00,0.03085000067949295,0.03177199885249138,0.030117999762296677,0.031175000593066216,5720,0.0,0.0
2022-06-24 00:00:00+00:00,0.03117400035262108,0.03254900127649307,0.02983899973332882,0.03235799819231033,6778,0.0,0.0
2022-06-25 00:00:00+00:00,0.03235900029540062,0.03357499837875366,0.03171199932694435,0.033573001623153687,3814,0.0,0.0
2022-06-26 00:00:00+00:00,0.033573001623153687,0.03381900116801262,0.032823000103235245,0.03336400166153908,4558,0.0,0.0
2022-06-27 00:00:00+00:00,0.03336599841713905,0.03579999879002571,0.033121999353170395,0.033640000969171524,34831,0.0,0.0
2022-06-28 00:00:00+00:00,0.03364099934697151,0.034772999584674835,0.029138000681996346,0.02924099937081337,39837,0.0,0.0
2022-06-29 00:00:00+00:00,0.02924099937081337,0.030810000374913216,0.024840999394655228,0.024840999394655228,7102,0.0,0.0
2022-06-30 00:00:00+00:00,0.024840999394655228,0.026298999786376953,0.023798000067472458,0.02486800029873848,10047,0.0,0.0
2022-07-01 00:00:00+00:00,0.024869000539183617,0.026343999430537224,0.024504000321030617,0.02466600015759468,3373,0.0,0.0
2022-07-02 00:00:00+00:00,0.024664999917149544,0.024793000891804695,0.02401299960911274,0.024013999849557877,431,0.0,0.0
2022-07-03 00:00:00+00:00,0.024013999849557877,0.026124000549316406,0.02397100068628788,0.025724999606609344,4356,0.0,0.0
2022-07-04 00:00:00+00:00,0.025724999606609344,0.026788000017404556,0.022665999829769135,0.025645999237895012,12390,0.0,0.0
2022-07-05 00:00:00+00:00,0.025645999237895012,0.028636999428272247,0.025464000180363655,0.027348000556230545,9070,0.0,0.0
2022-07-06 00:00:00+00:00,0.027348000556230545,0.028602000325918198,0.027209000661969185,0.02846500091254711,4313,0.0,0.0
2022-07-07 00:00:00+00:00,0.028464000672101974,0.02846500091254711,0.023781999945640564,0.02770400047302246,13019,0.0,0.0
2022-07-08 00:00:00+00:00,0.027703000232577324,0.03307799994945526,0.027262000367045403,0.032437000423669815,13026,0.0,0.0
2022-07-09 00:00:00+00:00,0.032437000423669815,0.033973000943660736,0.03243499994277954,0.03339599817991257,10222,0.0,0.0
2022-07-10 00:00:00+00:00,0.03339599817991257,0.03348999843001366,0.02892100065946579,0.029566999524831772,2962,0.0,0.0
