TIMESTAMP,GIRL_OPEN_PRICE_USD,GIRL_HIGH_PRICE_USD,GIRL_LOW_PRICE_USD,GIRL_CLOSE_PRICE_USD,GIRL_VOLUME_USD,GIRL_DIVIDENDS_USD,GIRL_STOCK_SPLITS_USD
2024-12-01 00:00:00+00:00,9.899999713525176e-05,0.00010299999848939478,9.200000204145908e-05,9.200000204145908e-05,4596,0.0,0.0
2024-12-02 00:00:00+00:00,9.200000204145908e-05,9.200000204145908e-05,7.200000254670158e-05,7.300000288523734e-05,5228,0.0,0.0
2024-12-03 00:00:00+00:00,7.300000288523734e-05,9.699999645818025e-05,6.800000119255856e-05,7.000000186963007e-05,14082,0.0,0.0
2024-12-04 00:00:00+00:00,7.000000186963007e-05,9.699999645818025e-05,7.000000186963007e-05,8.600000001024455e-05,10915,0.0,0.0
2024-12-05 00:00:00+00:00,8.600000001024455e-05,9.999999747378752e-05,6.500000017695129e-05,6.70000008540228e-05,20121,0.0,0.0
2024-12-06 00:00:00+00:00,6.800000119255856e-05,8.70000003487803e-05,6.70000008540228e-05,6.70000008540228e-05,14788,0.0,0.0
2024-12-07 00:00:00+00:00,6.70000008540228e-05,8.70000003487803e-05,6.70000008540228e-05,7.699999696342275e-05,15256,0.0,0.0
2024-12-08 00:00:00+00:00,7.599999662488699e-05,8.800000068731606e-05,7.599999662488699e-05,8.70000003487803e-05,4062,0.0,0.0
2024-12-09 00:00:00+00:00,8.70000003487803e-05,8.70000003487803e-05,6.199999916134402e-05,6.199999916134402e-05,4722,0.0,0.0
2024-12-10 00:00:00+00:00,6.199999916134402e-05,7.500000356230885e-05,5.6000000768108293e-05,5.999999848427251e-05,12727,0.0,0.0
2024-12-11 00:00:00+00:00,5.999999848427251e-05,5.999999848427251e-05,5.6000000768108293e-05,5.8000001445179805e-05,2211,0.0,0.0
2024-12-12 00:00:00+00:00,5.8000001445179805e-05,6.0999998822808266e-05,5.2999999752501026e-05,5.2999999752501026e-05,1364,0.0,0.0
2024-12-13 00:00:00+00:00,5.2999999752501026e-05,7.100000220816582e-05,5.2999999752501026e-05,5.500000042957254e-05,12238,0.0,0.0
2024-12-14 00:00:00+00:00,5.500000042957254e-05,5.6000000768108293e-05,4.600000102072954e-05,4.600000102072954e-05,2453,0.0,0.0
2024-12-15 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.600000102072954e-05,4.600000102072954e-05,432,0.0,0.0
2024-12-16 00:00:00+00:00,4.600000102072954e-05,4.70000013592653e-05,4.199999966658652e-05,4.3000000005122274e-05,833,0.0,0.0
2024-12-17 00:00:00+00:00,4.3000000005122274e-05,4.400000034365803e-05,4.099999932805076e-05,4.400000034365803e-05,716,0.0,0.0
2024-12-18 00:00:00+00:00,4.400000034365803e-05,4.400000034365803e-05,4.099999932805076e-05,4.099999932805076e-05,168,0.0,0.0
2024-12-19 00:00:00+00:00,4.099999932805076e-05,4.199999966658652e-05,3.899999865097925e-05,3.899999865097925e-05,331,0.0,0.0
