TIMESTAMP,MCC16160_OPEN_PRICE_USD,MCC16160_HIGH_PRICE_USD,MCC16160_LOW_PRICE_USD,MCC16160_CLOSE_PRICE_USD,MCC16160_VOLUME_USD,MCC16160_DIVIDENDS_USD,MCC16160_STOCK_SPLITS_USD
2021-12-17 00:00:00+00:00,3.199999991920777e-05,3.199999991920777e-05,2.300000051036477e-05,2.4000000848900527e-05,2996272,0.0,0.0
2021-12-18 00:00:00+00:00,2.4000000848900527e-05,2.9999999242136255e-05,2.2000000171829015e-05,2.9999999242136255e-05,2731703,0.0,0.0
2021-12-19 00:00:00+00:00,2.9999999242136255e-05,3.600000127335079e-05,2.8000000384054147e-05,3.600000127335079e-05,3168992,0.0,0.0
2021-12-20 00:00:00+00:00,3.600000127335079e-05,4.8999998398358e-05,3.300000025774352e-05,4.600000102072954e-05,6468152,0.0,0.0
2021-12-21 00:00:00+00:00,4.600000102072954e-05,4.600000102072954e-05,3.7999998312443495e-05,4.099999932805076e-05,4891364,0.0,0.0
2021-12-22 00:00:00+00:00,4.099999932805076e-05,4.3000000005122274e-05,3.7999998312443495e-05,3.7999998312443495e-05,3432345,0.0,0.0
2021-12-23 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,3.300000025774352e-05,3.600000127335079e-05,3288853,0.0,0.0
2021-12-24 00:00:00+00:00,3.600000127335079e-05,3.600000127335079e-05,2.499999936844688e-05,3.300000025774352e-05,4388595,0.0,0.0
2021-12-25 00:00:00+00:00,3.300000025774352e-05,3.300000025774352e-05,2.5999999706982635e-05,2.9999999242136255e-05,2017667,0.0,0.0
2021-12-26 00:00:00+00:00,2.9999999242136255e-05,3.7000001611886546e-05,2.8000000384054147e-05,3.7000001611886546e-05,2251749,0.0,0.0
2021-12-27 00:00:00+00:00,3.7000001611886546e-05,4.999999873689376e-05,3.7000001611886546e-05,4.8999998398358e-05,6354054,0.0,0.0
2021-12-28 00:00:00+00:00,4.8999998398358e-05,4.999999873689376e-05,3.9999998989515007e-05,4.199999966658652e-05,4991790,0.0,0.0
2021-12-29 00:00:00+00:00,4.199999966658652e-05,4.400000034365803e-05,3.9999998989515007e-05,4.199999966658652e-05,2267335,0.0,0.0
2021-12-30 00:00:00+00:00,4.199999966658652e-05,5.2999999752501026e-05,3.7999998312443495e-05,5.0999999075429514e-05,3298342,0.0,0.0
2021-12-31 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.400000034365803e-05,4.8999998398358e-05,3181896,0.0,0.0
2022-01-01 00:00:00+00:00,4.8999998398358e-05,5.500000042957254e-05,4.8000001697801054e-05,5.500000042957254e-05,3511634,0.0,0.0
2022-01-02 00:00:00+00:00,5.500000042957254e-05,6.600000051548705e-05,5.2999999752501026e-05,6.600000051548705e-05,4619070,0.0,0.0
2022-01-03 00:00:00+00:00,6.600000051548705e-05,7.599999662488699e-05,6.199999916134402e-05,6.800000119255856e-05,7526080,0.0,0.0
2022-01-04 00:00:00+00:00,6.800000119255856e-05,7.999999797903001e-05,6.70000008540228e-05,7.899999764049426e-05,5900855,0.0,0.0
2022-01-05 00:00:00+00:00,7.899999764049426e-05,8.600000001024455e-05,6.70000008540228e-05,7.000000186963007e-05,7236165,0.0,0.0
2022-01-06 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,5.2999999752501026e-05,6.900000153109431e-05,6651801,0.0,0.0
2022-01-07 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,5.400000009103678e-05,5.999999848427251e-05,4646910,0.0,0.0
