TIMESTAMP,MCP_OPEN_PRICE_USD,MCP_HIGH_PRICE_USD,MCP_LOW_PRICE_USD,MCP_CLOSE_PRICE_USD,MCP_VOLUME_USD,MCP_DIVIDENDS_USD,MCP_STOCK_SPLITS_USD
2025-05-23 00:00:00+00:00,,,,0.0,989436,0.0,0.0
2025-05-24 00:00:00+00:00,,,,0.0,113472,0.0,0.0
2025-05-25 00:00:00+00:00,,,,0.0,237455,0.0,0.0
2025-05-26 00:00:00+00:00,,,,0.0,44682,0.0,0.0
2025-05-27 00:00:00+00:00,,,,0.0,23856,0.0,0.0
2025-05-28 00:00:00+00:00,,,,0.0,30019,0.0,0.0
2025-05-29 00:00:00+00:00,,,,0.0,15794,0.0,0.0
2025-05-30 00:00:00+00:00,,,,0.0,22245,0.0,0.0
2025-05-31 00:00:00+00:00,,,,0.0,8522,0.0,0.0
2025-06-01 00:00:00+00:00,3.566909950996483e-13,5.676670071508294e-13,3.0222599054462174e-13,3.2510420137216167e-13,19499,0.0,0.0
