TIMESTAMP,CRAZYCAT_OPEN_PRICE_USD,CRAZYCAT_HIGH_PRICE_USD,CRAZYCAT_LOW_PRICE_USD,CRAZYCAT_CLOSE_PRICE_USD,CRAZYCAT_VOLUME_USD,CRAZYCAT_DIVIDENDS_USD,CRAZYCAT_STOCK_SPLITS_USD
2023-11-30 00:00:00+00:00,,,,0.0,55975,0.0,0.0
2023-12-01 00:00:00+00:00,,,,0.0,49303,0.0,0.0
2023-12-02 00:00:00+00:00,,,,0.0,4284,0.0,0.0
2023-12-03 00:00:00+00:00,,,,0.0,2531,0.0,0.0
2023-12-04 00:00:00+00:00,,,,0.0,1835,0.0,0.0
2023-12-05 00:00:00+00:00,,,,0.0,495,0.0,0.0
2023-12-06 00:00:00+00:00,,,,0.0,867,0.0,0.0
2023-12-07 00:00:00+00:00,,,,0.0,448,0.0,0.0
2023-12-08 00:00:00+00:00,,,,0.0,72,0.0,0.0
2023-12-09 00:00:00+00:00,,,,0.0,118,0.0,0.0
2023-12-10 00:00:00+00:00,,,,0.0,298,0.0,0.0
2023-12-11 00:00:00+00:00,,,,0.0,89,0.0,0.0
2023-12-12 00:00:00+00:00,,,,0.0,227,0.0,0.0
2023-12-13 00:00:00+00:00,,,,0.0,93,0.0,0.0
2023-12-14 00:00:00+00:00,,,,0.0,18,0.0,0.0
2023-12-15 00:00:00+00:00,,,,0.0,13,0.0,0.0
2023-12-16 00:00:00+00:00,,,,0.0,138,0.0,0.0
2023-12-17 00:00:00+00:00,,,,0.0,44,0.0,0.0
2023-12-18 00:00:00+00:00,,,,0.0,269,0.0,0.0
2023-12-19 00:00:00+00:00,,,,0.0,49,0.0,0.0
2023-12-20 00:00:00+00:00,,,,0.0,1125,0.0,0.0
2023-12-21 00:00:00+00:00,,,,0.0,108,0.0,0.0
2023-12-22 00:00:00+00:00,,,,0.0,106,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,34,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,573,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,391,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,110,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,136,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,217,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,442,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,309,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,88,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,111,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,42,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,244,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,118,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,117,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,178,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,1,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,120,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,28,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,112,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,20,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,6,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,145,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,6,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,18,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,31,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,40,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,26,0.0,0.0
2024-01-20 00:00:00+00:00,,,,0.0,7,0.0,0.0
2024-01-21 00:00:00+00:00,,,,0.0,116,0.0,0.0
2024-01-22 00:00:00+00:00,,,,0.0,116,0.0,0.0
2024-01-23 00:00:00+00:00,,,,0.0,165,0.0,0.0
2024-01-24 00:00:00+00:00,,,,0.0,108,0.0,0.0
2024-01-25 00:00:00+00:00,,,,0.0,107,0.0,0.0
2024-01-26 00:00:00+00:00,,,,0.0,207,0.0,0.0
2024-01-27 00:00:00+00:00,,,,0.0,112,0.0,0.0
2024-01-28 00:00:00+00:00,,,,0.0,168,0.0,0.0
2024-01-29 00:00:00+00:00,,,,0.0,124,0.0,0.0
2024-01-30 00:00:00+00:00,,,,0.0,116,0.0,0.0
2024-01-31 00:00:00+00:00,,,,0.0,110,0.0,0.0
2024-02-01 00:00:00+00:00,,,,0.0,76,0.0,0.0
2024-02-02 00:00:00+00:00,,,,0.0,110,0.0,0.0
2024-02-03 00:00:00+00:00,,,,0.0,110,0.0,0.0
2024-02-04 00:00:00+00:00,,,,0.0,11,0.0,0.0
2024-02-05 00:00:00+00:00,,,,0.0,3,0.0,0.0
