,K,Alpha,Tau,Non_Stationary_IMFs,MSE,IMF_1_P_Val
158,15,1000,0.1,1,2.953208350753607e-10,0.01
159,13,500,0.15,1,2.9544542994110134e-10,0.01
160,12,250,0.3,1,2.9549887821025313e-10,0.01
161,10,250,0.3,1,2.956003456831362e-10,0.01
162,9,250,0.3,1,2.956106017802681e-10,0.01
163,8,250,0.3,1,2.9563695935081126e-10,0.01
164,7,250,0.3,1,2.95714272576485e-10,0.01
165,11,750,0.05,1,2.9697714287723306e-10,0.01
166,10,750,0.05,1,2.980493333728112e-10,0.01
167,15,750,0.2,1,3.0106199061340464e-10,0.01
168,14,250,0.25,1,3.0285005783792245e-10,0.01
169,13,1500,0.05,1,3.031644002750999e-10,0.01
170,13,250,0.25,1,3.0330549300002607e-10,0.01
171,12,250,0.25,1,3.036300665093949e-10,0.01
172,10,250,0.25,1,3.0376377569693705e-10,0.01
173,9,250,0.25,1,3.037806016462571e-10,0.01
174,8,250,0.25,1,3.038344506976331e-10,0.01
175,7,250,0.25,1,3.0394191134890117e-10,0.01
176,13,1000,0.05,1,3.0434642446787036e-10,0.01
177,12,1000,0.05,1,3.0914943999023756e-10,0.01
178,15,500,0.1,1,3.1134635469545905e-10,0.01
179,14,500,0.1,1,3.139426603658273e-10,0.01
180,12,500,0.1,1,3.142147007896232e-10,0.01
181,11,500,0.1,1,3.1492588720517287e-10,0.01
182,10,500,0.1,1,3.160237748491905e-10,0.01
183,15,750,0.15,1,3.1711987474208064e-10,0.01
184,14,250,0.2,1,3.1773404093464797e-10,0.01
185,13,250,0.2,1,3.184347254426084e-10,0.01
186,12,250,0.2,1,3.18984468393661e-10,0.01
187,10,250,0.2,1,3.1918224313391e-10,0.01
188,9,250,0.2,1,3.192149694441749e-10,0.01
189,8,250,0.2,1,3.1932958094466333e-10,0.01
190,7,250,0.2,1,3.197058562586866e-10,0.01
191,13,2000,0.2,1,3.222780482176555e-10,0.01
192,13,500,0.1,1,3.227256547772278e-10,0.01
193,14,2500,0.2,1,3.414844370341525e-10,0.01
194,14,2250,0.15,1,3.5005097971252275e-10,0.01
195,14,750,0.05,1,3.502655645224936e-10,0.01
196,14,250,0.15,1,3.5123265199028884e-10,0.01
197,13,250,0.15,1,3.524840864800411e-10,0.01
198,12,250,0.15,1,3.535718538040076e-10,0.01
199,10,250,0.15,1,3.539324055076155e-10,0.01
200,9,250,0.15,1,3.540136007349898e-10,0.01
201,8,250,0.15,1,3.5429278616341187e-10,0.01
202,15,750,0.1,1,3.5534307651706484e-10,0.01
203,15,1750,0.1,1,3.558305409801663e-10,0.01
204,13,750,0.05,1,3.577106402069855e-10,0.01
205,15,1000,0.05,1,3.588030071702411e-10,0.01
206,12,750,0.05,1,3.9211803205600544e-10,0.01
207,10,1250,0.2,1,3.928457933391142e-10,0.01
208,15,750,0.05,1,3.99593691650787e-10,0.01
209,11,1000,0.05,1,4.115307868287363e-10,0.01
210,11,1250,0.15,1,4.131997475339379e-10,0.01
211,9,500,0.15,1,4.4337574032574013e-10,0.01
212,14,250,0.1,1,4.550105538539354e-10,0.01
213,13,250,0.1,1,4.579901931107107e-10,0.01
214,12,250,0.1,1,4.608871034695921e-10,0.01
215,10,250,0.1,1,4.6187787600173946e-10,0.01
216,9,250,0.1,1,4.621780838361477e-10,0.01
217,8,250,0.1,1,4.630853648856956e-10,0.01
218,15,500,0.05,1,4.811412056811509e-10,0.01
219,12,500,0.05,1,4.855180806536746e-10,0.01
220,11,500,0.05,1,4.882621309279469e-10,0.01
221,10,500,0.05,1,4.981548070163221e-10,0.01
222,14,500,0.05,1,5.009128943495992e-10,0.01
223,14,1000,0.05,1,5.238357220307451e-10,0.01
224,14,1750,0.1,1,5.240735901736228e-10,0.01
225,7,250,0.15,1,5.253777048927303e-10,0.01
226,13,500,0.05,1,5.753775379569982e-10,0.01
227,12,1750,0.2,1,6.15431246412124e-10,0.01
228,12,1500,0.1,1,6.731842568075679e-10,0.01
229,11,250,0.3,1,8.251971822335162e-10,0.01
230,11,250,0.15,1,8.384605763287246e-10,0.01
231,11,250,0.2,1,8.396183853157483e-10,0.01
232,11,250,0.25,1,8.39768115713848e-10,0.01
233,11,250,0.1,1,9.490285070577682e-10,0.01
234,13,2250,0.3,1,1.0084397194191603e-09,0.01
235,14,250,0.05,1,1.180075235791382e-09,0.01
236,10,1000,0.1,1,1.1855744055506932e-09,0.01
237,13,250,0.05,1,1.1956583567145177e-09,0.01
238,12,250,0.05,1,1.2127778529629537e-09,0.01
239,10,250,0.05,1,1.2212078579924824e-09,0.01
240,9,250,0.05,1,1.2244320362450366e-09,0.01
241,8,250,0.05,1,1.232782693304168e-09,0.01
242,15,2000,0.3,1,1.2335702507657265e-09,0.01
243,14,2750,0.25,1,1.3001707109900567e-09,0.01
244,14,1250,0.05,1,1.330945963980702e-09,0.01
245,8,500,0.25,1,1.5653651113418332e-09,0.01
246,15,2000,0.25,1,1.6200881021453208e-09,0.01
247,15,2250,0.3,1,1.6601239042758966e-09,0.01
248,12,1500,0.05,1,1.952537494104099e-09,0.01
249,10,1500,0.3,1,2.1464358592626355e-09,0.01
250,12,2000,0.3,1,2.258001581344944e-09,0.01
251,15,2250,0.25,1,2.3005192324897035e-09,0.01
252,15,2000,0.2,1,2.3153402939562992e-09,0.01
253,15,1250,0.05,1,2.714937945100374e-09,0.01
254,15,2500,0.3,1,2.839992717581678e-09,0.01
255,11,250,0.05,1,2.8740303242282396e-09,0.01
256,15,2250,0.2,1,3.5709147392048553e-09,0.01
257,15,2000,0.15,1,3.7119704174062753e-09,0.01
258,15,250,0.3,1,3.9935830705793705e-09,0.01
259,13,1750,0.05,1,4.257150766802478e-09,0.01
260,15,2500,0.25,1,4.286260420287303e-09,0.01
261,14,2000,0.1,1,5.1907076996745154e-09,0.01
262,15,250,0.25,1,5.475420918104985e-09,0.01
263,14,3000,0.3,1,6.089755294957821e-09,0.01
264,15,2750,0.3,1,6.7591102301700165e-09,0.01
265,15,2250,0.15,1,7.324133985859864e-09,0.01
266,15,2500,0.2,1,7.865152295916122e-09,0.01
267,15,250,0.2,1,7.966856743177058e-09,0.01
268,15,2000,0.1,1,9.805350360305684e-09,0.01
269,15,2750,0.25,1,1.1872321026230427e-08,0.01
270,15,250,0.15,1,1.2597747420207913e-08,0.01
271,15,3000,0.3,1,2.269070098393057e-08,0.01
272,15,250,0.1,1,2.2800519467356155e-08,0.01
273,11,1500,0.25,1,3.154889782323018e-08,0.01
274,11,1500,0.2,1,3.391875107572495e-08,0.01
275,14,3250,0.3,1,4.082696388251078e-08,0.01
276,13,2000,0.15,1,4.771062581856866e-08,0.01
277,12,2000,0.25,1,5.019648331535712e-08,0.01
278,15,250,0.05,1,5.6828684924652106e-08,0.01
279,8,500,0.2,1,7.33815097612389e-08,0.01
280,15,1500,0.05,1,7.416959570046681e-08,0.01
281,14,1500,0.05,1,7.755672039113328e-08,0.01
282,9,500,0.1,1,8.65900605043007e-08,0.01
283,12,1750,0.15,1,8.939537804125603e-08,0.01
284,9,750,0.2,1,1.4839127665540558e-07,0.01
285,15,2250,0.1,1,1.734463385310472e-07,0.01
286,15,3000,0.25,1,1.8100206325801747e-07,0.01
287,14,3250,0.25,1,2.032058106566254e-07,0.01
288,15,2500,0.15,1,2.4190593578557975e-07,0.01
289,14,2000,0.05,1,2.4743050089930727e-07,0.01
290,15,1750,0.05,1,2.5415882962361804e-07,0.01
291,14,3000,0.25,1,2.607693562430315e-07,0.01
292,8,750,0.3,1,2.6722075426647277e-07,0.01
293,14,2750,0.2,1,3.0565990427052943e-07,0.01
294,11,1500,0.1,1,3.4827233508129836e-07,0.01
295,15,2750,0.2,1,3.724160874318878e-07,0.01
296,9,750,0.3,1,3.96507244130248e-07,0.01
297,15,3250,0.3,1,4.026411238937677e-07,0.01
298,15,3000,0.2,1,4.0616357619935464e-07,0.01
299,14,2750,0.15,1,4.142956714786669e-07,0.01
