TIMESTAMP,CHKN29999_OPEN_PRICE_USD,CHKN29999_HIGH_PRICE_USD,CHKN29999_LOW_PRICE_USD,CHKN29999_CLOSE_PRICE_USD,CHKN29999_VOLUME_USD,CHKN29999_DIVIDENDS_USD,CHKN29999_STOCK_SPLITS_USD
2024-03-30 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,16848124,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,84758232,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,13622239,0.0,0.0
2024-04-02 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,33698478,0.0,0.0
2024-04-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,13725136,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,6666553,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,3437864,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,2576742,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,2988784,0.0,0.0
2024-04-08 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,3578271,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,2855937,0.0,0.0
2024-04-10 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,1952226,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,1141394,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,6672554,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,1203807,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,1413071,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,1269282,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,718355,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,674566,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,693527,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,289644,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,1165918,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,991482,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,626244,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,1269096,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,1304875,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,1751672,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,1559387,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,1418341,0.0,0.0
