TIMESTAMP,LTC_OPEN_PRICE_USD,LTC_HIGH_PRICE_USD,LTC_LOW_PRICE_USD,LTC_CLOSE_PRICE_USD,XMR_OPEN_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_CLOSE_PRICE_USD,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD,XLM_OPEN_PRICE_USD,XLM_HIGH_PRICE_USD,XLM_LOW_PRICE_USD,XLM_CLOSE_PRICE_USD,BTC_OPEN_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_CLOSE_PRICE_USD,ZEC_OPEN_PRICE_USD,ZEC_HIGH_PRICE_USD,ZEC_LOW_PRICE_USD,ZEC_CLOSE_PRICE_USD
2017-06-01,25.88,29.94,25.87,27.74,40.27,44.22,40.12,42.12,218.34,227.32,196.0,211.4,0.03322,0.043,0.03242,0.04101,2303.3,2460.8,2303.3,2412.6,220.38,254.9,216.0,240.0
2017-06-02,27.74,28.95,26.56,27.9,42.12,43.11,41.22,42.59,211.4,219.21,208.23,214.77,0.04101,0.042,0.03653,0.0391,2412.6,2494.0,2385.6,2492.6,240.0,247.8,230.0,232.7
2017-06-03,27.9,28.3,26.79,27.4,42.59,43.26,41.0,41.0,214.77,217.99,210.01,217.01,0.0391,0.0397,0.0351,0.03729,2492.6,2582.8,2449.9,2545.4,232.7,235.0,216.04,220.0
2017-06-04,27.4,27.9,26.79,27.79,41.0,41.0,41.0,41.0,217.01,245.98,216.1,241.06,0.03729,0.03729,0.03729,0.03729,2545.4,2559.8,2478.2,2524.1,220.0,220.0,220.0,220.0
2017-06-05,27.79,31.8,27.78,30.7,42.37,48.06,42.33,47.99,241.06,244.29,231.72,242.16,0.03913,0.04208,0.03875,0.04055,2524.1,2705.4,2523.9,2705.0,233.88,265.35,230.0,240.32
2017-06-06,30.7,31.33,28.08,30.1,47.99,55.65,45.45,55.6,242.16,264.99,238.23,261.89,0.04055,0.0455,0.03763,0.0446,2705.0,2931.2,2699.7,2870.5,240.32,264.5,231.97,256.0
2017-06-07,30.1,30.8,27.65,28.6,55.6,63.2,51.27,52.0,261.89,263.7,241.01,250.7,0.0446,0.0545,0.0437,0.0466,2870.5,2880.9,2626.6,2691.5,256.0,335.34,254.0,260.43
2017-06-08,28.6,30.85,27.99,30.08,52.0,56.2,49.55,56.2,250.7,258.93,242.04,256.95,0.0466,0.05646,0.04475,0.05011,2691.5,2808.4,2623.6,2798.8,260.43,285.63,251.58,270.61
2017-06-09,30.08,30.9,29.5,29.56,56.2,57.17,54.8,55.37,256.95,279.9,256.95,278.41,0.05011,0.052,0.04614,0.0474,2798.8,2852.1,2786.1,2811.4,270.61,280.5,268.11,280.21
2017-06-10,29.56,30.25,29.0,30.13,55.37,56.4,50.9,51.03,278.41,341.94,278.26,325.88,0.0474,0.0479,0.0405,0.04196,2811.4,2914.2,2807.4,2900.3,280.21,321.0,280.0,316.5
2017-06-11,30.13,35.5,29.53,34.04,51.03,58.3,50.9,58.3,325.88,347.0,310.0,336.33,0.04196,0.0471,0.0403,0.04511,2900.3,2977.9,2867.3,2973.4,316.5,336.9,301.68,326.26
2017-06-12,34.04,34.17,27.0,29.06,58.3,59.51,43.0,49.05,336.33,412.21,297.0,386.9,0.04511,0.04752,0.034,0.03843,2973.4,2985.1,2483.6,2656.8,326.26,336.0,247.0,300.0
2017-06-13,29.06,30.65,28.71,30.32,49.05,52.67,48.46,51.14,386.9,395.0,345.61,382.7,0.03843,0.043,0.0373,0.04101,2656.8,2784.8,2647.4,2713.0,300.0,370.0,296.81,360.6
2017-06-14,30.32,32.0,27.5,28.81,51.14,52.51,42.79,45.0,382.7,385.73,315.0,335.95,0.04101,0.04353,0.034,0.03814,2713.0,2803.7,2349.0,2467.3,360.6,445.2,333.03,369.0
2017-06-15,28.81,29.4,24.42,28.97,45.0,46.4,37.0,45.55,335.95,344.0,265.0,338.7,0.03814,0.03858,0.0293,0.036,2467.3,2521.6,2125.6,2442.5,369.0,408.0,246.59,380.0
2017-06-16,28.97,33.9,27.65,33.89,45.55,47.52,43.0,47.5,338.7,355.51,305.22,348.44,0.036,0.03759,0.03347,0.03651,2442.5,2536.4,2335.3,2508.6,380.0,397.6,344.84,377.94
2017-06-17,33.89,49.0,33.61,46.01,47.5,52.21,46.2,51.83,348.44,366.08,332.0,364.56,0.03651,0.04064,0.03495,0.0396,2508.6,2690.7,2454.8,2655.1,377.94,400.49,350.0,391.0
2017-06-18,46.01,46.65,39.56,43.66,51.83,53.66,47.56,49.72,364.56,377.46,336.89,348.88,0.0396,0.04004,0.0365,0.0381,2655.1,2676.0,2488.6,2539.6,391.0,396.0,360.0,370.56
2017-06-19,43.66,49.99,42.27,47.63,49.72,51.37,49.0,50.2,348.88,362.5,344.13,355.5,0.0381,0.0423,0.03764,0.0413,2539.6,2617.8,2518.8,2616.8,370.56,405.74,365.0,397.2
2017-06-20,47.63,48.45,42.5,45.63,50.2,53.12,50.2,50.7,355.5,366.52,328.0,344.15,0.0413,0.0446,0.039,0.0405,2616.8,2800.5,2614.0,2754.4,397.2,433.7,393.96,407.88
2017-06-21,45.63,46.16,41.5,44.0,50.7,52.59,46.5,48.12,344.15,348.5,287.11,321.66,0.0405,0.04231,0.037,0.0383,2754.4,2804.4,2624.4,2677.6,407.88,415.71,345.0,380.4
2017-06-22,44.0,47.89,42.87,45.98,48.12,50.45,47.59,49.72,321.66,328.99,305.0,320.94,0.0383,0.0397,0.037,0.03913,2677.6,2757.3,2623.2,2722.8,380.4,395.0,360.0,381.55
2017-06-23,45.98,46.96,45.52,46.03,49.72,51.98,49.54,50.95,320.94,329.9,316.36,324.37,0.03913,0.04027,0.03913,0.03996,2722.8,2759.7,2699.5,2710.4,381.55,389.0,375.0,375.0
2017-06-24,46.03,46.13,42.05,43.05,50.95,51.19,46.0,46.65,324.37,327.55,291.53,296.89,0.03996,0.04008,0.03537,0.03631,2710.4,2741.6,2540.4,2590.1,375.0,378.92,337.77,346.02
2017-06-25,43.05,43.76,38.27,40.8,46.65,47.83,43.75,44.7,296.89,306.39,253.2,277.0,0.03631,0.03706,0.0288,0.03184,2590.1,2660.7,2472.4,2541.6,346.02,349.45,287.22,318.0
2017-06-26,40.8,41.98,33.38,38.15,44.7,47.0,37.5,43.13,277.0,286.85,214.99,251.3,0.03184,0.034,0.0235,0.02899,2541.6,2584.8,2327.3,2446.1,318.0,323.0,246.83,298.0
2017-06-27,38.15,40.5,33.61,40.5,43.13,43.9,37.0,43.2,251.3,279.0,204.11,279.0,0.02899,0.03099,0.0226,0.029,2446.1,2585.1,2309.6,2583.8,298.0,330.0,258.67,324.0
2017-06-28,40.5,43.44,37.3,42.0,43.2,46.9,41.3,46.71,279.0,318.27,255.0,311.62,0.029,0.03329,0.027,0.0315,2583.8,2616.9,2490.1,2577.7,324.0,339.75,305.7,333.57
2017-06-29,42.0,42.14,39.6,40.2,46.71,47.26,43.17,44.0,311.62,318.27,276.0,285.3,0.0315,0.0326,0.02761,0.02823,2577.7,2605.9,2526.5,2558.4,333.57,339.68,299.0,311.5
2017-06-30,40.2,41.2,39.22,39.49,44.0,45.4,42.7,43.11,285.3,301.9,267.35,275.62,0.02823,0.029,0.02634,0.02634,2558.4,2576.3,2469.5,2480.6,311.5,318.0,286.5,293.2
2017-07-01,39.49,39.83,37.4,38.37,43.11,43.26,38.55,40.2,275.62,277.63,238.0,255.0,0.02634,0.027,0.02225,0.02397,2480.6,2529.6,2387.5,2424.6,293.2,296.31,258.29,274.39
2017-07-02,38.37,41.99,37.15,41.59,40.2,42.48,39.04,41.87,255.0,285.91,242.81,277.64,0.02397,0.02527,0.02161,0.0251,2424.6,2555.3,2375.9,2536.5,274.39,295.5,259.0,291.69
2017-07-03,41.59,47.7,40.6,45.51,41.87,44.31,41.0,43.36,277.64,283.98,266.45,273.99,0.0251,0.027,0.02407,0.02604,2536.5,2617.5,2506.3,2572.5,291.69,295.0,275.51,288.25
2017-07-04,45.51,55.4,45.51,54.89,43.36,45.66,43.22,45.3,273.99,283.0,260.0,266.68,0.02604,0.028,0.02526,0.0257,2572.5,2658.7,2570.0,2617.3,288.25,299.82,272.5,279.95
2017-07-05,54.89,57.75,49.01,53.4,45.3,46.57,44.15,45.99,266.68,272.12,249.53,264.77,0.0257,0.02584,0.02431,0.02558,2617.3,2642.7,2562.0,2627.9,279.95,287.0,265.1,282.5
2017-07-06,53.4,53.4,50.01,51.2,45.99,50.4,45.92,50.0,264.77,273.0,258.37,265.35,0.02558,0.02613,0.02489,0.0253,2627.9,2634.8,2581.8,2614.2,282.5,290.5,271.0,284.52
2017-07-07,51.2,51.36,44.28,46.21,50.0,50.54,43.0,43.67,265.35,265.8,233.84,238.38,0.0253,0.02561,0.0196,0.02031,2614.2,2617.5,2484.7,2513.9,284.52,289.0,246.5,249.13
2017-07-08,46.21,52.61,44.18,51.27,43.67,46.3,39.9,46.3,238.38,246.66,226.68,245.23,0.02031,0.02174,0.01715,0.0216,2513.9,2568.7,2480.6,2564.9,249.13,254.0,232.0,254.0
2017-07-09,51.27,52.55,48.33,48.76,46.3,46.8,43.5,44.6,245.23,249.0,234.15,234.97,0.0216,0.0225,0.01923,0.01923,2564.9,2576.7,2509.6,2511.4,254.0,261.88,239.0,239.0
2017-07-10,48.76,49.84,42.1,44.74,44.6,44.8,38.1,39.68,234.97,238.01,187.5,202.0,0.01923,0.01971,0.01357,0.0148,2511.4,2530.3,2271.8,2344.0,239.0,240.16,179.0,197.0
2017-07-11,44.74,46.78,41.38,43.92,39.68,40.32,34.19,36.85,202.0,215.0,169.0,188.63,0.0148,0.0157,0.012,0.0143,2344.0,2412.8,2265.5,2324.3,197.0,202.08,162.0,178.01
2017-07-12,43.92,48.48,42.1,47.0,36.85,40.65,34.52,40.4,188.63,225.0,177.78,223.92,0.0143,0.01785,0.01244,0.01785,2324.3,2424.8,2262.1,2403.1,178.01,216.0,165.0,212.0
2017-07-13,47.0,47.88,44.1,45.48,40.4,40.61,36.58,38.0,223.92,224.99,189.46,205.0,0.01785,0.0203,0.0151,0.01712,2403.1,2436.7,2335.0,2362.4,212.0,215.61,182.0,192.91
2017-07-14,45.48,45.72,40.0,42.78,38.0,38.4,34.0,35.62,205.0,207.76,179.58,196.49,0.01712,0.01729,0.01459,0.0161,2362.4,2370.5,2165.4,2234.2,192.91,194.8,164.7,177.8
2017-07-15,42.78,42.99,37.5,38.14,35.62,35.62,31.22,32.0,196.49,197.8,169.82,170.15,0.0161,0.01826,0.01479,0.0176,2234.2,2237.1,1974.0,1975.1,177.8,177.8,155.1,158.5
2017-07-16,38.14,41.99,34.78,40.69,32.0,32.76,28.62,29.2,170.15,172.7,136.12,157.4,0.0176,0.0192,0.01347,0.01566,1975.1,2044.4,1809.0,1914.1,158.5,166.5,142.2,165.45
2017-07-17,40.69,43.08,39.72,42.36,29.2,35.0,29.2,34.81,157.4,190.61,155.0,190.16,0.01566,0.01899,0.0155,0.01861,1914.1,2233.8,1913.8,2233.4,165.45,182.18,161.01,180.2
2017-07-18,42.36,45.0,40.56,43.5,34.81,38.0,33.0,36.55,190.16,258.0,177.5,226.56,0.01861,0.02042,0.01723,0.01851,2233.4,2400.7,2164.6,2320.2,180.2,230.71,168.4,198.5
2017-07-19,43.5,43.96,39.68,40.19,36.55,37.69,34.0,35.05,226.56,245.61,187.0,194.63,0.01851,0.02,0.0169,0.0171,2320.2,2412.4,2243.1,2282.6,198.5,220.0,175.53,181.9
2017-07-20,40.19,45.0,40.12,44.72,35.05,41.0,34.83,40.8,194.63,238.0,194.63,227.29,0.0171,0.02101,0.0171,0.01898,2282.6,2932.8,2282.1,2866.0,181.9,218.0,181.9,209.32
2017-07-21,44.72,47.93,44.0,45.4,40.8,41.75,39.25,40.3,227.29,239.0,208.0,216.11,0.01898,0.02052,0.0185,0.019,2866.0,2874.0,2622.5,2675.1,209.32,216.89,199.22,202.04
2017-07-22,45.4,47.52,44.43,46.7,40.3,45.0,40.07,45.0,216.11,237.19,214.35,232.01,0.019,0.0241,0.0189,0.0231,2675.1,2876.7,2658.6,2836.5,202.04,220.4,200.47,218.0
2017-07-23,46.7,46.95,44.1,45.23,45.0,45.18,41.0,42.61,232.01,236.57,219.0,228.15,0.0231,0.02393,0.0205,0.02222,2836.5,2856.7,2675.6,2756.6,218.0,228.0,206.69,212.19
2017-07-24,45.23,45.49,44.41,45.01,42.61,46.01,41.51,45.88,228.15,232.56,223.64,226.59,0.02222,0.02315,0.02101,0.02275,2756.6,2798.9,2715.7,2763.4,212.19,214.49,207.5,212.0
2017-07-25,45.01,45.15,40.23,42.21,45.88,46.16,38.0,40.59,226.59,227.69,190.49,202.7,0.02275,0.02309,0.01702,0.01862,2763.4,2779.1,2472.6,2582.6,212.0,212.0,176.0,187.82
2017-07-26,42.21,43.0,40.4,41.99,40.59,46.7,38.4,45.97,202.7,209.59,191.76,203.33,0.01862,0.02,0.01752,0.01889,2582.6,2631.7,2441.5,2559.2,187.82,192.0,175.0,188.9
2017-07-27,41.99,42.3,40.8,41.87,45.97,46.55,43.8,45.4,203.33,207.0,197.86,202.54,0.01889,0.0195,0.01798,0.01851,2559.2,2712.9,2547.7,2691.9,188.9,192.65,182.0,185.4
2017-07-28,41.87,42.17,40.1,40.35,45.4,45.9,42.1,43.97,202.54,204.19,188.1,191.2,0.01851,0.01873,0.0165,0.01709,2691.9,2843.8,2683.6,2806.8,185.4,190.09,172.89,176.49
2017-07-29,40.35,41.5,38.28,41.01,43.97,44.59,42.13,44.01,191.2,213.0,176.95,206.76,0.01709,0.0175,0.01549,0.0175,2806.8,2812.1,2699.4,2733.5,176.49,187.0,165.12,187.0
2017-07-30,41.01,42.16,39.56,40.82,44.01,44.12,39.09,39.77,206.76,210.76,192.21,195.31,0.0175,0.01767,0.01588,0.016,2733.5,2773.1,2621.7,2766.5,187.0,187.11,172.77,173.32
2017-07-31,40.82,43.8,38.4,42.27,39.77,41.02,38.84,39.9,195.31,201.5,188.12,200.81,0.016,0.01644,0.01521,0.016,2766.5,2916.3,2723.1,2883.3,173.32,179.0,167.51,173.0
2017-08-01,42.27,43.84,41.18,43.18,39.9,45.5,39.65,44.2,200.81,232.59,200.8,225.97,0.016,0.0181,0.0158,0.018,2883.3,2946.0,2659.6,2747.0,173.0,195.49,170.89,190.84
2017-08-02,43.18,43.23,41.52,41.82,44.2,44.66,42.58,43.45,225.97,229.7,215.0,218.0,0.018,0.0193,0.0175,0.01829,2747.0,2773.8,2668.9,2720.5,190.84,195.1,183.2,189.3
2017-08-03,41.82,42.87,41.73,42.49,43.45,44.48,42.9,43.56,218.0,228.2,217.07,224.79,0.01829,0.0191,0.01813,0.01888,2720.5,2822.9,2717.6,2810.0,189.3,191.56,182.62,188.85
2017-08-04,42.49,43.49,42.34,43.07,43.56,45.0,42.52,44.95,224.79,228.3,218.66,220.73,0.01888,0.02249,0.0186,0.02242,2810.0,2892.7,2779.5,2878.5,188.85,190.78,184.0,186.41
2017-08-05,43.07,47.09,43.06,45.85,44.95,49.2,44.78,48.66,220.73,259.9,219.23,253.87,0.02242,0.02728,0.021,0.02381,2878.5,3344.0,2875.9,3262.8,186.41,214.3,185.17,204.0
2017-08-06,45.85,46.65,44.78,45.33,48.66,49.29,47.35,47.83,253.87,271.5,251.0,264.29,0.02381,0.0252,0.0225,0.0228,3262.8,3295.1,3166.5,3232.0,204.0,212.95,202.9,208.0
2017-08-07,45.33,46.5,45.01,45.99,47.83,50.5,46.97,50.49,264.29,274.6,257.32,269.51,0.0228,0.02316,0.02112,0.0223,3232.0,3425.1,3198.5,3401.9,208.0,212.1,204.16,208.58
2017-08-08,45.99,49.98,45.76,49.06,50.49,52.91,49.72,52.0,269.51,299.5,265.0,295.83,0.0223,0.0238,0.02144,0.0238,3401.9,3494.9,3357.1,3429.4,208.58,258.48,208.21,246.0
2017-08-09,49.06,49.95,46.66,47.69,52.0,53.44,49.09,51.06,295.83,316.0,277.0,293.99,0.0238,0.02475,0.02151,0.023,3429.4,3437.1,3251.0,3348.8,246.0,260.99,229.96,242.0
2017-08-10,47.69,48.6,47.01,47.2,51.06,51.4,49.29,49.3,293.99,310.05,287.6,295.97,0.023,0.02349,0.022,0.02204,3348.8,3453.8,3322.9,3425.7,242.0,249.3,230.9,231.7
2017-08-11,47.2,47.71,46.6,47.08,49.3,51.44,48.76,50.36,295.97,310.42,294.0,308.81,0.02204,0.0225,0.02064,0.02169,3425.7,3706.5,3409.8,3654.4,231.7,236.0,225.0,235.5
2017-08-12,47.08,47.8,46.01,46.33,50.36,51.5,44.28,49.45,308.81,319.78,299.0,307.22,0.02169,0.02216,0.0194,0.02,3654.4,3967.3,3611.4,3871.6,235.5,237.0,217.0,222.71
2017-08-13,46.33,47.38,44.05,45.22,49.45,50.2,45.5,47.8,307.22,308.0,285.21,296.64,0.02,0.0203,0.01706,0.01827,3871.6,4189.4,3847.3,4062.6,222.71,225.6,200.0,212.0
2017-08-14,45.22,46.34,44.82,45.59,47.8,49.9,46.33,49.67,296.64,306.48,293.99,298.22,0.01827,0.01919,0.01675,0.01775,4062.6,4336.7,3978.9,4327.9,212.0,217.9,203.0,210.33
2017-08-15,45.59,45.7,41.65,43.1,49.67,50.26,45.08,48.71,298.22,299.91,272.29,286.0,0.01775,0.01871,0.016,0.01738,4327.9,4436.5,3837.1,4161.7,210.33,213.5,196.0,212.11
2017-08-16,43.1,44.94,42.01,43.8,48.71,49.1,47.0,48.6,286.0,304.0,279.94,301.34,0.01738,0.01849,0.01713,0.01774,4161.7,4398.1,3938.6,4387.4,212.11,220.0,205.08,216.61
2017-08-17,43.8,44.7,43.13,43.88,48.6,49.62,47.0,47.2,301.13,312.18,298.0,302.0,0.01774,0.01818,0.01681,0.01729,4261.48,4485.39,4200.74,4285.08,216.61,218.3,206.0,208.14
2017-08-18,43.88,47.99,43.29,46.69,47.2,50.0,45.1,46.46,302.0,311.79,283.94,293.96,0.01729,0.01753,0.01624,0.01671,4285.08,4371.52,3938.77,4108.37,208.14,214.0,198.6,199.21
2017-08-19,46.69,47.0,43.76,45.18,46.46,58.5,46.44,55.63,293.31,299.9,278.0,290.91,0.01671,0.01722,0.01529,0.01644,4108.37,4184.69,3850.0,4139.98,199.21,247.9,190.78,234.0
2017-08-20,45.18,47.15,44.07,45.57,55.63,56.46,51.9,55.3,289.41,300.53,282.85,299.1,0.01644,0.0184,0.01593,0.01769,4120.98,4211.08,4032.62,4086.29,234.0,252.41,224.0,239.67
2017-08-21,45.57,48.87,44.9,47.99,55.3,100.0,52.5,77.64,299.1,346.52,294.6,323.29,0.01769,0.02092,0.01691,0.01951,4069.13,4119.62,3911.79,4016.0,239.67,258.38,228.11,235.6
2017-08-22,47.99,47.99,44.65,46.43,77.64,96.52,71.65,89.95,321.04,330.41,144.21,309.8,0.01951,0.0218,0.0165,0.02153,4016.0,4104.82,3400.0,4040.0,235.6,240.0,206.0,224.0
