,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{BTC}/\emph{USDT} OP,2771,26320.10,22077.26,1914.10,3756.38,8142.45,19329.72,41422.22,66869.18,106133.74
\emph{BTC}/\emph{USDT} HP,2771,26961.24,22569.67,2044.40,3859.87,8316.55,19706.66,42417.35,68040.00,108353.00
\emph{BTC}/\emph{USDT} LP,2771,25637.28,21575.36,1809.00,3632.66,7869.00,18975.18,40251.00,65496.04,105321.49
\emph{BTC}/\emph{USDT} CP,2771,26353.14,22109.45,1914.10,3768.31,8146.88,19359.40,41477.11,66931.43,106133.74
