,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{BTC}/\emph{USDT} OP,10776,26997.60,22038.02,2919.00,4046.60,8504.35,20131.05,41992.79,67027.00,107506.37
\emph{BTC}/\emph{USDT} HP,10776,27314.54,22268.46,3213.00,4116.12,8622.92,20386.11,42437.20,67599.40,108353.00
\emph{BTC}/\emph{USDT} LP,10776,26657.52,21791.16,2817.00,3986.85,8365.24,19891.52,41536.52,66430.23,106368.45
\emph{BTC}/\emph{USDT} CP,10776,27005.89,22046.27,2919.00,4046.60,8506.32,20138.67,41997.61,67038.00,107506.37
