TIMESTAMP,GONE_OPEN_PRICE_USD,GONE_HIGH_PRICE_USD,GONE_LOW_PRICE_USD,GONE_CLOSE_PRICE_USD,GONE_VOLUME_USD,GONE_DIVIDENDS_USD,GONE_STOCK_SPLITS_USD
2023-12-28 00:00:00+00:00,0.0001140000022132881,0.0001340000017080456,7.300000288523734e-05,8.099999831756577e-05,957671,0.0,0.0
2023-12-29 00:00:00+00:00,8.099999831756577e-05,8.499999967170879e-05,6.600000051548705e-05,7.599999662488699e-05,407359,0.0,0.0
2023-12-30 00:00:00+00:00,7.599999662488699e-05,8.199999865610152e-05,5.6000000768108293e-05,5.6000000768108293e-05,223555,0.0,0.0
2023-12-31 00:00:00+00:00,5.6000000768108293e-05,7.699999696342275e-05,5.6000000768108293e-05,6.800000119255856e-05,200942,0.0,0.0
2024-01-01 00:00:00+00:00,6.800000119255856e-05,8.099999831756577e-05,6.70000008540228e-05,7.100000220816582e-05,172916,0.0,0.0
2024-01-02 00:00:00+00:00,7.100000220816582e-05,7.300000288523734e-05,4.70000013592653e-05,5.199999941396527e-05,241957,0.0,0.0
2024-01-03 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,3.5000000934815034e-05,4.099999932805076e-05,215688,0.0,0.0
2024-01-04 00:00:00+00:00,4.099999932805076e-05,5.8000001445179805e-05,4.099999932805076e-05,5.0999999075429514e-05,117400,0.0,0.0
2024-01-05 00:00:00+00:00,5.0999999075429514e-05,5.8000001445179805e-05,4.5000000682193786e-05,4.999999873689376e-05,103923,0.0,0.0
2024-01-06 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,3.7999998312443495e-05,4.099999932805076e-05,100949,0.0,0.0
2024-01-07 00:00:00+00:00,4.099999932805076e-05,5.2999999752501026e-05,3.9999998989515007e-05,4.3000000005122274e-05,90685,0.0,0.0
2024-01-08 00:00:00+00:00,4.3000000005122274e-05,4.8999998398358e-05,3.9999998989515007e-05,4.3000000005122274e-05,79251,0.0,0.0
2024-01-09 00:00:00+00:00,4.3000000005122274e-05,6.199999916134402e-05,4.199999966658652e-05,5.2999999752501026e-05,146037,0.0,0.0
2024-01-10 00:00:00+00:00,5.2999999752501026e-05,5.700000110664405e-05,4.70000013592653e-05,5.6000000768108293e-05,99995,0.0,0.0
