TIMESTAMP,LADYS26302_OPEN_PRICE_USD,LADYS26302_HIGH_PRICE_USD,LADYS26302_LOW_PRICE_USD,LADYS26302_CLOSE_PRICE_USD,LADYS26302_VOLUME_USD,LADYS26302_DIVIDENDS_USD,LADYS26302_STOCK_SPLITS_USD
2023-06-02 00:00:00+00:00,,,,0.0,122892,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,151465,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,62242,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,36525,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,6733,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,6981,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,663,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,17207,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,8123,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,176155,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,16341,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,8356,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,13119,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,3616,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,1666,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,3703,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,634,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,179,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,595,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,433,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,327,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,1965,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,337,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,413,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,11979,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,869,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,2905,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,176,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,367,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,2308,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,9507,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,634,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,209,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,1128,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,456,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,161,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,144,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,400,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,730,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,291,0.0,0.0
